Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,59,3417,2544000,33500,1919070600.0,59,1518,1914500,-26000,808997800.0,0.753,0.444,2026-09-22
ABB,67,28515,1478750,213750,26941015156.25,67,13469,957125,-40000,12011237456.25,0.647,0.472,2026-09-22
ABCAPITAL,76,5512,15450400,812200,7043828835.0,75,4293,13894200,-378200,5297172275.0,0.899,0.779,2026-09-22
ADANIENSOL,90,8188,8682525,-3375,8162306145.0,88,2335,4143825,-149850,2203093687.5,0.477,0.285,2026-09-22
ADANIENT,56,43861,9073785,531171,42121992289.35,56,21144,5356206,112785,19459138823.7,0.59,0.482,2026-09-22
ADANIGREEN,74,11258,6204600,318600,9221911470.0,73,4600,3734400,26400,3570438510.0,0.602,0.409,2026-09-22
ADANIPORTS,95,38416,9498575,-9500,33565224273.75,95,20433,7999950,-5700,17183190170.0,0.842,0.532,2026-09-22
ADANIPOWER,44,27189,60602050,-7845500,21215646923.5,44,12280,36419450,-2190350,8836885673.5,0.601,0.452,2026-09-22
ALKEM,93,3998,374750,19250,2768886856.25,92,2306,307000,-26750,1512109906.25,0.819,0.577,2026-09-22
AMBER,76,10087,988300,48200,7559428305.0,76,4723,600600,17500,3274748660.0,0.608,0.468,2026-09-22
AMBUJACEM,82,10359,18757200,414000,5050785360.0,80,3077,11280000,222000,1435041000.0,0.601,0.297,2026-09-22
ANGELONE,62,9151,27195000,-377500,7167136125.0,62,2283,13002500,-615000,1691465125.0,0.478,0.249,2026-09-22
APLAPOLLO,93,8902,3082100,78750,7048960905.0,93,4580,1713250,24150,3470630817.5,0.556,0.514,2026-09-22
APOLLOHOSP,65,17289,1320000,72000,19643505275.0,65,11135,979000,-100500,12220550643.75,0.742,0.644,2026-09-22
ASHOKLEY,68,20820,104620000,-1370000,17727637750.0,68,8249,69930000,565000,6678586600.0,0.668,0.396,2026-09-22
ASIANPAINT,122,23073,5139500,12250,14567594587.5,117,9757,3013000,46750,5979358525.0,0.586,0.423,2026-09-22
ASTRAL,77,4467,3820750,-115600,2798454638.75,78,3374,2782900,8925,1973188321.25,0.728,0.755,2026-09-22
ATHERENERG,82,34684,8320500,1471125,21721042968.75,84,10016,3016125,208125,5814909131.25,0.362,0.289,2026-09-22
AUBANK,50,6805,10322000,-313000,7306057850.0,50,3720,6855000,79000,3851974700.0,0.664,0.547,2026-09-22
AUROPHARMA,64,9469,6753450,-27500,9165853620.0,64,5481,2684000,-243100,5096800170.0,0.397,0.579,2026-09-22
AXISBANK,57,36578,19473750,110625,29134664062.5,57,21960,12346250,415625,17100313625.0,0.634,0.6,2026-09-22
BAJAJ-AUTO,89,33129,1828950,-7800,29534957733.75,92,26019,1341000,40650,22068727575.0,0.733,0.785,2026-09-22
BAJAJFINSV,88,11474,6807300,36600,6593839875.0,87,7952,3745500,114300,4402516485.0,0.55,0.693,2026-09-22
BAJAJHLDNG,68,1432,85650,1050,1289059698.75,68,1218,63675,7200,978066157.5,0.743,0.851,2026-09-22
BAJFINANCE,91,32942,27744750,1218000,26130360112.5,88,16107,15225000,-158250,12294723900.0,0.549,0.489,2026-09-22
BANDHANBNK,45,1653,27572400,-2048400,1104477444.0,41,768,19908000,-248400,481999572.0,0.722,0.465,2026-09-22
