Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,47,2626,804500,-205500,1528877225.0,50,998,633000,51500,528574425.0,0.787,0.38,2026-05-07
ABB,106,20995,1258250,159000,20092210150.0,105,9692,615750,65250,8658446587.5,0.489,0.462,2026-05-07
ABCAPITAL,62,8232,15097000,1072600,9974318975.0,66,4438,12068300,-167400,4971538975.0,0.799,0.539,2026-05-07
ADANIENSOL,73,12714,7122600,1593675,12992625416.25,70,4944,4627800,327375,4607090426.25,0.65,0.389,2026-05-07
ADANIENT,102,21333,7727781,426111,17450279734.8,113,13656,5960610,-175512,10577113028.25,0.771,0.64,2026-05-07
ADANIGREEN,111,12983,8332200,481800,11191996980.0,114,7301,5951400,322800,5764876530.0,0.714,0.562,2026-05-07
ADANIPORTS,73,18580,9357500,745750,16112514187.5,80,14126,6820525,38950,11342073203.75,0.729,0.76,2026-05-07
ADANIPOWER,79,7319,32482500,-617700,6425810270.0,83,4218,23298650,-35500,3273494156.5,0.717,0.576,2026-05-07
ALKEM,84,1092,245875,0,790663387.5,86,253,161375,625,171583512.5,0.656,0.232,2026-05-07
AMBER,72,19507,1050300,200900,18398891410.0,77,12032,542600,113500,9932551380.0,0.517,0.617,2026-05-07
AMBUJACEM,68,21231,20136900,-1197000,10727672130.0,69,7865,12981300,827400,3697752082.5,0.645,0.37,2026-05-07
ANGELONE,52,13748,18987500,3022500,11824120250.0,46,4166,9022500,1132500,3294462125.0,0.475,0.303,2026-05-07
APLAPOLLO,85,11942,1787450,-111650,8656994885.0,78,4077,1152900,153300,2695506992.5,0.645,0.341,2026-05-07
APOLLOHOSP,104,7309,817750,47250,7483879462.5,105,3740,552375,91500,3525538387.5,0.675,0.512,2026-05-07
ASHOKLEY,69,31094,89280000,-2530000,28497993300.0,68,10987,53370000,1970000,9233294650.0,0.598,0.353,2026-05-07
ASIANPAINT,88,29591,4908750,557750,19502003500.0,94,13160,3495750,84750,8148798575.0,0.712,0.445,2026-05-07
ASTRAL,63,8186,2057000,283050,5776842122.5,66,2065,1150050,126225,1384104703.75,0.559,0.252,2026-05-07
AUBANK,75,8376,8173000,44000,9044469200.0,78,4224,4547000,74000,4315639050.0,0.556,0.504,2026-05-07
AUROPHARMA,64,6062,3159200,94050,5164916212.5,60,4138,2547050,83600,3314394105.0,0.806,0.683,2026-05-07
AXISBANK,98,31151,16386875,416875,26220976687.5,95,21033,11269375,-309375,16918178937.5,0.688,0.675,2026-05-07
BAJAJ-AUTO,87,216196,2035425,280275,179274001368.75,86,87357,1643025,299400,67015743783.75,0.807,0.404,2026-05-07
BAJAJFINSV,76,10560,3192800,226550,5040342835.0,76,5966,2973250,50000,2686391400.0,0.931,0.565,2026-05-07
BAJAJHLDNG,74,12975,162800,93650,7367587100.0,78,2158,59800,29600,1133945372.5,0.367,0.166,2026-05-07
BAJFINANCE,75,17276,16557750,507000,13177193025.0,81,10952,13701000,-91500,7920084900.0,0.827,0.634,2026-05-07
BANDHANBNK,75,6955,44409600,1303200,5475027708.0,81,4761,31327200,-1296000,3477293352.0,0.705,0.685,2026-05-07
BANKBARODA,88,9513,36819900,3135600,7976953530.0,83,3210,27632475,941850,2524154782.5,0.75,0.337,2026-05-07
BANKINDIA,52,2412,22131200,1123200,1907393020.0,51,1472,16822000,1950000,1136166824.0,0.76,0.61,2026-05-07
BANKNIFTY,591,1111571,14373150,588240,1941173563878.0,591,863855,13298070,203940,1423300499415.0,0.925,0.777,2026-05-07
BDL,68,28842,2533025,68325,15501346032.5,71,6953,1619450,307300,3444191887.5,0.639,0.241,2026-05-07
BEL,72,29983,47047800,2982525,19959543438.75,71,11952,27740475,2386875,7450156642.5,0.59,0.399,2026-05-07
BHARATFORG,87,82233,5070500,1873500,85116153600.0,84,43528,3375500,1625000,41372648200.0,0.666,0.529,2026-05-07
BHARTIARTL,73,31577,14592475,2006875,28605860780.0,72,15412,7499775,361475,13229746692.5,0.514,0.488,2026-05-07
BHEL,171,76211,53699625,1974000,84384338587.5,175,45182,57983625,11174625,45410602387.5,1.08,0.593,2026-05-07
BIOCON,64,14793,19410000,2460000,14966178375.0,67,6652,12940000,1627500,6292087750.0,0.667,0.45,2026-05-07
BLUESTARCO,76,22616,2129400,558025,13981738923.75,78,10051,1186575,232700,5811058418.75,0.557,0.444,2026-05-07
BOSCHLTD,97,16174,85750,30975,16435825125.0,96,4203,59600,20400,3911855643.75,0.695,0.26,2026-05-07
BPCL,54,20181,25748075,2697850,13240769423.75,61,8928,18091000,2620825,5547908115.0,0.703,0.442,2026-05-07
BRITANNIA,86,32424,1132250,276375,24745157493.75,86,16783,829000,161875,11981099875.0,0.732,0.518,2026-05-07
BSE,66,68396,7506950,1816125,106533449193.75,67,34924,6644250,1342500,49494684375.0,0.885,0.511,2026-05-07
CAMS,67,16256,4511250,104250,10615562175.0,71,8408,4791750,589500,5003487112.5,1.062,0.517,2026-05-07
CANBK,102,8459,75856500,5852250,8284965525.0,105,3633,69005250,2436750,3295834110.0,0.91,0.429,2026-05-07
CDSL,54,12661,6612475,368125,8121323211.25,54,4862,4864475,179550,2922587766.25,0.736,0.384,2026-05-07
CGPOWER,76,75515,7522500,34850,57816678870.0,78,22594,5364350,760750,16120346262.5,0.713,0.299,2026-05-07
CHOLAFIN,79,4700,3076875,29375,5225516187.5,78,4535,2646875,-35000,4684939718.75,0.86,0.965,2026-05-07
CIPLA,99,12574,5369075,339375,6763168612.5,104,6392,3811125,168750,3238321687.5,0.71,0.508,2026-05-07
COALINDIA,75,96591,36049050,6448950,63747727245.0,76,62212,18337050,-850500,39294013342.5,0.509,0.644,2026-05-07
COCHINSHIP,58,7424,1208000,-119200,5619968460.0,59,1534,975600,78400,1054847340.0,0.808,0.207,2026-05-07
COFORGE,60,43508,9799500,-134625,22294879875.0,59,25732,7313725,-98250,12201438000.0,0.746,0.591,2026-05-07
COLPAL,86,3873,1338075,10350,1970887623.75,84,2222,896400,-13050,1070523461.25,0.67,0.574,2026-05-07
CONCOR,70,4355,5641250,-80000,3015797812.5,74,1717,3773750,-428750,1155699437.5,0.669,0.394,2026-05-07
CROMPTON,83,18794,16372800,889200,10331125560.0,85,5770,8355600,1117800,2967686460.0,0.51,0.307,2026-05-07
CUMMINSIND,72,7973,706800,9400,8949296590.0,74,2835,544600,48800,2976392280.0,0.771,0.356,2026-05-07
DABUR,77,22135,13412500,3695000,13828072875.0,76,6506,7095000,1661250,3602008312.5,0.529,0.294,2026-05-07
DALBHARAT,78,1801,1053650,32175,1213959565.0,84,566,555100,25675,357461325.0,0.527,0.314,2026-05-07
DELHIVERY,62,13589,9094725,1952575,14307412906.25,63,5273,4562925,367275,5134490805.0,0.502,0.388,2026-05-07
DIVISLAB,94,4998,751000,43500,3532868305.0,99,3132,514700,37500,2062728435.0,0.685,0.627,2026-05-07
DIXON,84,24723,1359550,172800,14961666767.5,91,11956,1101700,83800,6621072570.0,0.81,0.484,2026-05-07
DLF,88,14570,8123775,-25575,7746205128.75,91,4522,6053850,93225,2272706081.25,0.745,0.31,2026-05-07
DMART,74,10344,1706700,75450,7210902720.0,73,6609,824850,-32550,4318251127.5,0.483,0.639,2026-05-07
DRREDDY,107,19468,11363125,1298125,16592434781.25,101,9917,5722500,500000,8038739468.75,0.504,0.509,2026-05-07
EICHERMOT,98,28899,1255300,133700,22412300020.0,103,8645,879800,27200,6277918500.0,0.701,0.299,2026-05-07
ETERNAL,77,21184,87137525,-2170375,13994122439.5,80,13129,50874075,-72750,8040377893.75,0.584,0.62,2026-05-07
EXIDEIND,146,16863,15580800,-2032200,11429895780.0,150,8053,10198800,-482400,5165977770.0,0.655,0.478,2026-05-07
FEDERALBNK,84,14175,33155000,-2175000,10968192000.0,83,5887,19387500,-802500,4276433875.0,0.585,0.415,2026-05-07
FINNIFTY,297,9599,221340,30000,15791408832.0,297,4917,179940,27960,7619149416.0,0.813,0.512,2026-05-07
FORCEMOT,44,9893,129975,-26025,5656992798.75,41,3486,68400,-1725,1675731158.75,0.526,0.352,2026-05-07
FORTIS,64,1475,2083200,145700,1140468610.0,66,523,831575,55800,386093491.25,0.399,0.355,2026-05-07
GAIL,101,5616,21388500,1389150,3096408231.0,107,1895,19391400,349650,997843738.5,0.907,0.337,2026-05-07
GLENMARK,80,3254,2237625,63375,3081935756.25,86,1269,1024875,-16500,1132754906.25,0.458,0.39,2026-05-07
GMRAIRPORT,77,10588,58450500,-5119650,7792986568.5,75,2803,38585700,-83700,1916184973.5,0.66,0.265,2026-05-07
GODFRYPHLP,79,5937,682825,38500,4058045103.75,82,1591,410575,28600,998397867.5,0.601,0.268,2026-05-07
GODREJCP,93,36096,5954500,3028500,20083221025.0,93,19553,2933500,1404500,10178956425.0,0.493,0.542,2026-05-07
GODREJPROP,88,13423,2890850,12650,7280219182.5,89,6045,1733600,40150,3077250481.25,0.6,0.45,2026-05-07
GRASIM,99,10925,1469750,282000,8386492275.0,103,5542,883500,59500,3867967187.5,0.601,0.507,2026-05-07
HAL,79,56500,2837850,229800,41998000440.0,85,24354,2266950,277650,16996166152.5,0.799,0.431,2026-05-07
HAVELLS,103,10441,5731000,154000,6941087100.0,98,4280,2333500,-23000,2689510050.0,0.407,0.41,2026-05-07
HCLTECH,112,37823,25394300,1187200,16754907802.5,110,16440,11845100,4200,6879635525.0,0.466,0.435,2026-05-07
HDFCAMC,94,6704,1274400,1200,5984916360.0,95,1775,845400,64200,1474586295.0,0.663,0.265,2026-05-07
HDFCBANK,126,149471,74198750,4455700,68164613980.0,126,87140,44222100,2641850,37933049497.5,0.596,0.583,2026-05-07
HDFCLIFE,96,61416,18631800,1284800,43450704495.0,98,23457,12851300,3078900,15747896670.0,0.69,0.382,2026-05-07
HEROMOTOCO,95,109031,2384700,-265200,92022503745.0,96,55734,1834650,374400,43564881240.0,0.769,0.511,2026-05-07
HINDALCO,81,12649,7422800,158900,9783621855.0,79,7798,5490100,266000,5763393090.0,0.74,0.616,2026-05-07
HINDPETRO,72,18921,13804425,1374975,16202395575.0,75,9795,13909725,718875,7839718852.5,1.008,0.518,2026-05-07
HINDUNILVR,96,27749,8873100,894900,19972035495.0,99,15347,4729200,539700,10524839475.0,0.533,0.553,2026-05-07
HINDZINC,55,31286,18286800,1342600,25873158727.5,58,18729,13782475,1346275,14290650447.5,0.754,0.599,2026-05-07
HYUNDAI,68,4490,1273250,151250,2407837437.5,68,1242,958650,-14300,608399068.75,0.753,0.277,2026-05-07
ICICIBANK,105,63048,35914200,347900,58763578930.0,96,38237,21406700,-70000,34292164620.0,0.596,0.606,2026-05-07
ICICIGI,73,8847,832650,44200,5497555570.0,71,3545,494000,131625,2075520183.75,0.593,0.401,2026-05-07
ICICIPRULI,98,8899,4824800,403300,4818424668.75,100,6788,4818325,1114625,3479570326.25,0.999,0.763,2026-05-07
IDEA,27,13070,1609545525,37309950,11878105753.5,25,5631,877998900,7218975,4331344259.25,0.545,0.431,2026-05-07
IDFCFIRSTB,56,9507,104798225,-9275,6565386289.0,56,6478,89559400,3329725,4167888849.25,0.855,0.681,2026-05-07
IEX,97,16505,42618750,-2501250,8581170300.0,103,6148,26945550,-1845000,2908478287.5,0.632,0.372,2026-05-07
INDHOTEL,96,7876,5989000,661000,5506358300.0,104,3587,5351000,87000,2361014750.0,0.893,0.455,2026-05-07
INDIANB,86,5326,7192000,184000,4904037050.0,82,2918,3862000,30000,2514644050.0,0.537,0.548,2026-05-07
INDIGO,78,45557,4329000,29550,32750685187.5,84,23539,2545500,-32100,15693520057.5,0.588,0.517,2026-05-07
INDUSINDBK,73,10793,6572300,-7700,7447608420.0,77,10113,5970300,-23800,6585109195.0,0.908,0.937,2026-05-07
INDUSTOWER,69,11958,31509500,2254200,8660077440.0,68,4816,20779100,404600,3336088500.0,0.659,0.403,2026-05-07
INFY,105,51129,41089200,625200,25413874880.0,102,25335,23132000,236000,11772383260.0,0.563,0.496,2026-05-07
INOXWIND,75,3990,26594425,100100,1613171595.75,79,952,13781625,278850,356402653.75,0.518,0.239,2026-05-07
IOC,114,12180,49315500,1408875,9279836962.5,111,5187,35465625,2725125,3707460656.25,0.719,0.426,2026-05-07
IREDA,97,1776,18402300,952200,888352402.5,93,564,12347550,296700,262751724.0,0.671,0.318,2026-05-07
IRFC,73,8277,38543250,3905750,3964191537.5,79,1924,27868425,1695750,864336015.0,0.723,0.232,2026-05-07
ITC,90,44338,109971600,372200,22936056206.25,93,14560,38745600,-123200,7223919360.0,0.352,0.328,2026-05-07
JINDALSTEL,94,9042,3763750,157500,7472169750.0,95,4554,2662500,60625,3630556687.5,0.707,0.504,2026-05-07
JIOFIN,75,18921,67365100,4925600,11852175697.0,76,7890,41237800,1118600,4659649959.5,0.612,0.417,2026-05-07
JSWENERGY,76,6911,6096000,229000,4161669750.0,83,3238,4444000,408000,1861626850.0,0.729,0.469,2026-05-07
JSWSTEEL,82,6496,4578525,33750,5858267625.0,85,2323,3225150,-65475,1981907662.5,0.704,0.358,2026-05-07
JUBLFOOD,83,5300,7073750,20000,3315298875.0,75,2136,5160000,726250,1262496500.0,0.729,0.403,2026-05-07
KALYANKJIL,63,9583,8933525,1861200,4998183980.0,64,3878,4408600,390100,1875283902.5,0.493,0.405,2026-05-07
KAYNES,74,21763,1201500,196600,10097184475.0,76,6953,710500,5700,2928586850.0,0.591,0.319,2026-05-07
