Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,51,36486,2726500,-309500,21270991725.0,52,14751,2436000,136500,7958342475.0,0.893,0.404,2026-07-17
ABB,82,40101,2190625,128000,40430257231.25,86,28275,1794125,-195750,26176295275.0,0.819,0.705,2026-07-17
ABCAPITAL,75,4285,14588600,148800,5553918460.0,75,2155,9932400,-217000,2668177905.0,0.681,0.503,2026-07-17
ADANIENSOL,79,29420,7118550,619650,36112632975.0,80,11690,3636225,662175,13437022128.75,0.511,0.397,2026-07-17
ADANIENT,76,14471,8092401,32445,14703438649.65,79,7767,5176986,-70452,7557560624.999999,0.64,0.537,2026-07-17
ADANIGREEN,85,15295,8373600,807600,14977926060.0,87,5091,5559600,341400,4732911180.0,0.664,0.333,2026-07-17
ADANIPORTS,73,13961,7170125,-89300,12555892882.5,73,9469,4541000,160550,8166529507.5,0.633,0.678,2026-07-17
ADANIPOWER,50,30950,71092300,-3787850,25861094847.5,50,7228,44346600,986900,5458380564.5,0.624,0.234,2026-07-17
ALKEM,84,9626,567125,118500,7104463562.5,82,2291,193625,24250,1595209125.0,0.341,0.238,2026-07-17
AMBER,68,19119,1227900,150200,15859965160.0,68,10782,1035700,-1400,8396201350.0,0.843,0.564,2026-07-17
AMBUJACEM,71,8365,16053600,79200,4558302720.0,71,2609,8653200,31200,1353838620.0,0.539,0.312,2026-07-17
ANGELONE,62,22821,36392500,3242500,20115695875.0,62,10133,15387500,-112500,8308097625.0,0.423,0.444,2026-07-17
APLAPOLLO,71,2732,1593200,-60550,1813009625.0,71,4681,1452150,418600,2739631020.0,0.911,1.713,2026-07-17
APOLLOHOSP,76,10417,1259750,68250,11892604937.5,82,7883,1034250,-30000,8698863475.0,0.821,0.757,2026-07-17
ASHOKLEY,64,8220,94680000,-1460000,6889215100.0,67,3323,65580000,-225000,2557048150.0,0.693,0.404,2026-07-17
ASIANPAINT,98,10966,4166750,66500,7567798475.0,98,8429,3743000,256250,5551542500.0,0.898,0.769,2026-07-17
ASTRAL,74,5120,3780800,110075,3153958745.0,74,2103,2499425,-112625,1200957498.75,0.661,0.411,2026-07-17
AUBANK,57,6064,7044000,126000,6540575700.0,59,3160,4820000,213000,3250426550.0,0.684,0.521,2026-07-17
AUROPHARMA,65,6420,4784450,216700,5697679982.5,65,3391,2729650,130350,2829742630.0,0.571,0.528,2026-07-17
AXISBANK,71,75532,23544375,621875,64968602843.75,74,41126,17008750,3017500,33855744781.25,0.722,0.544,2026-07-17
BAJAJ-AUTO,83,33027,1434975,24600,26856593981.25,83,18626,1140150,33975,14152979595.0,0.795,0.564,2026-07-17
BAJAJFINSV,83,16229,7222800,-129300,9324474210.0,84,8077,4384200,-36900,4508484315.0,0.607,0.498,2026-07-17
BAJAJHLDNG,88,1928,115650,-900,1639201241.25,91,277,60675,-2325,223672151.25,0.525,0.144,2026-07-17
BAJFINANCE,85,38447,17124750,594000,31139862825.0,87,25456,15322500,896250,19759075125.0,0.895,0.662,2026-07-17
BANDHANBNK,59,7533,42778800,2739600,6179862312.0,57,3413,28627200,-550800,2579005692.0,0.669,0.453,2026-07-17
BANKBARODA,87,9585,76678875,1120275,7479801371.25,96,3275,55253250,640575,2392657312.5,0.721,0.342,2026-07-17
BANKINDIA,71,2660,39894400,156000,2098745948.0,70,936,31616000,686400,685358336.0,0.792,0.352,2026-07-17
BANKNIFTY,521,1885939,17478900,-897210,3368443738755.0,523,1485036,18345780,2760120,2541463284370.5,1.05,0.787,2026-07-17
BDL,64,9172,8155325,113475,5414825698.75,67,1683,3618025,18700,896594110.0,0.444,0.183,2026-07-17
BEL,70,23641,54965100,-1057350,14510453021.25,70,8362,34117350,562875,4846702875.0,0.621,0.354,2026-07-17
