Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,50,23990,2431000,-140000,14891530775.0,52,7532,1733000,344500,4490950250.0,0.713,0.314,2026-08-20
ABB,69,26917,1953875,-177500,26109670100.0,69,15509,1045000,-36500,14086810931.25,0.535,0.576,2026-08-20
ABCAPITAL,76,24528,23243800,-1196600,31829386555.0,77,8544,17425100,-582800,10603365085.0,0.75,0.348,2026-08-20
ADANIENSOL,76,15229,7449300,-93150,16722972956.25,75,8018,3203550,-85725,8190896681.25,0.43,0.526,2026-08-20
ADANIENT,49,20347,4911864,-482658,19644250403.100002,48,11372,3503751,-46659,10407114669.75,0.713,0.559,2026-08-20
ADANIGREEN,79,23443,10835400,-222600,19394709150.0,74,8754,5225400,-66000,6889814130.0,0.482,0.373,2026-08-20
ADANIPORTS,78,30964,12878200,-1387000,25669002588.75,75,14251,6991525,-463600,11466818036.25,0.543,0.46,2026-08-20
ADANIPOWER,43,28207,59693250,-2421100,21949946389.5,42,5646,32344050,-891050,4049165429.0,0.542,0.2,2026-08-20
ALKEM,108,11095,1172875,-129125,7840368912.5,108,5491,489625,-29375,3611158025.0,0.417,0.495,2026-08-20
AMBER,74,22133,1892700,-179400,16738874770.0,73,10660,1168400,-71900,7607423065.0,0.617,0.482,2026-08-20
AMBUJACEM,76,13337,18978000,-228000,6853735320.0,76,6307,10402800,6000,3228663120.0,0.548,0.473,2026-08-20
ANGELONE,63,14505,28620000,-1470000,11089761250.0,61,6392,17102500,155000,4687975000.0,0.598,0.441,2026-08-20
APLAPOLLO,100,9758,2343600,12600,7446552155.0,100,7296,1467200,-201250,5304168537.5,0.626,0.748,2026-08-20
APOLLOHOSP,69,21957,2339750,-37125,24676991362.5,69,15564,1299750,-226000,16833615293.75,0.556,0.709,2026-08-20
ASHOKLEY,70,19372,111130000,-3550000,17568290450.0,72,10062,77245000,-2405000,8681562050.0,0.695,0.519,2026-08-20
ASIANPAINT,107,26170,6093000,-47500,17809251037.5,107,13561,3398250,20500,8867551150.0,0.558,0.518,2026-08-20
ASTRAL,78,11129,3726825,-205275,7515011840.0,78,5099,2037875,-105825,3318827316.25,0.547,0.458,2026-08-20
AUBANK,51,21605,8812000,1577000,24134988350.0,51,9365,5677000,156000,10083476000.0,0.644,0.433,2026-08-20
AUROPHARMA,64,7761,4698650,-74800,7163596990.0,65,4340,2680700,75900,3857321847.5,0.571,0.559,2026-08-20
AXISBANK,62,69681,23868125,-537500,55873670343.75,60,32520,13863125,-91875,25208889843.75,0.581,0.467,2026-08-20
BAJAJ-AUTO,85,29119,1218450,-47175,26141227882.5,97,23187,1459425,-167775,19872096041.25,1.198,0.796,2026-08-20
BAJAJFINSV,87,16356,8439000,-290400,10153713285.0,87,8256,4624800,-39300,4929709785.0,0.548,0.505,2026-08-20
BAJAJHLDNG,86,3414,125250,-9675,3039225915.0,87,4578,99675,5850,3674168040.0,0.796,1.341,2026-08-20
BAJFINANCE,99,50338,23910000,-1090500,42503988562.5,101,30761,17919750,-1583250,25076160037.5,0.749,0.611,2026-08-20
BANDHANBNK,50,1710,45097200,-3956400,1128520692.0,45,989,24897600,-1494000,618593940.0,0.552,0.578,2026-08-20
BANKBARODA,48,15341,48952800,-4949100,11391398138.25,48,10406,42523650,-2731950,7645651620.75,0.869,0.678,2026-08-20
BANKINDIA,49,4441,33217600,-2345200,3425867068.0,48,2685,27892800,46800,2052674780.0,0.84,0.605,2026-08-20
BANKNIFTY,479,2331218,22284210,-987480,4093193299191.0,481,2104101,20833080,1835910,3598605397497.0,0.935,0.903,2026-08-20
BDL,61,55110,10104800,1125825,32758619752.5,61,24185,5301875,504900,13606457131.25,0.525,0.439,2026-08-20
BEL,74,43603,55252950,483075,26169170962.5,73,15974,38313975,-1420725,9319371678.75,0.693,0.366,2026-08-20
BHARATFORG,99,15570,9229000,-929500,16814873275.0,99,8154,5503500,-309000,8328509050.0,0.596,0.524,2026-08-20
BHARTIARTL,74,54973,19115900,-1726625,52020401245.0,75,25504,10242425,9975,23409404028.75,0.536,0.464,2026-08-20
BHEL,80,21843,42047250,178500,25023637668.75,78,9910,23751000,-362250,10756807293.75,0.565,0.454,2026-08-20
BIOCON,69,8256,24632500,-815000,8876214625.0,69,4272,17587500,-440000,4465563125.0,0.714,0.517,2026-08-20
BLUESTARCO,86,8826,2699125,-581750,4510191920.0,86,5271,1651325,-2275,2559039502.5,0.612,0.597,2026-08-20
BOSCHLTD,93,95938,566825,-9900,119873312022.5,93,47214,545200,-83900,54310896813.75,0.962,0.492,2026-08-20
BPCL,55,7088,12967850,-744575,4488120448.75,55,4496,8927000,479925,2763999267.5,0.688,0.634,2026-08-20
BRITANNIA,82,12651,1270000,-175875,8930572662.5,83,10108,748750,-96875,6827550193.75,0.59,0.799,2026-08-20
BSE,42,241931,18027800,706200,172465359160.0,42,158619,8414000,-118600,103326141250.0,0.467,0.656,2026-08-20
CAMS,70,7618,8212875,351450,4959509115.0,71,2582,3664650,130350,1624609098.75,0.446,0.339,2026-08-20
CANBK,48,10087,85718250,-1728000,9215288122.5,46,7175,70490250,-249750,6517705635.0,0.822,0.711,2026-08-20
CDSL,52,26823,7368675,-734350,17794989410.0,52,10059,4595150,-172425,6424543482.5,0.624,0.375,2026-08-20
CGPOWER,47,17055,10094600,-1639650,13168394777.5,47,11326,5947450,-16150,8270766432.5,0.589,0.664,2026-08-20
CHOLAFIN,78,8467,4303750,-210625,10279857875.0,81,4389,2958750,-211875,5082608906.25,0.687,0.518,2026-08-20
CIPLA,99,13074,6040950,-436050,8305189902.5,100,7438,3564050,59500,4500355005.0,0.59,0.569,2026-08-20
COALINDIA,76,29345,38059200,-20250,16451497035.0,74,12705,26882550,1381050,6942845002.5,0.706,0.433,2026-08-20
COCHINSHIP,67,7824,3040400,-160400,4825327160.0,68,2900,2142400,125200,1754644620.0,0.705,0.371,2026-08-20
COFORGE,79,96876,8653075,953800,88040150802.5,81,54528,8493950,638875,47019333653.75,0.982,0.563,2026-08-20
COLPAL,104,17324,4026550,-495825,9355283630.0,104,7627,2582800,-66000,4024239986.25,0.641,0.44,2026-08-20
CONCOR,86,7829,10696250,-537500,5244849687.5,83,2575,5382500,-61250,1651820437.5,0.503,0.329,2026-08-20
CROMPTON,52,24233,25084050,-655750,13666297195.0,53,11641,15781000,206400,6229787540.0,0.629,0.48,2026-08-20
CUMMINSIND,50,13981,1889200,-197200,15374021540.0,50,5531,1208000,-12400,5653404160.0,0.639,0.396,2026-08-20
DABUR,79,10353,21020000,125000,5396295687.5,77,6078,11145000,98750,3085266312.5,0.53,0.587,2026-08-20
DALBHARAT,29,16967,898950,-174525,10733501285.0,30,7618,744575,12675,4634493613.75,0.828,0.449,2026-08-20
DELHIVERY,82,6042,17797275,-404625,5913811835.0,77,2085,10443475,-143175,1952272465.0,0.587,0.345,2026-08-20
DIVISLAB,78,22258,1684900,-80800,19526185625.0,78,14789,1540300,-58500,12308573605.0,0.914,0.664,2026-08-20
DIXON,55,235407,1916150,-102800,180179389495.0,56,128212,1514500,134800,90862281447.5,0.79,0.545,2026-08-20
DLF,55,25084,13625850,-1335700,16590555850.0,55,14386,10045300,-810350,9125112947.5,0.737,0.574,2026-08-20
DMART,71,60133,2127600,221550,37279478347.5,70,19338,1158450,-1200,11518979910.0,0.544,0.322,2026-08-20
DRREDDY,108,12338,11243125,-496875,9330923687.5,106,6576,7278750,156875,4808705500.0,0.647,0.533,2026-08-20
EICHERMOT,69,33673,1855100,-14300,27825908920.0,71,90915,1608400,13000,69093543905.0,0.867,2.7,2026-08-20
ETERNAL,54,65316,74365050,305550,52872924657.5,57,37518,57011750,6600850,28952077182.5,0.767,0.574,2026-08-20
FEDERALBNK,57,17236,22247500,-135000,15870166125.0,57,9658,16245000,-772500,8652522125.0,0.73,0.56,2026-08-20
FINNIFTY,240,64411,1217580,57540,103076255370.0,240,55490,991080,209400,85043113578.0,0.814,0.861,2026-08-20
FORCEMOT,41,15053,309350,-6800,7224751506.25,41,11224,134300,3400,4761817353.75,0.434,0.746,2026-08-20
FORTIS,92,4124,4890250,-558000,3037638656.25,92,2835,4379525,-3875,1976328042.5,0.896,0.687,2026-08-20
GAIL,61,12027,68901950,262700,7738176506.5,61,4749,25904350,649650,3033521682.5,0.376,0.395,2026-08-20
GLENMARK,88,30217,2981625,181500,26785278450.0,89,16522,1938000,230250,14054531662.5,0.65,0.547,2026-08-20
GMRAIRPORT,91,10377,72212175,816075,7640564265.0,87,3781,44974800,2922525,2683126399.5,0.623,0.364,2026-08-20
GODFRYPHLP,47,14953,2019050,17325,9213563466.25,48,4503,728750,-122650,2568181261.25,0.361,0.301,2026-08-20
GODREJCP,119,20768,10464000,-1483000,10111613900.0,119,10649,7479000,-239500,5009203650.0,0.715,0.513,2026-08-20
GODREJPROP,88,11911,3508375,-157950,8137483396.25,90,6316,2174575,-36725,4047634272.5,0.62,0.53,2026-08-20
GRASIM,135,22810,5357750,-750750,19126718787.5,135,11281,2912500,-132000,9103661400.0,0.544,0.495,2026-08-20
GVT&D,49,14792,1693250,181250,8094336500.0,51,10008,747500,-126500,4900708518.75,0.441,0.677,2026-08-20
HAL,85,50854,5194650,-323100,39476518590.0,87,23402,3702900,-265350,17344007062.5,0.713,0.46,2026-08-20
HAVELLS,50,7078,3536500,-150000,4650366225.0,50,2716,1727000,19000,1698274650.0,0.488,0.384,2026-08-20
HCLTECH,114,31635,7740800,-287200,17389119580.0,117,17471,5506800,-213600,9156197260.0,0.711,0.552,2026-08-20
HDFCAMC,49,28334,1954200,-399300,22657809960.0,46,9681,1820700,30000,7375876650.0,0.932,0.342,2026-08-20
HDFCBANK,73,229228,171100150,-7742800,112337376872.5,71,100461,98024550,-2572050,47682027672.5,0.573,0.438,2026-08-20
HDFCLIFE,92,19801,26764100,-947100,12191373810.0,91,7471,15286700,313500,4498344510.0,0.571,0.377,2026-08-20
HEROMOTOCO,58,21721,2474250,4200,19315154865.0,58,10872,1947900,-66450,8997142605.0,0.787,0.501,2026-08-20
HINDALCO,53,56372,19968200,1606500,42112651735.0,54,41966,12711300,201600,29761620840.0,0.637,0.744,2026-08-20
