Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,49,994,319000,48000,603884450.0,49,431,192500,47000,242328700.0,0.603,0.434,2026-01-28
ABB,95,38546,548125,242375,25552044162.5,95,12688,533000,124000,7770206618.75,0.972,0.329,2026-01-28
ABCAPITAL,54,5022,7926700,1553100,5800848030.0,54,2487,5958200,880400,2678352725.0,0.752,0.495,2026-01-28
ADANIENSOL,105,8272,2712150,97875,5197401045.0,105,4021,1788075,120825,2320300890.0,0.659,0.486,2026-01-28
ADANIENT,108,28828,5297805,358749,19151066179.050003,108,19647,5744928,723369,12017602754.7,1.084,0.682,2026-01-28
ADANIGREEN,111,20173,6651000,1230000,10822950480.0,111,10278,5368800,901200,4903026480.0,0.807,0.509,2026-01-28
ADANIPORTS,68,15804,4731950,909625,11005447472.5,67,9808,4473550,477850,6350727485.0,0.945,0.621,2026-01-28
ALKEM,82,875,61125,21625,656101937.5,82,747,56250,24500,540194112.5,0.92,0.854,2026-01-28
AMBER,68,1564,113200,22300,953760340.0,68,622,91300,5800,348715495.0,0.807,0.398,2026-01-28
AMBUJACEM,91,4883,7437150,704550,2916433590.0,91,2863,8604750,181650,1608275707.5,1.157,0.586,2026-01-28
ANGELONE,49,14324,971750,233500,9971945937.5,49,5058,695250,-16250,3175164837.5,0.715,0.353,2026-01-28
APLAPOLLO,73,7568,1069950,-46550,5795213042.5,73,2457,587300,54950,1758533140.0,0.549,0.325,2026-01-28
APOLLOHOSP,103,12945,641875,214625,11657382093.75,103,4017,487625,145250,3417940050.0,0.76,0.31,2026-01-28
ASHOKLEY,67,17750,38600000,3265000,18361483050.0,62,6346,23435000,3105000,5989093350.0,0.607,0.358,2026-01-28
ASIANPAINT,127,102368,4972250,2057000,68595427787.5,127,71808,3173250,520750,44866763762.5,0.638,0.701,2026-01-28
ASTRAL,61,4541,1094375,340850,2956716415.0,61,2543,701675,102850,1535884103.75,0.641,0.56,2026-01-28
AUBANK,79,4816,4267000,768000,4946418450.0,79,2431,3168000,292000,2313702300.0,0.742,0.505,2026-01-28
AUROPHARMA,94,2004,1297450,264000,1328684857.5,94,1040,1503150,188650,634154372.5,1.159,0.519,2026-01-28
AXISBANK,94,86407,12759375,4115000,75813571500.0,94,59425,11201875,1229375,49124865593.75,0.878,0.688,2026-01-28
BAJAJ-AUTO,67,18348,509025,97425,13832868386.25,68,20497,440625,100275,14073860681.25,0.866,1.117,2026-01-28
BAJAJFINSV,77,7263,1799500,210750,3756490212.5,78,4129,1930500,249750,1978189962.5,1.073,0.568,2026-01-28
BAJAJHLDNG,85,890,29300,17800,511292497.5,85,316,20900,9800,170189837.5,0.713,0.355,2026-01-28
BAJFINANCE,83,23253,10672500,1346250,17844968962.5,82,10565,12360750,892500,7337734650.0,1.158,0.454,2026-01-28
BANDHANBNK,50,9708,15454800,6166800,5674978152.0,50,3112,13230000,2228400,1668687048.0,0.856,0.321,2026-01-28
BANKBARODA,82,11421,21229650,1813500,10778429171.25,82,5188,21016125,933075,4580103498.75,0.99,0.454,2026-01-28
BANKINDIA,124,5114,14846000,946400,4675681920.0,124,3389,12656800,4414800,2829346676.0,0.853,0.663,2026-01-28
BANKNIFTY,407,936220,7888220,1499905,1730270360490.0,407,884670,8986070,1827445,1562994725458.5,1.139,0.945,2026-01-28
BDL,68,27596,2046100,886200,15928897617.5,68,6149,1504300,348600,3176730462.5,0.735,0.223,2026-01-28
BEL,71,274822,47962650,21346500,182652993502.5,72,103611,32138025,13167000,62608065911.25,0.67,0.377,2026-01-28
BHARATFORG,57,11196,1466500,616000,8552559950.0,57,2781,1020500,250000,1947578075.0,0.696,0.248,2026-01-28
BHARTIARTL,80,25055,5147100,2070050,24826408211.25,79,11951,3752500,1404575,11048946595.0,0.729,0.477,2026-01-28
BHEL,113,31274,40036500,8494500,22787178881.25,113,9032,19007625,1890000,5963202525.0,0.475,0.289,2026-01-28
BIOCON,67,4059,7542500,1222500,3987437250.0,65,1566,7360000,875000,1425423500.0,0.976,0.386,2026-01-28
BLUESTARCO,74,1046,210275,108550,616550788.75,73,952,212875,71175,515859760.0,1.012,0.91,2026-01-28
BOSCHLTD,114,2927,49900,14900,2827308868.75,114,983,36750,9050,842490575.0,0.736,0.336,2026-01-28
BPCL,58,11419,8107375,329825,8677486202.5,58,5658,6618225,1309425,3972076352.5,0.816,0.495,2026-01-28
BRITANNIA,91,8770,413125,224250,6892918025.0,91,4630,233875,103875,3302761393.75,0.566,0.528,2026-01-28
BSE,43,28526,4221750,1492500,32277587100.0,43,11241,2775750,592125,11672694806.25,0.657,0.394,2026-01-28
CAMS,66,3045,1799250,363000,1720693987.5,65,1670,1773750,304500,880415700.0,0.986,0.548,2026-01-28
CANBK,101,18580,51441750,12359250,20802207442.5,101,10532,52737750,13331250,10861742992.5,1.025,0.567,2026-01-28
CDSL,66,15895,4920525,1321925,10897304768.75,67,5102,4067900,480225,3269022888.75,0.827,0.321,2026-01-28
CGPOWER,67,66704,5662700,85850,34341555755.0,65,22310,5408550,1588650,10503674060.0,0.955,0.334,2026-01-28
CHOLAFIN,73,1775,1267500,316250,1963137968.75,74,1478,1330625,270625,1486804875.0,1.05,0.833,2026-01-28
CIPLA,123,10319,3496125,561000,5477627025.0,123,5431,2908125,241500,2659246556.25,0.832,0.526,2026-01-28
COALINDIA,145,67644,20425500,5148900,41605102102.5,146,20287,12424050,3322350,11721612060.0,0.608,0.3,2026-01-28
COFORGE,78,10996,2921250,541500,7311396112.5,74,10389,2146125,225000,6760117125.0,0.735,0.945,2026-01-28
COLPAL,80,4788,911250,107325,2445279120.0,80,3252,903375,163800,1562488537.5,0.991,0.679,2026-01-28
CONCOR,84,7336,6873750,1138750,4793596375.0,84,2650,7648750,726250,1620009500.0,1.113,0.361,2026-01-28
CROMPTON,95,4843,9037800,1904400,2135279070.0,95,1728,5700600,804600,716778540.0,0.631,0.357,2026-01-28
CUMMINSIND,78,3161,279000,78600,2671604020.0,78,1392,292000,50800,1096883000.0,1.047,0.44,2026-01-28
DABUR,76,7171,5113750,1715000,4895694687.5,76,3690,3342500,753750,2320173125.0,0.654,0.515,2026-01-28
