Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,40,1632,1373500,202000,1038787225.0,43,492,840000,20000,291313400.0,0.612,0.301,2026-08-27
ABB,55,7104,518125,40875,7109662950.0,55,4663,497500,89625,4357477262.5,0.96,0.656,2026-08-27
ABCAPITAL,61,1690,8965200,542500,2263370760.0,59,2047,11510300,1742200,2545355905.0,1.284,1.211,2026-08-27
ADANIENSOL,60,17125,3524850,700650,19558390511.25,58,3927,1830600,182250,4222796760.0,0.519,0.229,2026-08-27
ADANIENT,41,24836,3987027,112785,25348470774.0,40,12119,2863503,164079,11567805699.599998,0.718,0.488,2026-08-27
ADANIGREEN,57,8508,4419000,471000,7141080420.0,57,2872,3276600,277800,2272672530.0,0.741,0.338,2026-08-27
ADANIPORTS,65,19671,5586000,771875,16637550070.0,65,7575,4161475,48450,6137775437.5,0.745,0.385,2026-08-27
ADANIPOWER,35,67957,39965900,9645350,55325915466.0,34,23244,29500500,10184950,17274970098.0,0.738,0.342,2026-08-27
ALKEM,78,1565,216000,52375,1096858725.0,76,1341,131125,38250,843565468.75,0.607,0.857,2026-08-27
AMBER,56,41293,673200,224200,33486637185.0,59,16074,502800,115200,12091944385.0,0.747,0.389,2026-08-27
AMBUJACEM,63,7166,10264800,302400,3764412420.0,61,3138,8212800,10800,1579420860.0,0.8,0.438,2026-08-27
ANGELONE,50,5079,15972500,1535000,4032479625.0,51,2643,10980000,517500,1952021000.0,0.687,0.52,2026-08-27
APLAPOLLO,67,20156,1527750,850850,16268908425.0,67,4951,701050,230650,3784494227.5,0.459,0.246,2026-08-27
APOLLOHOSP,59,9814,786250,220375,11333612750.0,57,6483,671125,228000,6944089868.75,0.854,0.661,2026-08-27
ASHOKLEY,51,15686,49480000,9655000,14846569350.0,51,7937,40315000,3180000,6959631400.0,0.815,0.506,2026-08-27
ASIANPAINT,93,10898,3010000,506750,7617939900.0,88,6795,2129250,369250,4314166550.0,0.707,0.624,2026-08-27
ASTRAL,59,6190,1804125,304300,4219729672.5,60,2267,1011925,47175,1417481037.5,0.561,0.366,2026-08-27
ATHERENERG,48,4309,494625,138750,2566109325.0,50,1414,265500,78000,790951968.75,0.537,0.328,2026-08-27
AUBANK,44,9663,5230000,779000,11258740950.0,43,6615,3974000,-3000,7262227600.0,0.76,0.685,2026-08-27
AUROPHARMA,53,4064,2054250,491150,3823063585.0,52,1734,1302950,143550,1532184967.5,0.634,0.427,2026-08-27
AXISBANK,50,33803,13325625,894375,27600836687.5,49,20878,11782500,1024375,16271739125.0,0.884,0.618,2026-08-27
BAJAJ-AUTO,70,14522,635925,65475,13389028477.5,71,9608,564975,99750,8317486076.25,0.888,0.662,2026-08-27
BAJAJFINSV,68,7740,3308100,588900,4903764330.0,66,5323,2519700,454800,3064008840.0,0.762,0.688,2026-08-27
BAJAJHLDNG,56,307,31125,6150,273851156.25,56,245,21150,8700,205072106.25,0.68,0.798,2026-08-27
BAJFINANCE,75,26145,12069750,1281000,22488915412.5,74,13757,8687250,1285500,11107716412.5,0.72,0.526,2026-08-27
BANDHANBNK,37,4285,19252800,3106800,2851675956.0,33,2650,15890400,2444400,1640270376.0,0.825,0.618,2026-08-27
BANKBARODA,43,6873,37287900,2550600,5143998775.5,42,4187,34927425,532350,2925823943.25,0.937,0.609,2026-08-27
BANKINDIA,38,2512,18179200,587600,1994844644.0,38,2345,22224800,3005600,1720936932.0,1.223,0.934,2026-08-27
BANKNIFTY,427,647559,11312160,898800,1156570930179.0,429,680125,12682500,571680,1169941596613.5,1.121,1.05,2026-08-27
BDL,48,6240,4508825,364650,3817788982.5,51,3779,3206625,428400,2107361501.25,0.711,0.606,2026-08-27
BEL,59,22093,28558425,2904150,13569565492.5,62,8026,24709500,1389375,4637763033.75,0.865,0.363,2026-08-27
BHARATFORG,82,5507,2381500,220000,5873246175.0,74,3125,2066500,218500,3164524125.0,0.868,0.567,2026-08-27
BHARTIARTL,66,47965,13037800,3168725,45207313605.0,65,43465,9109075,2472375,38840934561.25,0.699,0.906,2026-08-27
BHEL,71,41112,23002875,4570125,49327965618.75,70,18828,17936625,5444250,21109129387.5,0.78,0.458,2026-08-27
BIOCON,56,3876,13417500,217500,4223355000.0,56,2342,12082500,-250000,2433579625.0,0.901,0.604,2026-08-27
BLUESTARCO,61,3914,1069900,130650,2005511722.5,60,1360,754325,97175,653666373.75,0.705,0.347,2026-08-27
BOSCHLTD,62,2786,94250,1350,3572058302.5,62,1962,70875,9400,2339306536.25,0.752,0.704,2026-08-27
BPCL,47,4249,7888150,545100,2791019538.75,46,2742,5881550,381175,1719583223.75,0.746,0.645,2026-08-27
BRITANNIA,72,5926,698625,139250,4138085750.0,73,4633,630750,137875,2969309162.5,0.903,0.782,2026-08-27
BSE,35,36772,8181400,365600,26518782740.0,35,17859,5321800,300000,11700555100.0,0.65,0.486,2026-08-27
CAMS,63,3488,3602775,553575,2329434607.5,60,1819,2475825,320100,1093022535.0,0.687,0.522,2026-08-27
CANBK,39,5622,51475500,4961250,5163084652.5,42,2857,46737000,1194750,2458949130.0,0.908,0.508,2026-08-27
CDSL,48,15695,5802600,598975,11221275265.0,49,9015,4196150,444125,5945534815.0,0.723,0.574,2026-08-27
CGPOWER,40,54994,5103400,1740800,44211790010.0,38,12684,4131850,672350,9445053077.5,0.81,0.231,2026-08-27
CHOLAFIN,63,4270,2163750,313125,5266595656.25,59,2554,1434375,592500,2964100750.0,0.663,0.598,2026-08-27
CIPLA,89,8957,3980975,620500,5658708697.5,85,5201,2762925,693175,3022334460.0,0.694,0.581,2026-08-27
COALINDIA,63,13451,26140050,3096900,7655695965.0,63,6347,18369450,2625750,3361131787.5,0.703,0.472,2026-08-27
COCHINSHIP,52,17681,2832000,821600,11593182700.0,53,3616,1410000,157600,2206989400.0,0.498,0.205,2026-08-27
COFORGE,57,8279,3952950,581400,7887792667.5,59,6381,3184875,599450,5650130035.0,0.806,0.771,2026-08-27
COLPAL,77,4227,2113650,151800,2271910822.5,79,2208,2056725,119625,1128947022.5,0.973,0.522,2026-08-27
CONCOR,64,2459,4430000,293750,1673764937.5,62,688,2613750,157500,443783687.5,0.59,0.28,2026-08-27
CROMPTON,47,5340,17019400,769700,2952423430.0,46,1921,11375650,204250,1005567792.5,0.668,0.36,2026-08-27
CUMMINSIND,42,5700,754400,108800,6237738990.0,42,4036,807800,148800,4047257080.0,1.071,0.708,2026-08-27
DABUR,67,6114,11561250,2280000,3171621500.0,67,3597,8652500,1177500,1731797500.0,0.748,0.588,2026-08-27
DELHIVERY,65,13153,10553450,1780350,13196145307.5,63,3384,6996900,904700,3196903218.75,0.663,0.257,2026-08-27
DIVISLAB,58,27966,1229700,207000,26509626070.0,58,19200,1230500,170200,16948351980.0,1.001,0.687,2026-08-27
DIXON,41,33578,1563100,-38150,25827871537.5,42,20667,1022700,97450,14436424435.0,0.654,0.615,2026-08-27
DLF,48,9374,7101250,366700,6385549972.5,49,3973,4642650,269800,2532654352.5,0.654,0.424,2026-08-27
DMART,60,15677,1502100,235050,9569701080.0,60,9614,1114050,209250,5429553997.5,0.742,0.613,2026-08-27
DRREDDY,86,10126,6326250,1329375,7875678406.25,86,6136,4404375,886875,4411829406.25,0.696,0.606,2026-08-27
EICHERMOT,55,10560,918500,75300,8862464285.0,56,5230,667300,33000,4179182070.0,0.727,0.495,2026-08-27
ETERNAL,45,13945,44503600,3778150,11695442653.75,46,7077,21036875,2063675,5549891617.5,0.473,0.507,2026-08-27
FEDERALBNK,48,4976,16355000,725000,4523937500.0,47,2890,12052500,-92500,2527639875.0,0.737,0.581,2026-08-27
FINNIFTY,197,4374,156120,17640,7154928222.0,197,2715,86520,15180,4341832143.0,0.554,0.621,2026-08-27
FORCEMOT,33,2697,96025,25100,1259480991.25,35,707,44175,8075,316954857.5,0.46,0.262,2026-08-27
FORTIS,69,1084,1247750,107725,826043670.0,69,469,1156300,61225,323965771.25,0.927,0.433,2026-08-27
GAIL,53,4768,21644350,3322800,3084589107.0,53,2012,14182250,802300,1225861114.5,0.655,0.422,2026-08-27
GLENMARK,76,7710,1597875,211125,7420326731.25,78,3091,993000,-1125,2801364225.0,0.621,0.401,2026-08-27
GMRAIRPORT,80,2536,38564775,4150125,1869493486.5,74,3378,39666825,14682375,2287913343.75,1.029,1.332,2026-08-27
GODFRYPHLP,37,1377,315975,66825,873017695.0,34,642,232925,46750,377482710.0,0.737,0.466,2026-08-27
GODREJCP,78,5169,4692500,478000,2513163975.0,78,2117,3516500,44000,981505775.0,0.749,0.41,2026-08-27
GODREJPROP,67,13428,1980550,445900,9569608490.0,66,3789,1086800,82875,2527329106.25,0.549,0.282,2026-08-27
GRASIM,104,4351,1733750,222750,3728718875.0,103,2394,821250,16500,1946932000.0,0.474,0.55,2026-08-27
