Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,44,3563,905000,374000,2058949875.0,44,1240,368000,152500,668206325.0,0.407,0.348,2026-07-01
ABB,78,5665,496375,39750,5314558100.0,78,3687,307500,35375,2909352131.25,0.619,0.651,2026-07-01
ABCAPITAL,66,4261,13729900,1193500,5574325450.0,66,1822,7108300,908300,2179384630.0,0.518,0.428,2026-07-01
ADANIENSOL,59,8010,2437425,1199475,8785035765.0,59,2879,1336500,426600,2933741092.5,0.548,0.359,2026-07-01
ADANIENT,86,45099,4863969,79104,45295622011.5,86,23090,4024416,300348,21779956433.100002,0.827,0.512,2026-07-01
ADANIGREEN,78,12168,3234600,577200,11833547430.0,78,5039,2557800,477000,4543059090.0,0.791,0.414,2026-07-01
ADANIPORTS,60,50366,5802125,1859150,46414758095.0,60,23212,3859375,1419300,20159743493.75,0.665,0.461,2026-07-01
ADANIPOWER,57,12697,31602100,5243350,11115404041.5,56,4713,19933250,4277750,3746660983.0,0.631,0.371,2026-07-01
ALKEM,88,1241,161375,13250,915188556.25,88,1211,116375,6625,791452368.75,0.721,0.976,2026-07-01
AMBER,59,6642,689900,150900,5386728035.0,58,3229,389800,74700,2377008810.0,0.565,0.486,2026-07-01
AMBUJACEM,71,7226,10599600,2364000,3908402220.0,71,2304,7150800,726000,1179412980.0,0.675,0.319,2026-07-01
ANGELONE,55,6848,9582500,2715000,6202239875.0,56,2404,6147500,1027500,2000093625.0,0.642,0.351,2026-07-01
APLAPOLLO,69,7166,604800,259700,4772888802.5,69,8676,774900,375550,5351320520.0,1.281,1.211,2026-07-01
APOLLOHOSP,86,5749,603000,196750,6553138518.75,86,6253,464500,191500,6581970875.0,0.77,1.088,2026-07-01
ASHOKLEY,67,50348,77545000,24685000,43931943500.0,67,16436,48180000,7845000,13170476100.0,0.621,0.326,2026-07-01
ASIANPAINT,87,28402,2258000,617500,20126317037.5,87,12894,1658250,605250,8485135000.0,0.734,0.454,2026-07-01
ASTRAL,75,16568,3320950,-79050,10362934821.25,75,7185,1982200,178075,4077935243.75,0.597,0.434,2026-07-01
AUBANK,61,4519,3522000,543000,5009632500.0,61,2350,2214000,250000,2355142750.0,0.629,0.52,2026-07-01
AUROPHARMA,63,3897,2026750,397100,3515875962.5,63,3527,1628550,157850,3014204462.5,0.804,0.905,2026-07-01
AXISBANK,80,24467,7843750,1923750,21888146593.75,81,16361,5354375,1285625,13896611500.0,0.683,0.669,2026-07-01
BAJAJ-AUTO,80,25320,859125,112875,19672423931.25,80,11306,702975,78375,8034027600.0,0.818,0.447,2026-07-01
BAJAJFINSV,71,28437,3677700,1119600,16020369795.0,71,14831,2895600,715500,7833406455.0,0.787,0.522,2026-07-01
BAJAJHLDNG,80,1397,37275,27825,1187717396.25,80,1968,32250,23025,1360006586.25,0.865,1.409,2026-07-01
BAJFINANCE,80,22286,9686250,1467000,17842426500.0,80,17232,8592750,1867500,12904339687.5,0.887,0.773,2026-07-01
BANDHANBNK,58,4833,26452800,608400,3864391596.0,58,2559,16027200,871200,1879729740.0,0.606,0.529,2026-07-01
BANKBARODA,116,7284,25438725,4893525,6139010913.75,116,4253,22800375,3483675,3441338696.25,0.896,0.584,2026-07-01
BANKINDIA,76,2308,15100800,3182400,1821804244.0,76,1042,13785200,1934400,758080960.0,0.913,0.451,2026-07-01
BANKNIFTY,484,782841,10939500,1424250,1412485305547.5,487,668497,10349790,1967370,1137291337518.0,0.946,0.854,2026-07-01
BDL,61,12430,2647325,78625,7680748877.5,61,4497,1616275,189975,2468992896.25,0.611,0.362,2026-07-01
BEL,67,22995,35072100,3437100,14389388940.0,67,9317,23177625,1399350,5493583121.25,0.661,0.405,2026-07-01
BHARATFORG,85,5876,1689000,259000,6553591750.0,86,3651,1323000,158500,3706729750.0,0.783,0.621,2026-07-01
BHARTIARTL,71,29422,8106350,1617850,27148484233.75,71,15641,5776000,1462525,13810118792.5,0.713,0.532,2026-07-01
BHEL,100,10886,19532625,4142250,12662999737.5,99,4944,13119750,2756250,5343439500.0,0.672,0.454,2026-07-01
BIOCON,59,8600,13070000,3020000,9584012125.0,60,3071,8232500,1420000,3218803500.0,0.63,0.357,2026-07-01
BLUESTARCO,71,2312,558675,143975,1371019243.75,71,1004,448175,27300,500158116.25,0.802,0.434,2026-07-01
BOSCHLTD,88,3920,55575,7075,4258375276.25,88,1179,49725,4275,1162591637.5,0.895,0.301,2026-07-01
BPCL,53,4960,13360875,1185000,3158886495.0,53,3288,8016525,590525,1959523801.25,0.6,0.663,2026-07-01
BRITANNIA,82,11790,549750,164500,8035943537.5,82,5189,452875,127500,3199018318.75,0.824,0.44,2026-07-01
BSE,52,29197,3618800,352800,24456877970.0,52,17659,3029200,375400,13687366360.0,0.837,0.605,2026-07-01
CAMS,63,4243,2203575,655875,2933472423.75,63,1611,1062600,306075,1054462200.0,0.482,0.38,2026-07-01
CANBK,158,6881,67439250,9112500,6259128457.5,158,3172,56234250,5116500,2714983920.0,0.834,0.461,2026-07-01
CDSL,53,21658,4574725,1409800,14456450508.75,53,7418,3358725,461700,4587918362.5,0.734,0.343,2026-07-01
CGPOWER,53,13888,4372400,1876800,12119963595.0,53,4481,2470100,583100,3638100767.5,0.565,0.323,2026-07-01
