Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,51,5223,2962000,114000,3018047550.0,52,2767,1870000,-313000,1499367250.0,0.631,0.53,2026-07-22
ABB,82,25834,2126375,-78250,25553199212.5,86,13903,1467625,-123125,12685181231.25,0.69,0.538,2026-07-22
ABCAPITAL,75,7742,16746200,1289600,10072339580.0,75,4251,10521400,-176700,5282579490.0,0.628,0.549,2026-07-22
ADANIENSOL,86,28197,8548200,159975,34292921332.5,87,12564,3792825,98550,14511708292.5,0.444,0.446,2026-07-22
ADANIENT,76,32389,7339986,-478023,32690177486.850002,79,16417,4866441,-290769,15808313912.550001,0.663,0.507,2026-07-22
ADANIGREEN,89,50606,11271000,3150000,48523943460.0,91,20062,6642600,930600,17944723140.0,0.589,0.396,2026-07-22
ADANIPORTS,73,19057,7284600,-114475,17086519120.0,73,12019,4574725,-245100,10362849778.75,0.628,0.631,2026-07-22
ADANIPOWER,52,77214,86012950,17341750,64219288278.0,52,24270,50484550,6816000,18378734820.0,0.587,0.314,2026-07-22
ALKEM,84,6673,426750,-22875,4837988862.5,82,5198,190000,8500,3586316687.5,0.445,0.779,2026-07-22
AMBER,68,23684,1476400,127600,18802453725.0,68,23597,1346300,259000,17551654005.0,0.912,0.996,2026-07-22
AMBUJACEM,71,11419,17047200,-153600,6209691840.0,71,4453,9384000,213600,2333409420.0,0.55,0.39,2026-07-22
ANGELONE,66,18002,33457500,-717500,15355803125.0,67,8241,16105000,940000,6598071125.0,0.481,0.458,2026-07-22
APLAPOLLO,71,5874,1319500,-133000,3860512390.0,71,2091,1107750,-52150,1306013310.0,0.84,0.356,2026-07-22
APOLLOHOSP,76,9532,1161625,-7000,10859152762.5,82,6757,1089875,20500,7412093750.0,0.938,0.709,2026-07-22
ASHOKLEY,64,12840,96580000,-1000000,10536815500.0,67,6941,67740000,-590000,5361967250.0,0.701,0.541,2026-07-22
ASIANPAINT,98,18835,4414250,-11250,13144312837.5,98,13468,3827000,21750,8831008200.0,0.867,0.715,2026-07-22
ASTRAL,76,16248,3168375,1275,10065670037.5,76,5047,2117350,-164050,2962262240.0,0.668,0.311,2026-07-22
AUBANK,61,9060,9483000,290000,9452869550.0,62,7718,6687000,127000,7616586000.0,0.705,0.852,2026-07-22
AUROPHARMA,66,16541,5261300,727650,14505099455.0,66,15729,3056350,503800,13280915285.0,0.581,0.951,2026-07-22
AXISBANK,78,84922,40959375,1908750,69020775281.25,79,45504,21761250,1544375,35455893937.5,0.531,0.536,2026-07-22
BAJAJ-AUTO,99,432841,2345100,-363900,362283460826.25,99,214659,2787675,1139100,170416771582.5,1.189,0.496,2026-07-22
