Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,51,9418,2456000,-21500,5573309300.0,52,2280,1314500,-127500,1235854900.0,0.535,0.242,2026-07-27
ABB,82,32803,2079750,-32125,31462466631.25,86,21849,1261750,-13000,19744520056.25,0.607,0.666,2026-07-27
ABCAPITAL,75,5759,12685200,-1878600,7348904795.0,75,3388,11197200,-99200,4055890270.0,0.883,0.588,2026-07-27
ADANIENSOL,86,18117,7485750,-706725,21402869692.5,87,7892,3261600,-415800,8840122683.75,0.436,0.436,2026-07-27
ADANIENT,76,27599,6777915,-267903,26758056066.300003,79,11806,4346394,-272538,10968492505.5,0.641,0.428,2026-07-27
ADANIGREEN,101,26576,12570000,-475800,23785387500.0,103,12723,7032000,-209400,10706698800.0,0.559,0.479,2026-07-27
ADANIPORTS,78,25088,6753550,-457425,21786496062.5,78,18063,4672100,-53675,15114011890.0,0.692,0.72,2026-07-27
ADANIPOWER,52,29316,64201750,-9826400,23621330906.5,52,9889,40874700,-2105150,7463056441.0,0.637,0.337,2026-07-27
ALKEM,84,6281,297750,-66000,4512288250.0,82,5455,132125,-27000,3691847681.25,0.444,0.868,2026-07-27
AMBER,73,31429,1291600,-215800,24162620680.0,73,32745,1248000,-106900,23394631640.0,0.966,1.042,2026-07-27
AMBUJACEM,71,15200,15494400,-936000,8261722980.0,71,7278,8960400,15600,3891859200.0,0.578,0.479,2026-07-27
ANGELONE,71,12303,27912500,-2955000,10130873000.0,71,6525,14670000,-1837500,5034117750.0,0.526,0.53,2026-07-27
APLAPOLLO,71,4674,1214500,-36050,3111744037.5,71,2719,1117200,24150,1741123965.0,0.92,0.582,2026-07-27
APOLLOHOSP,76,10886,836125,-133750,12294461175.0,82,10023,708250,-76625,10913432187.5,0.847,0.921,2026-07-27
ASHOKLEY,65,16396,77530000,-11545000,13393245800.0,68,9360,62165000,-4535000,7346367000.0,0.802,0.571,2026-07-27
ASIANPAINT,98,38674,3654250,-255500,26749602462.5,98,22823,3106500,-208000,15205197062.5,0.85,0.59,2026-07-27
ASTRAL,80,9906,2880650,-5525,6338895293.75,80,6419,2238475,-171700,3927223911.25,0.777,0.648,2026-07-27
AUBANK,64,60985,8855000,-1897000,65458906000.0,65,33925,7269000,-1461000,34415759950.0,0.821,0.556,2026-07-27
AUROPHARMA,67,13793,4277350,-755150,12204396215.0,67,5987,2748900,-158400,5048751042.5,0.643,0.434,2026-07-27
AXISBANK,79,100448,37103125,-1647500,79649304687.5,80,37489,20704375,-2628750,29032758031.25,0.558,0.373,2026-07-27
BAJAJ-AUTO,102,85519,2264400,-243300,73608679166.25,102,60690,2990250,-236250,49631207730.0,1.321,0.71,2026-07-27
BAJAJFINSV,83,26203,5085300,-305700,15309127350.0,84,14460,4019100,-251700,8184405360.0,0.79,0.552,2026-07-27
BAJAJHLDNG,90,4844,136275,-50400,4083653910.0,92,11246,65925,-21150,8591718607.5,0.484,2.322,2026-07-27
BAJFINANCE,90,55139,18006750,-2074500,44054739525.0,92,34704,16251750,162000,26704412100.0,0.903,0.629,2026-07-27
BANDHANBNK,72,26441,108799200,-11160000,17411218848.0,70,11916,59108400,-6570000,7344188244.0,0.543,0.451,2026-07-27
BANKBARODA,87,37476,70507125,-128700,28261220130.0,96,31933,59049900,-2614950,23123186043.75,0.838,0.852,2026-07-27
