Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,39,731,481000,23000,434776150.0,41,329,289000,58500,181119925.0,0.601,0.45,2026-05-29
ABB,91,24024,892750,51875,23066604518.75,103,17533,616875,-10250,13925692031.25,0.691,0.73,2026-05-29
ABCAPITAL,51,3295,7306700,930000,3943598505.0,50,1388,5886900,399900,1566507190.0,0.806,0.421,2026-05-29
ADANIENSOL,54,7597,4916025,604125,8544352365.0,53,2735,2498850,-16875,2742072311.25,0.508,0.36,2026-05-29
ADANIENT,90,19156,6039096,480186,18599833354.050003,100,14187,4663737,208266,12248936052.75,0.772,0.741,2026-05-29
ADANIGREEN,73,12580,5827800,-34800,12087097770.0,79,5980,3717600,73800,5331805020.0,0.638,0.475,2026-05-29
ADANIPORTS,57,12810,4639325,499700,11603181131.25,58,7962,2539350,301625,6764086711.25,0.547,0.622,2026-05-29
ADANIPOWER,61,11014,29859050,2566650,10492311059.0,59,5664,22247850,1579750,4754057973.0,0.745,0.514,2026-05-29
ALKEM,91,36128,569500,316750,27035215781.25,92,14770,301000,99625,10254802418.75,0.529,0.409,2026-05-29
AMBER,59,31445,1524100,58700,26279583700.0,55,17044,1174600,42300,12488689180.0,0.771,0.542,2026-05-29
AMBUJACEM,58,7372,11119650,328800,3725060902.5,62,2965,8531400,60750,1423127400.0,0.767,0.402,2026-05-29
ANGELONE,48,5291,13472500,595000,4861292625.0,50,2787,9640000,185000,2364883500.0,0.716,0.527,2026-05-29
APLAPOLLO,71,3002,883400,109900,2068500910.0,71,1475,703850,87150,963135005.0,0.797,0.491,2026-05-29
APOLLOHOSP,93,9700,876250,143500,10583138875.0,97,6274,597750,109250,6385526068.75,0.682,0.647,2026-05-29
ASHOKLEY,63,47811,105995000,44800000,41302596500.0,66,20572,67345000,16720000,16069554750.0,0.635,0.43,2026-05-29
ASIANPAINT,78,129228,4194000,1702750,92207475300.0,87,52347,2757250,1070000,34669718962.5,0.657,0.405,2026-05-29
ASTRAL,57,4165,1479850,167025,2968113831.25,61,2802,1076950,151725,1858503962.5,0.728,0.673,2026-05-29
AUBANK,64,3154,3057000,501000,3338507850.0,64,2488,2628000,234000,2485892450.0,0.86,0.789,2026-05-29
AUROPHARMA,53,4244,3212000,99000,3571341977.5,50,2223,1965150,130900,1748504092.5,0.612,0.524,2026-05-29
AXISBANK,83,20851,7745000,994375,17717365312.5,86,16884,6578750,872500,13644540781.25,0.849,0.81,2026-05-29
BAJAJ-AUTO,72,39424,1324725,254325,32532677422.5,74,15213,685875,111600,11683560228.75,0.518,0.386,2026-05-29
BAJAJFINSV,66,9458,2469950,632450,4510473932.5,65,7071,2485250,459350,3088015892.5,1.006,0.748,2026-05-29
