Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,51,4229,1443500,279500,2504068350.0,52,1131,680500,9500,607029825.0,0.471,0.267,2026-07-09
ABB,66,5563,1067875,15125,5021194331.25,70,1536,649000,15250,1291610712.5,0.608,0.276,2026-07-09
ABCAPITAL,75,6450,12331800,-217000,8320356600.0,75,4942,10056400,18600,5974841420.0,0.815,0.766,2026-07-09
ADANIENSOL,77,7609,5993325,4050,8995188881.25,78,4808,2843775,-56025,5290835523.75,0.474,0.632,2026-07-09
ADANIENT,76,26027,8571660,143376,26181821649.599995,79,13264,5154738,204558,12496778757.299997,0.601,0.51,2026-07-09
ADANIGREEN,70,8676,6298200,630000,8390642460.0,73,2965,3930000,159600,2683474950.0,0.624,0.342,2026-07-09
ADANIPORTS,73,13870,6954000,74100,12575679387.5,73,8214,4466900,143450,6932156507.5,0.642,0.592,2026-07-09
ADANIPOWER,49,13285,60974800,2421100,11216478754.0,49,4149,33267050,-106500,3188350069.0,0.546,0.312,2026-07-09
ALKEM,81,3114,311625,54375,2308118250.0,79,527,157000,13750,371253681.25,0.504,0.169,2026-07-09
AMBER,61,22541,835200,-18600,18031936555.0,60,8022,521200,18600,5969421495.0,0.624,0.356,2026-07-09
AMBUJACEM,71,5182,13568400,-172800,2795124660.0,71,1985,8550000,120000,1016292660.0,0.63,0.383,2026-07-09
ANGELONE,62,7490,15585000,-252500,6755006625.0,62,5373,9972500,355000,4495230250.0,0.64,0.717,2026-07-09
APLAPOLLO,68,2248,1294650,138250,1485095570.0,67,1106,952350,44800,698674007.5,0.736,0.492,2026-07-09
APOLLOHOSP,73,13395,866000,-40125,15337157275.0,79,8709,876125,55375,9584642112.5,1.012,0.65,2026-07-09
ASHOKLEY,63,16027,88555000,11575000,13513769400.0,66,8707,58645000,-275000,6808526350.0,0.662,0.543,2026-07-09
ASIANPAINT,96,13200,3365500,47500,9237043312.5,96,13643,2791000,36750,9033339912.5,0.829,1.034,2026-07-09
ASTRAL,73,6239,4471850,314925,3768997006.25,73,3930,2535125,125375,2168792340.0,0.567,0.63,2026-07-09
AUBANK,56,4400,5276000,386000,4826085800.0,58,2850,3820000,441000,2982283200.0,0.724,0.648,2026-07-09
AUROPHARMA,65,8736,3698750,-345950,7935399092.5,65,4257,2238500,-7150,3664438607.5,0.605,0.487,2026-07-09
AXISBANK,69,36563,19334375,2804375,31290465343.75,72,18848,10934375,576250,15527401812.5,0.566,0.515,2026-07-09
BAJAJ-AUTO,77,14863,1026300,9825,11827707438.75,78,13606,883425,-35625,10249795931.25,0.861,0.915,2026-07-09
BAJAJFINSV,79,27014,4650300,436200,15785390025.0,80,17543,4049700,229200,9768989805.0,0.871,0.649,2026-07-09
BAJAJHLDNG,88,1335,95400,5325,1117287262.5,91,616,47325,1575,498222630.0,0.496,0.461,2026-07-09
BAJFINANCE,82,33714,14913750,2053500,26578368562.5,84,24902,12885750,1471500,18751250850.0,0.864,0.739,2026-07-09
BANDHANBNK,53,4391,33084000,-460800,3384395100.0,49,2903,22341600,154800,2099231208.0,0.675,0.661,2026-07-09
BANKBARODA,87,14281,76374675,-924300,10950436575.0,96,5902,52351650,1377675,4239438547.5,0.685,0.413,2026-07-09
BANKINDIA,68,4687,31631600,1154400,3590759224.0,66,2974,25864800,1471600,2126857720.0,0.818,0.635,2026-07-09
BANKNIFTY,506,1076014,15457710,112890,1914269881054.5,508,963484,13887960,763680,1628362549516.5,0.898,0.895,2026-07-09
BDL,58,10372,5693725,378250,6324821440.0,62,4367,2672400,93500,2482122230.0,0.469,0.421,2026-07-09
BEL,68,31394,52716450,3085125,19259954580.0,69,15552,30905400,960450,9009986295.0,0.586,0.495,2026-07-09
BHARATFORG,80,4864,2147500,-11500,5417194425.0,84,2543,1597500,6500,2632051025.0,0.744,0.523,2026-07-09
BHARTIARTL,70,130836,14996225,3564875,123832479883.75,71,63325,8294450,911525,57312069893.75,0.553,0.484,2026-07-09
BHEL,89,12334,44945250,-813750,13197620625.0,90,5172,22974000,133875,5213516175.0,0.511,0.419,2026-07-09
BIOCON,70,13546,21195000,807500,14481172375.0,70,7807,14045000,1902500,7885365250.0,0.663,0.576,2026-07-09
BLUESTARCO,66,3522,1123200,-48425,1930437307.5,65,1665,709150,16900,852390971.25,0.631,0.473,2026-07-09
BOSCHLTD,72,4320,121500,-2425,4774240431.25,80,2016,98275,4650,2055555340.0,0.809,0.467,2026-07-09
BPCL,52,6908,17960650,-112575,4413935696.25,53,6783,14174575,-27650,4015680896.25,0.789,0.982,2026-07-09
BRITANNIA,81,3558,711000,39000,2466890681.25,82,2920,618875,87375,1912376825.0,0.87,0.821,2026-07-09
BSE,48,41654,6358200,-483200,33568322420.0,51,23126,4280000,88200,17221559680.0,0.673,0.555,2026-07-09
CAMS,70,3655,4327125,-28875,2438927163.75,69,1796,2355375,122925,1095758358.75,0.544,0.491,2026-07-09
CANBK,98,13104,110882250,-2160000,11609988525.0,98,5603,87122250,3638250,4690324305.0,0.786,0.428,2026-07-09
CDSL,54,13705,5031200,105450,9170252197.5,55,6076,3622350,63650,3820074758.75,0.72,0.443,2026-07-09
CGPOWER,59,7720,9123900,-53550,6375061285.0,57,3609,5648250,-55250,2756311745.0,0.619,0.467,2026-07-09
CHOLAFIN,71,5748,3116250,246250,6764332812.5,76,4257,2522500,198750,4670935281.25,0.809,0.741,2026-07-09
CIPLA,97,9404,6625750,122400,6063812322.5,102,5577,4099975,143225,3366390490.0,0.619,0.593,2026-07-09
COALINDIA,75,24514,32988600,256500,14906392132.5,72,12418,23758650,313200,7219289430.0,0.72,0.507,2026-07-09
COCHINSHIP,68,10185,4474000,-14800,6153331300.0,67,3834,3218000,1600,2131761320.0,0.719,0.376,2026-07-09
COFORGE,71,16593,7799025,617025,12275170661.25,72,6725,3946300,112575,4615105130.0,0.506,0.405,2026-07-09
COLPAL,77,4767,1435225,-15950,2814565668.75,79,3170,1098900,37125,1781717561.25,0.766,0.665,2026-07-09
CONCOR,87,2606,7412500,6250,1586830250.0,87,1017,4705000,85000,587380812.5,0.635,0.39,2026-07-09
CROMPTON,60,2870,11119800,283800,1711093517.5,60,1093,4489200,285950,615634010.0,0.404,0.381,2026-07-09
CUMMINSIND,51,4840,1133000,45400,5656393370.0,53,1436,715000,-5000,1546087250.0,0.631,0.297,2026-07-09
DABUR,68,10726,13331250,-847500,6171498250.0,69,4820,8403750,140000,2592208750.0,0.63,0.449,2026-07-09
DALBHARAT,55,2403,1150825,33800,1449543322.5,59,1333,615550,39000,723164926.25,0.535,0.555,2026-07-09
DELHIVERY,80,10905,15635125,22825,12232033285.0,80,4439,10470450,80925,4676308187.5,0.67,0.407,2026-07-09
DIVISLAB,62,27026,1279200,158900,19208366640.0,60,12275,1193100,58600,8263306975.0,0.933,0.454,2026-07-09
DIXON,87,103077,1490250,24200,73667093490.0,89,44695,1521100,115750,29058768365.0,1.021,0.434,2026-07-09
DLF,69,23969,9604500,19000,15582746355.0,75,12543,7513550,554800,7640884295.0,0.782,0.523,2026-07-09
DMART,72,18100,2066700,-4650,11596331190.0,72,9736,1295550,-14250,5783616727.5,0.627,0.538,2026-07-09
DRREDDY,119,94119,17668750,6758750,79666341875.0,119,74424,8604375,4125625,59958508843.75,0.487,0.791,2026-07-09
