Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,49,3179,1141500,96500,1907077875.0,50,933,579000,45000,510705500.0,0.507,0.293,2026-07-07
ABB,64,16820,985750,80250,15303212150.0,69,4647,564500,61375,3982486487.5,0.573,0.276,2026-07-07
ABCAPITAL,66,2816,11318100,-93000,3725773750.0,69,2704,9591400,306900,3353616270.0,0.847,0.96,2026-07-07
ADANIENSOL,76,15949,5338575,806625,18654093922.5,77,4927,2506275,316575,5439923921.25,0.469,0.309,2026-07-07
ADANIENT,71,27244,8127627,1105911,27949987521.449997,74,17641,4942764,3090,17011757069.999998,0.608,0.648,2026-07-07
ADANIGREEN,68,11185,5296200,351000,10948013130.0,72,4997,3453000,-25200,4621385460.0,0.652,0.447,2026-07-07
ADANIPORTS,68,11669,6870875,192375,10769624650.0,69,9560,4341025,-193800,8308001037.5,0.632,0.819,2026-07-07
ADANIPOWER,48,15149,57286350,7320100,12836099194.5,48,5049,32209150,3415100,3895076756.0,0.562,0.333,2026-07-07
ALKEM,79,6389,264375,23250,4711555337.5,77,1271,145500,16125,891500725.0,0.55,0.199,2026-07-07
AMBER,61,9559,764100,-11900,7735649055.0,60,3358,508100,4000,2473838125.0,0.665,0.351,2026-07-07
AMBUJACEM,71,5513,14478000,22800,3065059140.0,71,1979,8715600,-180000,1036868160.0,0.602,0.359,2026-07-07
ANGELONE,58,6013,14720000,657500,5486478125.0,59,3741,8710000,637500,3201685750.0,0.592,0.622,2026-07-07
APLAPOLLO,68,4134,1201900,31500,2742920932.5,67,1030,908950,31150,643328035.0,0.756,0.249,2026-07-07
APOLLOHOSP,73,7744,878750,18000,8927125168.75,79,5316,889000,9875,5869428425.0,1.012,0.686,2026-07-07
ASHOKLEY,58,8387,71755000,4090000,7364915000.0,62,4586,52020000,-695000,3702440450.0,0.725,0.547,2026-07-07
ASIANPAINT,90,7694,3167000,11000,5517649362.5,90,4898,2425250,-1750,3312662437.5,0.766,0.637,2026-07-07
ASTRAL,68,6786,4051525,82875,4270760102.5,69,2670,2443750,45475,1533076128.75,0.603,0.393,2026-07-07
AUBANK,55,5030,5033000,-225000,5626246450.0,57,2790,3676000,321000,2978005900.0,0.73,0.555,2026-07-07
