Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,42,2722,1187500,-72000,1664565175.0,45,906,658500,18000,505735000.0,0.555,0.333,2026-07-31
ABB,58,38132,1414500,516125,38247233731.25,59,22399,861000,234875,20317830556.25,0.609,0.587,2026-07-31
ABCAPITAL,61,26129,16048700,6190700,34924985175.0,61,13557,11519600,3437900,16996132075.0,0.718,0.519,2026-07-31
ADANIENSOL,68,6019,3718575,225450,7107574095.0,67,3307,2141100,85725,3688760317.5,0.576,0.549,2026-07-31
ADANIENT,46,14158,4276869,332484,14016460765.05,45,8289,3229050,-70143,7689945804.0,0.755,0.585,2026-07-31
ADANIGREEN,69,13229,8376000,76200,11839252110.0,63,6544,5011800,150600,5360012730.0,0.598,0.495,2026-07-31
ADANIPORTS,76,43462,12575150,-1916150,36720756956.25,73,16925,7381975,-20900,13463758886.25,0.587,0.389,2026-07-31
ADANIPOWER,36,25374,33735650,958500,21317087747.5,35,4397,23557800,1778550,3173604327.5,0.698,0.173,2026-07-31
ALKEM,78,4296,409750,38125,3263567081.25,79,2269,221125,112250,1582370318.75,0.54,0.528,2026-07-31
AMBER,58,9811,723600,49700,7832569975.0,60,5524,852800,55600,4011487060.0,1.179,0.563,2026-07-31
AMBUJACEM,61,5511,11284800,242400,2998321740.0,61,3073,8193600,-62400,1609567860.0,0.726,0.558,2026-07-31
ANGELONE,62,8471,18232500,442500,6835046875.0,60,2623,9622500,-55000,1922356625.0,0.528,0.31,2026-07-31
APLAPOLLO,65,7455,1477700,472500,5115484167.5,64,6644,1415400,467950,4248199042.5,0.958,0.891,2026-07-31
APOLLOHOSP,59,7271,660875,74500,8528177906.25,61,3442,449625,30625,3774086187.5,0.68,0.473,2026-07-31
ASHOKLEY,57,35611,48635000,7575000,31149394950.0,58,17201,48290000,6405000,13762371950.0,0.993,0.483,2026-07-31
ASIANPAINT,88,28038,5710500,-24750,20211200387.5,91,13126,3432500,52250,8807491025.0,0.601,0.468,2026-07-31
ASTRAL,60,3199,1697875,216325,2067659828.75,60,1992,1092675,131325,1217833823.75,0.644,0.623,2026-07-31
AUBANK,42,5033,3642000,146000,5505971950.0,41,2639,2926000,237000,2694087250.0,0.803,0.524,2026-07-31
AUROPHARMA,54,2636,2598200,64350,2408457947.5,55,1202,1745150,92950,1032172625.0,0.672,0.456,2026-07-31
AXISBANK,55,28753,19704375,1530000,23154447906.25,52,13798,13658125,943750,10593091000.0,0.693,0.48,2026-07-31
BAJAJ-AUTO,73,26279,996675,35625,23624424341.25,85,19521,1585575,140700,16383346293.75,1.591,0.743,2026-07-31
BAJAJFINSV,80,124260,6087900,3142800,77861945355.0,80,56803,4615500,1702200,33250299240.0,0.758,0.457,2026-07-31
BAJAJHLDNG,70,5606,84225,29250,5003021726.25,71,1858,44925,8100,1516424688.75,0.533,0.331,2026-07-31
BAJFINANCE,89,215631,21079500,5716500,188949696750.0,92,118754,23151750,9069000,97032817912.5,1.098,0.551,2026-07-31
BANDHANBNK,47,8186,61632000,-1375200,5570569656.0,42,4229,32547600,-50400,2605589064.0,0.528,0.517,2026-07-31
BANKBARODA,46,4676,38999025,234000,3528370608.75,46,3675,39809250,336375,2479317750.0,1.021,0.786,2026-07-31
BANKINDIA,45,2512,36181600,837200,1923434916.0,44,1348,30648800,442000,943994896.0,0.847,0.537,2026-07-31
BANKNIFTY,461,758964,12246000,483360,1342305883963.5,463,611733,11094690,125640,1034917319002.5,0.906,0.806,2026-07-31
BDL,54,5565,2413150,180200,3147237582.5,53,1414,1912075,-39100,736449158.75,0.792,0.254,2026-07-31
BEL,68,35580,59027775,1035975,20937040785.0,67,14402,34656000,1047375,7923566152.5,0.587,0.405,2026-07-31
BHARATFORG,75,7671,1928000,367000,8849490400.0,75,2484,1682500,239500,2697237800.0,0.873,0.324,2026-07-31
BHARTIARTL,65,31072,7381975,387125,30036169546.25,66,14636,5875275,554800,13532635453.75,0.796,0.471,2026-07-31
BHEL,71,13939,28077000,-627375,15864657112.5,67,6135,16952250,627375,6545154393.75,0.604,0.44,2026-07-31
BIOCON,62,4637,14335000,2097500,5268160375.0,62,3081,10680000,1842500,3256322750.0,0.745,0.664,2026-07-31
BLUESTARCO,61,1344,353925,44850,783215160.0,63,746,368550,21775,384243811.25,1.041,0.555,2026-07-31
BOSCHLTD,58,2563,58150,6175,2834567471.25,58,1070,74775,200,1055976631.25,1.286,0.417,2026-07-31
BPCL,47,5403,9268675,880850,3612258015.0,48,3103,6748575,213300,1933754100.0,0.728,0.574,2026-07-31
BRITANNIA,70,8275,750750,33000,5889023087.5,72,5229,466000,65125,3474476012.5,0.621,0.632,2026-07-31
BSE,37,56811,4222600,-29200,44065533520.0,39,25221,3602000,139000,17709151490.0,0.853,0.444,2026-07-31
CAMS,55,2583,2096325,31350,1802765167.5,59,899,1458600,90750,560825430.0,0.696,0.348,2026-07-31
CANBK,44,9109,83274750,-3051000,8193755880.0,42,2968,58664250,1221750,2463199605.0,0.704,0.326,2026-07-31
CDSL,52,11056,5247325,857375,7543545442.5,52,5856,3927300,75525,3659163568.75,0.748,0.53,2026-07-31
CGPOWER,44,45079,8998100,207400,35638426085.0,44,16601,4764250,929900,12096342052.5,0.529,0.368,2026-07-31
CHOLAFIN,73,20645,3053125,-108750,24920313250.0,76,10221,2326875,596250,11517946625.0,0.762,0.495,2026-07-31
CIPLA,91,8239,4044725,363375,5362579705.0,94,5440,3019200,116875,3323121133.75,0.746,0.66,2026-07-31
COALINDIA,70,20303,30106350,2390850,11791289340.0,68,11421,21783600,841050,6281159985.0,0.724,0.563,2026-07-31
COCHINSHIP,54,4457,1520800,180400,2667001120.0,57,2885,1370000,454400,1578774220.0,0.901,0.647,2026-07-31
COFORGE,70,18842,6565925,44175,16251991192.5,71,19848,6210625,-209475,16019119117.5,0.946,1.053,2026-07-31
COLPAL,81,9315,2513225,221925,5605668818.75,81,5082,1264725,118250,2872182733.75,0.503,0.546,2026-07-31
CONCOR,73,1569,4836250,136250,1081375687.5,72,1403,3826250,-192500,896762250.0,0.791,0.894,2026-07-31
CROMPTON,41,4718,12734450,1763000,2835273262.5,44,1875,7213250,1358800,1053404325.0,0.566,0.397,2026-07-31
CUMMINSIND,41,6554,651000,46200,7695354640.0,40,2477,538600,44400,2686107650.0,0.827,0.378,2026-07-31
DABUR,65,15854,16023750,2681250,8848480625.0,64,7409,10022500,1221250,3880032750.0,0.625,0.467,2026-07-31
DALBHARAT,27,753,383500,19175,470108941.25,28,634,327925,-8775,364430462.5,0.855,0.842,2026-07-31
DELHIVERY,71,17870,12553750,2938200,18858775487.5,66,9650,9237900,2815775,9596991511.25,0.736,0.54,2026-07-31
DIVISLAB,55,40629,1265100,236500,34388717340.0,55,22746,1154800,363600,17597975515.0,0.913,0.56,2026-07-31
DIXON,54,92555,1429100,517150,70814316952.5,55,57281,921500,201900,38649586415.0,0.645,0.619,2026-07-31
DLF,53,5565,7661750,541500,3714062382.5,53,2662,5618300,345800,1647508145.0,0.733,0.478,2026-07-31
DMART,65,15818,1628250,-180750,9739407982.5,63,8340,1203900,6300,4843423762.5,0.739,0.527,2026-07-31
DRREDDY,100,11462,11206875,612500,8647328812.5,96,4223,6818125,34375,2957130125.0,0.608,0.368,2026-07-31
EICHERMOT,64,37489,2148700,-22500,30865202040.0,66,17137,1678300,40300,13029309020.0,0.781,0.457,2026-07-31
ETERNAL,45,33593,53296650,5541125,26577498025.0,49,24978,32841775,-1406500,18232151161.25,0.616,0.744,2026-07-31
FEDERALBNK,52,4681,13887500,-147500,4323044000.0,52,3686,13627500,1235000,3245630125.0,0.981,0.787,2026-07-31
FINNIFTY,216,18322,216360,109980,29906077173.0,216,9581,160800,71160,15281010051.0,0.743,0.523,2026-07-31
FORCEMOT,36,16673,119850,-20075,8098747297.5,37,8212,99325,-12550,3383251923.75,0.829,0.493,2026-07-31
FORTIS,70,1238,1243100,328600,957919723.75,70,2011,1787925,981925,1434854685.0,1.438,1.624,2026-07-31
GAIL,53,75225,48901250,26823800,50362853870.0,53,22304,24999100,10270150,14006379805.0,0.511,0.296,2026-07-31
GLENMARK,82,12906,1727625,605250,11382613968.75,83,5898,1243125,172125,4929223631.25,0.72,0.457,2026-07-31
GMRAIRPORT,86,3181,32733675,2978325,2480610552.75,82,1943,32880150,2838825,1404300255.75,1.004,0.611,2026-07-31
GODFRYPHLP,36,6884,852775,5500,4333446521.25,37,1941,599500,1650,1090118480.0,0.703,0.282,2026-07-31
GODREJCP,76,2507,1231500,471500,1391759025.0,75,1218,660500,171500,648841425.0,0.536,0.486,2026-07-31
GODREJPROP,76,3136,1745575,80925,2292568785.0,76,2397,1266525,337025,1605711558.75,0.726,0.764,2026-07-31
GRASIM,98,4061,1025750,237750,3269470600.0,96,1369,605750,71500,1065162375.0,0.591,0.337,2026-07-31
GVT&D,44,11817,622750,42125,6946459050.0,47,4386,698000,11500,2297622350.0,1.121,0.371,2026-07-31
HAL,60,23186,1920150,160200,16862147685.0,62,8601,1479600,37350,5910306555.0,0.771,0.371,2026-07-31
HAVELLS,48,5501,2083500,89500,3646196850.0,48,1778,1385000,63500,1092232675.0,0.665,0.323,2026-07-31
HCLTECH,100,35571,6144000,750000,20100514040.0,104,24108,4583200,129600,12748147120.0,0.746,0.678,2026-07-31
HDFCAMC,44,10674,1366200,-182400,8777612580.0,40,4188,1110600,-54300,3202241595.0,0.813,0.392,2026-07-31
HDFCBANK,68,121852,109400850,11640850,62550064232.5,66,58466,56145050,2593500,28337717785.0,0.513,0.48,2026-07-31
HDFCLIFE,88,15001,18720900,382800,9497264480.0,87,7880,12573000,2275900,4667974025.0,0.672,0.525,2026-07-31
HEROMOTOCO,45,26320,1569600,-51300,22316715675.0,45,14767,1342950,157350,11633307172.5,0.856,0.561,2026-07-31
HINDALCO,42,21994,10516100,1231300,15994735050.0,41,9399,8012900,726600,6440810075.0,0.762,0.427,2026-07-31
HINDPETRO,37,5020,10110825,937575,4200764490.0,37,1778,7741575,388800,1398104448.75,0.766,0.354,2026-07-31
HINDUNILVR,78,20228,11110800,456900,13257932265.0,80,12072,6057600,-80700,7570475955.0,0.545,0.597,2026-07-31
HINDZINC,40,11143,12698350,1131900,7754659333.75,40,3515,8709750,701925,2306492291.25,0.686,0.315,2026-07-31
HYUNDAI,90,105687,2386450,1144275,65820737221.25,92,43444,2412850,1290300,25116997675.0,1.011,0.411,2026-07-31
ICICIBANK,91,25171,19190500,960400,25975545470.0,91,15299,12999000,734300,15284474275.0,0.677,0.608,2026-07-31
ICICIGI,72,2439,1301625,149825,1382534871.25,71,1274,997100,34125,671523693.75,0.766,0.522,2026-07-31
ICICIPRULI,73,3613,2674175,68450,1786225875.0,72,876,1882375,50875,414474693.75,0.704,0.242,2026-07-31
IDEA,27,13688,1096497975,22872000,14319365112.75,26,3710,671221725,35523075,3369400116.0,0.612,0.271,2026-07-31
IDFCFIRSTB,66,7103,112950950,537950,5893599337.5,67,4296,78494325,2179625,3352607816.25,0.695,0.605,2026-07-31
IEX,46,2583,20523300,226200,1574346127.5,48,1292,15720900,147900,732768853.5,0.766,0.5,2026-07-31
INDHOTEL,52,8477,3982000,12000,6600315550.0,52,2265,2596000,123000,1670945150.0,0.652,0.267,2026-07-31
INDIANB,60,2350,3209000,243000,2064020150.0,60,1053,3153000,239000,876517250.0,0.983,0.448,2026-07-31
INDIGO,43,19541,2116500,161250,16101382560.0,44,14492,1389300,-93000,11162301457.5,0.656,0.742,2026-07-31
INDUSINDBK,68,12578,6818000,816900,9290093540.0,68,8028,3941700,-794500,5632348190.0,0.578,0.638,2026-07-31
INDUSTOWER,71,36988,18366800,-1173000,25638936665.0,70,25187,12748300,2837300,16351159895.0,0.694,0.681,2026-07-31
INFY,57,126112,29795200,2000000,60703694440.0,63,89699,28500800,378000,40099201020.0,0.957,0.711,2026-07-31
INOXWIND,38,5925,31116800,-2476800,3183859328.0,37,2012,22816000,-1849600,968025728.0,0.733,0.34,2026-07-31
IOC,46,9812,35953125,4168125,7124191278.75,44,6279,31955625,3544125,4186829205.0,0.889,0.64,2026-07-31
IREDA,42,2261,21882900,1018125,1300301918.5,45,1040,22683825,22625,552937307.25,1.037,0.46,2026-07-31
IRFC,72,18842,68680500,3352650,9658666311.0,72,6526,46128775,4632950,3140812538.5,0.672,0.346,2026-07-31
ITC,83,62477,84497400,18383325,32210565423.75,85,36785,56350575,8145450,17758776675.0,0.667,0.589,2026-07-31
JINDALSTEL,41,6932,3312500,-71250,5016095375.0,42,4053,2973750,120625,2749202125.0,0.898,0.585,2026-07-31
JIOFIN,73,86728,72083900,6831450,54062748068.5,77,33535,48104500,9181450,19628422846.0,0.667,0.387,2026-07-31
JSWENERGY,42,5813,5698575,393450,3624607976.25,42,2916,5671700,1104025,1685197627.5,0.995,0.502,2026-07-31
JSWSTEEL,48,5475,3372300,430650,4950570588.75,49,4512,2709450,548100,3844367493.75,0.803,0.824,2026-07-31
JUBLFOOD,64,2249,5028750,416250,1297230750.0,65,1621,4636250,142500,878021062.5,0.922,0.721,2026-07-31
KALYANKJIL,90,23657,17536500,770850,21472402050.0,100,21825,22077900,1957500,18409038075.0,1.259,0.923,2026-07-31
KAYNES,65,66263,1528200,171300,40777710157.5,66,21233,1073400,269700,11741128740.0,0.702,0.32,2026-07-31
KEI,44,10991,375375,101150,10332340410.0,44,4938,360675,187250,4198663910.0,0.961,0.449,2026-07-31
KFINTECH,39,4246,2553575,-4600,2452611555.0,40,1465,1500175,28750,775810125.0,0.587,0.345,2026-07-31
KOTAKBANK,59,10735,33128000,4204000,8732606400.0,59,5119,21984000,942000,3928093000.0,0.664,0.477,2026-07-31
