Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,49,6181,1668000,309000,3765497575.0,49,3276,1232500,338000,1775423125.0,0.739,0.53,2026-01-14
ABB,92,7037,1437625,57625,4605906800.0,92,2234,831125,4000,1368911631.25,0.578,0.317,2026-01-14
ABCAPITAL,54,12317,25240200,-1345400,14149037980.0,55,7287,14260000,623100,7915806910.0,0.565,0.592,2026-01-14
ADANIENSOL,100,5939,5630850,747900,4108884772.5,100,1210,3036825,132300,761453831.25,0.539,0.204,2026-01-14
ADANIENT,97,17151,9368262,632214,12048397385.7,98,9048,6933651,131016,6011932196.25,0.74,0.528,2026-01-14
ADANIGREEN,100,7710,9652800,208200,4771654290.0,98,1666,5266800,60600,926073750.0,0.546,0.216,2026-01-14
ADANIPORTS,65,9699,8168575,98325,6903007135.0,63,5068,5106725,162925,3403939775.0,0.625,0.523,2026-01-14
ALKEM,92,2438,438500,3375,1852896250.0,92,718,227750,-500,508768531.25,0.519,0.295,2026-01-14
AMBER,67,6411,714100,14000,4223952590.0,69,2557,340100,2500,1566005535.0,0.476,0.399,2026-01-14
AMBUJACEM,91,15509,14996100,-719250,9215353560.0,89,4329,12475050,210000,2470323870.0,0.832,0.279,2026-01-14
ANGELONE,50,45008,3150500,247750,29717119562.5,47,22703,2589000,368000,13498001187.5,0.822,0.504,2026-01-14
APLAPOLLO,72,9042,1343650,47250,6341266172.5,76,3550,862750,93100,2382502762.5,0.642,0.393,2026-01-14
APOLLOHOSP,110,14175,1601625,101875,13387233250.0,110,7592,1115500,49250,6840364268.75,0.696,0.536,2026-01-14
ASHOKLEY,108,10229,61895000,-1565000,9917416850.0,110,5575,40430000,-1470000,5030246600.0,0.653,0.545,2026-01-14
ASIANPAINT,104,28501,4874250,276500,21089416362.5,102,26220,3512500,-271750,18555147275.0,0.721,0.92,2026-01-14
ASTRAL,64,8417,3035350,371875,5433287443.75,64,3478,2076550,185300,2109635293.75,0.684,0.413,2026-01-14
AUBANK,78,6434,7791000,74000,6592806000.0,77,3381,4865000,346000,3280677150.0,0.624,0.525,2026-01-14
AUROPHARMA,98,5228,6119850,-131450,3555766335.0,98,2027,3209800,27500,1296346205.0,0.524,0.388,2026-01-14
AXISBANK,95,113370,32183125,415000,94230676750.0,96,62662,15923750,2838125,50052162031.25,0.495,0.553,2026-01-14
BAJAJ-AUTO,74,33245,1527300,7875,24614729058.75,78,14245,1015425,-22050,10070050132.5,0.665,0.428,2026-01-14
BAJAJFINSV,78,14710,5714750,-217000,7633572700.0,79,5069,3242750,-4250,2528023150.0,0.567,0.345,2026-01-14
BAJAJHLDNG,86,6363,319000,21150,3733060367.5,86,979,87250,1150,528362130.0,0.274,0.154,2026-01-14
BAJFINANCE,89,30607,34764750,654000,22960320900.0,87,13817,19766250,-129750,9817253812.5,0.569,0.451,2026-01-14
BANDHANBNK,52,7026,36259200,-1195200,3876783876.0,53,3324,31118400,39600,1712467404.0,0.858,0.473,2026-01-14
BANKBARODA,90,42374,56780100,-6560775,39189065175.0,92,16948,38645100,3085875,14891049517.5,0.681,0.4,2026-01-14
