Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,50,2227,1941500,2000,1365693150.0,52,781,1137500,-19500,447262050.0,0.586,0.351,2026-08-11
ABB,69,10432,1857250,27750,10461802931.25,69,6017,1140375,68375,5546731206.25,0.614,0.577,2026-08-11
ABCAPITAL,76,5182,25751700,1109800,6876995670.0,77,2266,16730700,976500,2859184560.0,0.65,0.437,2026-08-11
ADANIENSOL,70,19232,5201550,967950,22347358920.0,69,4465,2410425,18900,4910531107.5,0.463,0.232,2026-08-11
ADANIENT,47,39932,6165477,1436541,39265819449.149994,46,13133,3686679,210738,12157185702.45,0.598,0.329,2026-08-11
ADANIGREEN,72,28060,10815000,1984200,24676333830.0,67,9248,5151000,136800,7647675480.0,0.476,0.33,2026-08-11
ADANIPORTS,76,27709,15775225,1539475,23164007391.25,73,12565,8373300,75050,9931564575.0,0.531,0.453,2026-08-11
ADANIPOWER,38,20930,54467650,4220950,16865602380.5,37,4992,28968000,440200,3679454016.0,0.532,0.239,2026-08-11
ALKEM,83,3060,586375,36000,2259132818.75,84,3978,347375,6125,2725458518.75,0.592,1.3,2026-08-11
AMBER,73,15401,1461400,-3200,11711880990.0,72,7782,1370800,44000,5437384260.0,0.938,0.505,2026-08-11
AMBUJACEM,66,8653,16621200,457200,4673061300.0,67,3666,9981600,-32400,1911219060.0,0.601,0.424,2026-08-11
ANGELONE,62,15056,31130000,2902500,11777906625.0,60,8959,14485000,752500,6665382125.0,0.465,0.595,2026-08-11
APLAPOLLO,87,13040,2138850,70000,9451383917.5,87,6028,1386700,-294700,4119898720.0,0.648,0.462,2026-08-11
APOLLOHOSP,64,33948,1397875,271625,39216135150.0,64,26404,920625,171875,28494860037.5,0.659,0.778,2026-08-11
ASHOKLEY,70,15054,70615000,4575000,13979414950.0,72,8359,60025000,1250000,7171171800.0,0.85,0.555,2026-08-11
ASIANPAINT,96,11632,5172000,54750,8269702262.5,98,10227,3400500,-51250,6932831037.5,0.657,0.879,2026-08-11
ASTRAL,62,5722,2569975,476850,3715990411.25,62,1726,1600550,-2550,1033335628.75,0.623,0.302,2026-08-11
AUBANK,51,6627,7838000,337000,7360899450.0,51,4928,5310000,245000,5194505250.0,0.677,0.744,2026-08-11
AUROPHARMA,62,6561,4468200,294800,6176852275.0,63,6262,2749450,-169950,5369737092.5,0.615,0.954,2026-08-11
AXISBANK,59,35571,22741875,1937500,28402061281.25,57,23253,14402500,631875,17909126593.75,0.633,0.654,2026-08-11
BAJAJ-AUTO,85,42265,1317900,92850,38614078706.25,97,27733,1986225,-67725,23800114203.75,1.507,0.656,2026-08-11
BAJAJFINSV,87,17987,8345400,-37200,11332362540.0,87,7155,4591200,-7500,4274437260.0,0.55,0.398,2026-08-11
BAJAJHLDNG,86,1262,81375,3225,1131983876.25,87,816,91500,4500,697740333.75,1.124,0.647,2026-08-11
BAJFINANCE,99,26690,27702000,-185250,22939840950.0,101,18394,21172500,284250,14955377925.0,0.764,0.689,2026-08-11
BANDHANBNK,49,619,55969200,-1591200,431630280.0,44,194,29228400,-511200,117355572.0,0.522,0.313,2026-08-11
BANKBARODA,48,11514,49116600,1766700,8658495963.0,48,4944,42134625,1342575,3504027998.25,0.858,0.429,2026-08-11
