Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,50,4679,2293500,139500,2868065950.0,52,906,1203500,-9500,527857325.0,0.525,0.194,2026-08-14
ABB,69,27480,2158625,73125,27673682693.75,69,10138,1204500,-54250,9484899743.75,0.558,0.369,2026-08-14
ABCAPITAL,76,4703,25522300,-136400,6189622595.0,77,1669,17294900,-83700,2074212945.0,0.678,0.355,2026-08-14
ADANIENSOL,72,21751,6566400,-389475,24674494455.0,71,6968,3341925,527850,7526607817.5,0.509,0.32,2026-08-14
ADANIENT,49,48024,5233224,-1164312,46568743494.75,48,20239,3813678,-66435,18597642544.050003,0.729,0.421,2026-08-14
ADANIGREEN,77,23780,11722800,-621000,20452504710.0,72,8056,5383800,-3600,6408261990.0,0.459,0.339,2026-08-14
ADANIPORTS,78,51912,15135875,-1427375,43111259160.0,75,20466,8022750,-573325,16081328703.75,0.53,0.394,2026-08-14
ADANIPOWER,40,16415,63239700,2023500,12992165785.5,39,4969,30217600,244950,3541713306.0,0.478,0.303,2026-08-14
ALKEM,108,79111,1524000,856750,55977688406.25,108,45846,642750,282875,30205990206.25,0.422,0.58,2026-08-14
AMBER,74,121657,2122900,432400,92739505935.0,73,76660,1434100,-189900,53387251050.0,0.676,0.63,2026-08-14
AMBUJACEM,70,9649,18368400,471600,5091803100.0,70,2702,10292400,187200,1372074060.0,0.56,0.28,2026-08-14
ANGELONE,62,10844,33235000,2130000,8458868000.0,60,2346,15905000,212500,1681719250.0,0.479,0.216,2026-08-14
APLAPOLLO,93,21171,2143400,38500,15811128322.5,93,7876,1346800,93800,5629757367.5,0.628,0.372,2026-08-14
APOLLOHOSP,69,234076,2528000,-783375,267078924625.0,69,77675,1937500,516875,84659260900.0,0.766,0.332,2026-08-14
ASHOKLEY,70,111319,135445000,34060000,104381048750.0,72,62732,79215000,11935000,54083090550.0,0.585,0.564,2026-08-14
ASIANPAINT,96,27398,5592000,380250,19336712837.5,98,13466,3457000,-8250,9050899237.5,0.618,0.491,2026-08-14
ASTRAL,78,25630,4241075,-713575,17852927761.25,78,20397,3147550,-1759500,13452755987.5,0.742,0.796,2026-08-14
AUBANK,51,5684,7975000,460000,6394410850.0,51,3796,5583000,160000,4042265300.0,0.7,0.668,2026-08-14
AUROPHARMA,64,10996,4489100,322850,10294256885.0,65,14145,2957350,42350,12618443337.5,0.659,1.286,2026-08-14
AXISBANK,59,38125,27248750,2133125,30187705375.0,57,16373,15668750,448750,12442635000.0,0.575,0.429,2026-08-14
BAJAJ-AUTO,85,22494,1419675,-42075,20393073960.0,97,21585,1817250,-18825,18159557891.25,1.28,0.96,2026-08-14
BAJAJFINSV,87,7996,9021900,30900,5019640485.0,87,3435,4674600,-62700,2064244065.0,0.518,0.43,2026-08-14
BAJAJHLDNG,86,1605,81525,-2775,1524187608.75,87,650,90525,-225,515594193.75,1.11,0.405,2026-08-14
BAJFINANCE,99,24073,26964000,-798750,20617504462.5,101,10561,20951250,-524250,8533276950.0,0.777,0.439,2026-08-14
BANDHANBNK,49,382,53031600,-1022400,272343132.0,44,67,28166400,-201600,42177168.0,0.531,0.175,2026-08-14
BANKBARODA,48,13529,53211600,804375,10249943037.75,48,6662,44588700,1053000,4763281302.0,0.838,0.492,2026-08-14
BANKINDIA,49,2779,37086400,-847600,2191781696.0,48,1774,29946800,-1294800,1276469480.0,0.807,0.638,2026-08-14
BANKNIFTY,479,1314686,19274670,1845180,2320529238627.0,481,1162264,16455030,448740,1991366332624.5,0.854,0.884,2026-08-14
BDL,61,172156,7556925,3551725,107323927952.5,60,73684,4772325,1286475,42438695683.75,0.632,0.428,2026-08-14
BEL,74,32580,55374075,430350,19710058215.0,73,16188,41252325,503025,9398992983.75,0.745,0.497,2026-08-14
BHARATFORG,99,19573,12067000,119500,21695786200.0,99,11374,6573500,-242500,11547605950.0,0.545,0.581,2026-08-14
BHARTIARTL,69,234474,20976000,407550,227359570372.5,70,109101,12813125,2516550,101885277950.0,0.611,0.465,2026-08-14
BHEL,74,52086,42233625,2625000,60783230418.75,70,19261,23199750,-23625,21014128537.5,0.549,0.37,2026-08-14
BIOCON,65,9665,24185000,-1295000,10694791250.0,66,3613,18580000,435000,3786732750.0,0.768,0.374,2026-08-14
BLUESTARCO,86,9233,3959475,7800,4807037966.25,86,2397,1636375,-8775,1160829735.0,0.413,0.26,2026-08-14
BOSCHLTD,85,21704,416350,-21225,26669075573.75,85,27459,517275,-17450,29673537586.25,1.242,1.265,2026-08-14
BPCL,51,5183,13313475,655700,3363169435.0,52,2770,8871700,276500,1726323108.75,0.666,0.534,2026-08-14
BRITANNIA,82,9291,1385125,-22500,6690714812.5,83,6503,791250,-69875,4478241675.0,0.571,0.7,2026-08-14
BSE,39,98454,15085200,1203000,74009704290.0,39,44731,6398800,-367800,30502797720.0,0.424,0.454,2026-08-14
CAMS,66,6789,7290525,433125,4559158725.0,69,1850,3285975,47025,1173343916.25,0.451,0.272,2026-08-14
CANBK,48,9593,92097000,-344250,8847510525.0,46,5158,69457500,222750,4498094767.5,0.754,0.538,2026-08-14
CDSL,52,9641,8127250,113525,6508013997.5,52,3275,4937625,22325,2056506657.5,0.608,0.34,2026-08-14
CGPOWER,47,8485,11697700,613700,6745525922.5,47,3801,5944050,224400,2778213355.0,0.508,0.448,2026-08-14
CHOLAFIN,78,5309,5148125,153125,6596331687.5,81,2316,3458750,-88125,2713501093.75,0.672,0.436,2026-08-14
CIPLA,92,16680,6315500,884425,10641422106.25,95,5961,3592100,5525,3695899365.0,0.569,0.357,2026-08-14
COALINDIA,72,12983,34584300,1316250,7399326037.5,70,4366,23592600,176850,2407434412.5,0.682,0.336,2026-08-14
COCHINSHIP,67,13325,3573600,661600,8482122440.0,68,6221,2192800,64000,3616817340.0,0.614,0.467,2026-08-14
COFORGE,79,10801,7282700,-9025,9675312572.5,81,10054,8099225,-390925,8382929128.75,1.112,0.931,2026-08-14
COLPAL,89,8885,3760900,-11825,5171407890.0,89,1588,1946450,-9350,861218173.75,0.518,0.179,2026-08-14
CONCOR,86,22962,11160000,1625000,15956385375.0,83,7963,5350000,-167500,5265568375.0,0.479,0.347,2026-08-14
CROMPTON,49,9780,27085700,-1730750,5545327945.0,50,2685,15445600,-844950,1421711042.5,0.57,0.275,2026-08-14
