Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,59,2853,1143500,176500,1781101875.0,57,1580,764000,56500,876014050.0,0.668,0.554,2026-02-05
ABB,119,15703,1288625,-66125,11923821762.5,124,7771,999250,6500,5420914781.25,0.775,0.495,2026-02-05
ABCAPITAL,65,13091,18658900,1339200,14832905420.0,65,5844,12861900,-77500,6062083480.0,0.689,0.446,2026-02-05
ADANIENSOL,114,6814,3912975,71550,4868098717.5,112,2665,3377700,-20925,1707108547.5,0.863,0.391,2026-02-05
ADANIENT,115,17547,8203332,-229278,12843998720.099998,120,14182,7441647,-169332,9414068669.85,0.907,0.808,2026-02-05
ADANIGREEN,114,20859,9634800,-222000,12793451190.0,115,9013,8757000,-152400,5064860160.0,0.909,0.432,2026-02-05
ADANIPORTS,84,35344,9558425,142500,27594236085.0,85,24063,9031650,-94050,17396883193.75,0.945,0.681,2026-02-05
ALKEM,84,1377,168750,33250,1025241356.25,85,1787,163875,27250,1133717100.0,0.971,1.298,2026-02-05
AMBER,72,13257,526800,62000,9166331880.0,74,3262,357600,34800,2017690715.0,0.679,0.246,2026-02-05
AMBUJACEM,105,7379,12978000,582750,4293213172.5,104,2994,10683750,-319200,1639056982.5,0.823,0.406,2026-02-05
ANGELONE,61,9220,2081500,-95500,6577307162.5,61,7689,2004750,-130500,4860078475.0,0.963,0.834,2026-02-05
APLAPOLLO,92,3799,1054900,-30800,2998311942.5,95,1954,1198050,22400,1452108612.5,1.136,0.514,2026-02-05
APOLLOHOSP,107,7481,1185000,52000,6988066962.5,103,3829,1004500,27375,3350335487.5,0.848,0.512,2026-02-05
ASHOKLEY,74,6989,46245000,3240000,7424034500.0,69,3925,33630000,550000,3800292650.0,0.727,0.562,2026-02-05
ASIANPAINT,129,22637,8225500,49750,14637673100.0,121,11690,4191250,12250,7009550187.5,0.51,0.516,2026-02-05
ASTRAL,60,12984,2550000,389300,8727000681.25,59,3952,1726350,331075,2474205308.75,0.677,0.304,2026-02-05
AUBANK,85,4059,5623000,80000,4168614450.0,84,1839,4382000,21000,1777293350.0,0.779,0.453,2026-02-05
AUROPHARMA,106,8315,4157450,649550,5797788810.0,108,3926,2828100,188100,2548902042.5,0.68,0.472,2026-02-05
AXISBANK,115,58145,28638750,2509375,50445149468.75,117,35095,13013125,-417500,28801682812.5,0.454,0.604,2026-02-05
BAJAJ-AUTO,69,11839,1243275,41325,8971385152.5,69,6811,771900,-5550,4828434176.25,0.621,0.575,2026-02-05
BAJAJFINSV,88,20296,5281750,260500,10706955437.5,91,14540,3870000,-451750,7172496225.0,0.733,0.716,2026-02-05
BAJAJHLDNG,82,27265,187250,84850,16182372307.5,82,4765,74050,22000,2577738125.0,0.395,0.175,2026-02-05
BAJFINANCE,90,25800,16462500,-243000,19596233175.0,89,28268,19231500,-2058000,19695482287.5,1.168,1.096,2026-02-05
BANDHANBNK,52,4635,22248000,-1173600,2767010868.0,55,1671,19530000,-842400,929360808.0,0.878,0.361,2026-02-05
