Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,47,10669,2080000,-259500,6385870150.0,48,9053,1449500,-57000,4489422575.0,0.697,0.849,2026-06-18
ABB,114,19238,1268625,5500,17907516743.75,122,7279,813750,48125,6340592687.5,0.641,0.378,2026-06-18
ABCAPITAL,63,4194,15971200,378200,5023514195.0,62,2828,12372100,-27900,3248946320.0,0.775,0.674,2026-06-18
ADANIENSOL,69,12559,6807375,-349650,13761793721.25,69,5052,3426975,39825,4584740332.5,0.503,0.402,2026-06-18
ADANIENT,101,45827,9086763,124218,43909519869.45,112,17941,6392901,410970,16283259736.05,0.704,0.391,2026-06-18
ADANIGREEN,106,21970,9211200,-690600,20526373200.0,117,7878,6351000,195000,6855369120.0,0.689,0.359,2026-06-18
ADANIPORTS,60,25657,7890700,-298300,23167648598.75,61,13182,5016950,208050,11320906800.0,0.636,0.514,2026-06-18
ADANIPOWER,84,51842,67812100,-2953600,44462141566.0,79,15859,41318450,5538000,12425064716.5,0.609,0.306,2026-06-18
ALKEM,103,3313,716500,-19250,2333800093.75,103,3473,389250,9625,2127141393.75,0.543,1.048,2026-06-18
AMBER,69,32768,1877100,5100,27471831100.0,65,16444,1403000,1100,12647954365.0,0.747,0.502,2026-06-18
AMBUJACEM,83,11224,21658350,402450,5353527742.5,83,2964,11122800,84000,1367855280.0,0.514,0.264,2026-06-18
ANGELONE,63,20510,24020000,1100000,18930488000.0,64,6460,15982500,-22500,5559808250.0,0.665,0.315,2026-06-18
APLAPOLLO,84,1444,1388100,-44450,1002728072.5,84,1705,1210300,-22400,1015046900.0,0.872,1.181,2026-06-18
APOLLOHOSP,111,11226,1518625,90125,12216936112.5,114,8754,1300000,15000,8947290831.25,0.856,0.78,2026-06-18
ASHOKLEY,77,14322,156350000,150000,12034037100.0,77,8741,109050000,-3120000,6741273400.0,0.697,0.61,2026-06-18
ASIANPAINT,89,18942,8912500,-59750,13363989725.0,97,8933,3339750,74500,5863630850.0,0.375,0.472,2026-06-18
ASTRAL,70,6759,2558925,-77775,4812065241.25,70,2223,1294975,-24225,1361446508.75,0.506,0.329,2026-06-18
AUBANK,85,5314,6953000,418000,5610413400.0,85,2052,4744000,-32000,2069364950.0,0.682,0.386,2026-06-18
AUROPHARMA,64,10469,5833300,39050,8607742550.0,62,3787,2921050,-91850,2891032485.0,0.501,0.362,2026-06-18
AXISBANK,109,27938,24789375,-183125,24248417781.25,110,20471,18601875,65000,17242229406.25,0.75,0.733,2026-06-18
BAJAJ-AUTO,84,29914,2919750,56100,23388840251.25,85,8518,1350975,40350,6292075642.5,0.463,0.285,2026-06-18
BAJAJFINSV,84,15906,6362150,-270900,7301769932.5,84,7590,3637150,78700,3342482555.0,0.572,0.477,2026-06-18
BAJAJHLDNG,83,3493,111700,10050,1924520452.5,83,4394,99425,5350,1974499366.25,0.89,1.258,2026-06-18
BAJFINANCE,79,15411,19668750,-174000,11327283000.0,79,10988,14830500,-354000,7774761750.0,0.754,0.713,2026-06-18
BANDHANBNK,79,7323,43412400,-1152000,5906363940.0,79,2172,24170400,108000,1648505916.0,0.557,0.297,2026-06-18
BANKBARODA,175,18836,55601325,3232125,16113314295.0,174,8441,42971175,1465425,6840702765.0,0.773,0.448,2026-06-18
BANKINDIA,104,2468,37138400,910000,1971246420.0,105,1091,22505600,-78000,799825988.0,0.606,0.442,2026-06-18
BANKNIFTY,568,1349632,19954200,72720,2398706029444.5,568,1495166,21765390,1045620,2508722461681.5,1.091,1.108,2026-06-18
BDL,74,18635,4157300,-85025,9102111105.0,71,8605,3242150,-77125,3855613236.25,0.78,0.462,2026-06-18
BEL,76,105828,55213050,-1758450,66483413475.0,74,47103,37508850,2166000,28111513365.0,0.679,0.445,2026-06-18
BHARATFORG,76,7338,2979000,133000,7699081050.0,77,6241,2021000,-52000,5630494875.0,0.678,0.851,2026-06-18
BHARTIARTL,78,37842,17563125,1384150,34547623335.0,78,21579,9452500,111625,18862862203.75,0.538,0.57,2026-06-18
BHEL,146,46325,41690250,-2496375,51070335225.0,144,17862,25242000,-157500,18474159112.5,0.605,0.386,2026-06-18
BIOCON,73,4819,21890000,1772500,5176100875.0,71,1662,10985000,632500,1711867125.0,0.502,0.345,2026-06-18
BLUESTARCO,87,5395,1901250,27950,3170187247.5,85,4262,1396850,-6825,2084279372.5,0.735,0.79,2026-06-18
BOSCHLTD,117,29505,171875,-1175,30809762575.0,125,13832,240775,3850,13131662251.25,1.401,0.469,2026-06-18
BPCL,62,12237,24539375,1583950,8001624513.75,61,5249,17676250,831475,3237446267.5,0.72,0.429,2026-06-18
BRITANNIA,101,7626,1435125,-37000,5325902968.75,97,3953,934000,-2875,2427806643.75,0.651,0.518,2026-06-18
BSE,73,86202,14039050,-62550,135393087685.0,74,56122,8121500,-274600,80463295280.0,0.578,0.651,2026-06-18
CAMS,68,21067,4378275,547125,13665450180.0,67,8172,2955525,-6000,4874857612.5,0.675,0.388,2026-06-18
CANBK,204,11242,107568000,-1221750,10590198457.5,204,4725,82296000,-951750,4223110297.5,0.765,0.42,2026-06-18
CDSL,63,113789,9274850,2598725,76918470070.0,64,57281,6142700,1335700,36047523377.5,0.662,0.503,2026-06-18
CGPOWER,74,12939,7359300,232900,10881684657.5,74,7139,5102550,82450,5619342180.0,0.693,0.552,2026-06-18
CHOLAFIN,86,2659,3888125,-52500,2889246781.25,86,3359,4621875,150625,3403410906.25,1.189,1.263,2026-06-18
CIPLA,106,12382,7036050,-89875,6578866426.25,106,5491,4070350,-44225,2798593393.75,0.578,0.443,2026-06-18
COALINDIA,81,36800,54399600,1274400,23529825675.0,85,18300,39642750,-1358100,11112082402.5,0.729,0.497,2026-06-18
COCHINSHIP,76,17165,2501200,448000,10708720800.0,70,7091,1442400,222000,4146683240.0,0.577,0.413,2026-06-18
COFORGE,75,45520,9654400,-322825,26495627020.0,79,25200,5778800,639175,13836448792.5,0.599,0.554,2026-06-18
COLPAL,81,14890,2930700,261150,7098636828.75,81,9054,1637500,48450,3960125805.0,0.559,0.608,2026-06-18
CONCOR,90,1977,13306250,-88750,1198537937.5,87,1450,8072500,-157500,810321937.5,0.607,0.733,2026-06-18
CROMPTON,110,5382,14282050,-369850,2813134435.0,104,1932,7853000,239850,948756315.0,0.55,0.359,2026-06-18
CUMMINSIND,89,8214,1583400,-13600,9972459620.0,91,2292,1161200,-38000,2605396880.0,0.733,0.279,2026-06-18
DABUR,83,5658,13063750,245000,3198971562.5,81,2032,7606250,-10000,1084064875.0,0.582,0.359,2026-06-18
DALBHARAT,91,827,1243125,-2925,482564777.5,88,2356,1163175,32175,1099298801.25,0.936,2.849,2026-06-18
DELHIVERY,71,11009,11806750,1564550,10866244837.5,69,2562,3861575,-124500,2411124166.25,0.327,0.233,2026-06-18
DIVISLAB,96,40634,1979500,-84200,28122284055.0,94,10778,1666400,118500,7141788770.0,0.842,0.265,2026-06-18
DIXON,123,52002,1655250,118400,34756278855.0,135,45299,1629150,-134500,27934680950.0,0.984,0.871,2026-06-18
DLF,110,29808,10615000,-50125,16200058310.0,112,15941,9275225,347425,8211021891.25,0.874,0.535,2026-06-18
DMART,73,19266,1495800,30450,12896631967.5,69,12158,1271100,172950,7680226882.5,0.85,0.631,2026-06-18
DRREDDY,100,13262,10778125,732500,10945435500.0,100,5687,4513125,350625,4418462031.25,0.419,0.429,2026-06-18
EICHERMOT,112,40987,1915500,120300,32117181050.0,114,15374,1573700,1500,11485687435.0,0.822,0.375,2026-06-18
ETERNAL,87,23623,63260975,-356475,15407076358.75,89,13077,43298375,-1750850,8092177227.5,0.684,0.554,2026-06-18
EXIDEIND,95,3902,20356200,266400,2838462660.0,95,1111,10348200,39600,769108500.0,0.508,0.285,2026-06-18
FEDERALBNK,107,5483,32612500,670000,4522727500.0,107,4276,29570000,-767500,3342792250.0,0.907,0.78,2026-06-18
FINNIFTY,284,12181,682920,22920,19799679573.0,284,10866,594960,75180,16948158747.0,0.871,0.892,2026-06-18
FORCEMOT,46,6416,222800,7200,3304886060.0,44,1644,94475,450,729393646.25,0.424,0.256,2026-06-18
FORTIS,73,6293,4484150,-51150,4843169137.5,73,2599,2302525,70525,1859273670.0,0.513,0.413,2026-06-18
GAIL,123,5663,36730700,22200,3251829798.0,127,3579,23754750,-358450,1931736580.0,0.647,0.632,2026-06-18
GLENMARK,104,8044,4476000,-45750,7151710031.25,103,3915,2745375,-17625,2842751850.0,0.613,0.487,2026-06-18
GMRAIRPORT,92,14416,83965050,-4373325,11465898250.5,93,6354,47827575,195300,4767043522.5,0.57,0.441,2026-06-18
GODFRYPHLP,91,2677,979825,18975,1745952257.5,87,1223,473550,-9900,696500860.0,0.483,0.457,2026-06-18
GODREJCP,86,5731,3376000,343000,3042719700.0,85,2381,2341500,228000,1209454375.0,0.694,0.415,2026-06-18
