Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,51,12394,3036000,992500,7199005325.0,52,9951,2299500,1160000,5310030825.0,0.757,0.803,2026-07-16
ABB,81,166045,2062625,580125,167181585912.5,85,98673,1989875,952750,91585683731.25,0.965,0.594,2026-07-16
ABCAPITAL,75,2549,14439800,561100,3326150425.0,75,1431,10149400,-12400,1771970385.0,0.703,0.561,2026-07-16
ADANIENSOL,79,21603,6498900,223425,26207651182.5,80,7191,2974050,-15525,8179678080.0,0.458,0.333,2026-07-16
ADANIENT,76,13052,8059956,107223,13304348017.050001,79,7397,5247438,-110622,7173602215.349999,0.651,0.567,2026-07-16
ADANIGREEN,85,17038,7566000,559200,16930189320.0,87,6537,5218200,177600,6125141760.0,0.69,0.384,2026-07-16
ADANIPORTS,73,21656,7259425,94525,19589053295.0,73,13857,4380450,-115900,11961740985.0,0.603,0.64,2026-07-16
ADANIPOWER,50,17889,74880150,3794950,15038414434.0,50,5676,43359700,2641200,4342916214.0,0.579,0.317,2026-07-16
ALKEM,81,4736,448625,85000,3491600662.5,79,645,169375,7500,448592206.25,0.378,0.136,2026-07-16
AMBER,67,44549,1077700,133600,37314587870.0,66,24654,1037100,284100,18920390390.0,0.962,0.553,2026-07-16
AMBUJACEM,71,6588,15974400,828000,3602970360.0,71,3049,8622000,34800,1642488300.0,0.54,0.463,2026-07-16
ANGELONE,62,62415,33150000,6732500,56966435625.0,62,27651,15500000,-1005000,23211481750.0,0.468,0.443,2026-07-16
APLAPOLLO,71,4284,1653750,224000,2804292120.0,71,1166,1033550,4200,738264782.5,0.625,0.272,2026-07-16
APOLLOHOSP,76,10923,1191500,-16000,12601486193.75,82,6738,1064250,-21125,7480917312.5,0.893,0.617,2026-07-16
ASHOKLEY,63,10202,96140000,1410000,8545045650.0,66,4385,65805000,740000,3385882700.0,0.684,0.43,2026-07-16
ASIANPAINT,98,7916,4100250,121750,5476833050.0,98,7096,3486750,97500,4585393662.5,0.85,0.896,2026-07-16
ASTRAL,74,10782,3670725,-621350,6580937447.5,74,5708,2612050,-188275,3282423155.0,0.712,0.529,2026-07-16
AUBANK,57,4242,6918000,210000,4621369400.0,59,2115,4607000,8000,2207553850.0,0.666,0.499,2026-07-16
AUROPHARMA,65,4678,4567750,57750,4199631892.5,65,1842,2599300,1650,1547359302.5,0.569,0.394,2026-07-16
AXISBANK,71,28108,22922500,1612500,23932304906.25,74,16336,13991250,708125,13462185187.5,0.61,0.581,2026-07-16
BAJAJ-AUTO,83,18160,1410375,8475,14699274056.25,83,13860,1106175,58950,10491641921.25,0.784,0.763,2026-07-16
BAJAJFINSV,83,22506,7352100,1101600,12848223480.0,84,9711,4421100,42600,5396314140.0,0.601,0.431,2026-07-16
BAJAJHLDNG,88,1706,116550,600,1491647358.75,91,127,63000,975,97177702.5,0.541,0.074,2026-07-16
BAJFINANCE,85,25584,16530750,-602250,20447537212.5,87,18127,14426250,524250,13823096400.0,0.873,0.709,2026-07-16
BANDHANBNK,59,13861,40039200,-2772000,11325156084.0,57,7187,29178000,-799200,5558570100.0,0.729,0.519,2026-07-16
BANKBARODA,87,5745,75558600,400725,4456885095.0,96,2643,54612675,874575,1936419907.5,0.723,0.46,2026-07-16
BANKINDIA,71,2553,39738400,260000,2031752736.0,70,882,30929600,-36400,659682244.0,0.778,0.345,2026-07-16
BANKNIFTY,512,980526,18376110,1434690,1743085562478.0,514,930319,15585660,248880,1593839803837.5,0.848,0.949,2026-07-16
BDL,63,7794,8041850,230350,4568338302.5,66,3615,3599325,127925,1914646335.0,0.448,0.464,2026-07-16
BEL,70,22016,56022450,1895250,13604908770.0,70,7113,33554475,401850,4136472187.5,0.599,0.323,2026-07-16
BHARATFORG,80,6420,2768000,-104000,7110609950.0,84,2659,1806500,34000,2741336025.0,0.653,0.414,2026-07-16
BHARTIARTL,70,28363,20645400,-411350,26453750635.0,71,12285,9937950,121600,11027973991.25,0.481,0.433,2026-07-16
BHEL,106,177015,61551000,11959500,207556999518.75,107,82831,47735625,15243375,89803690068.75,0.776,0.468,2026-07-16
BIOCON,78,25530,34017500,-2407500,29437115125.0,78,11524,30842500,280000,12376257500.0,0.907,0.451,2026-07-16
BLUESTARCO,80,7839,2633800,-317850,4860125432.5,79,3793,1517425,63375,1997400323.75,0.576,0.484,2026-07-16
BOSCHLTD,72,7755,172675,20825,8517914263.75,80,1817,100200,-2050,1840490222.5,0.58,0.234,2026-07-16
BPCL,52,21289,22355025,2073750,13858810617.5,53,9867,16852675,1078350,6025195502.5,0.754,0.463,2026-07-16
BRITANNIA,81,3843,723625,3625,2647624893.75,82,1904,642125,-20875,1240456900.0,0.887,0.495,2026-07-16
BSE,48,39246,7684800,625400,31111424020.0,51,28380,4457200,12000,20762123560.0,0.58,0.723,2026-07-16
CAMS,70,4185,5314650,154275,2768467391.25,69,1338,2662275,150975,824551241.25,0.501,0.32,2026-07-16
CANBK,104,6264,117139500,1667250,5634091215.0,104,2232,91509750,-290250,1912283437.5,0.781,0.356,2026-07-16
CDSL,64,18229,8731925,285475,12863025365.0,65,9366,5247800,-246525,6159008935.0,0.601,0.514,2026-07-16
CGPOWER,59,22722,10034250,-70550,18943698655.0,57,8064,6579850,-145350,6380899722.5,0.656,0.355,2026-07-16
CHOLAFIN,71,2989,3753750,-82500,3536844562.5,76,1542,2905625,-74375,1701452562.5,0.774,0.516,2026-07-16
CIPLA,99,5255,7145100,88400,3363602617.5,104,3497,4114000,-48875,2123879126.25,0.576,0.665,2026-07-16
COALINDIA,75,15186,37288350,-43200,9142176037.5,72,6372,24632100,369900,3700601505.0,0.661,0.42,2026-07-16
COCHINSHIP,69,3388,5064000,-42800,2026969280.0,68,1468,3029600,-124000,818926620.0,0.598,0.433,2026-07-16
COFORGE,74,12870,8851625,526300,9884518366.25,75,5301,4653575,308275,3850946148.75,0.526,0.412,2026-07-16
COLPAL,80,3635,1889525,45375,2093587553.75,81,1506,1321375,7975,831630043.75,0.699,0.414,2026-07-16
CONCOR,93,4396,8872500,-32500,2808951000.0,93,3014,6845000,-210000,1837998312.5,0.771,0.686,2026-07-16
CROMPTON,60,2437,14534000,432150,1426436205.0,60,692,5089050,101050,384898805.0,0.35,0.284,2026-07-16
CUMMINSIND,51,26657,1299800,160400,31237586130.0,53,5716,893800,103000,6289764320.0,0.688,0.214,2026-07-16
DABUR,72,5286,15170000,-165000,2968928250.0,72,1842,8928750,-92500,987365812.5,0.589,0.348,2026-07-16
DALBHARAT,57,4090,1124825,-65650,2522848055.0,62,1724,893425,48425,1000285812.5,0.794,0.422,2026-07-16
DELHIVERY,80,8856,24516125,498000,9601144623.75,80,4600,14877750,925450,4737348151.25,0.607,0.519,2026-07-16
DIVISLAB,71,37864,1736300,-54300,28517837830.0,70,24901,1978100,53200,17773324330.0,1.139,0.658,2026-07-16
DIXON,94,261378,2176200,221550,196890685005.0,96,144993,2030000,384750,100166786357.5,0.933,0.555,2026-07-16
DLF,69,14440,15784250,1308150,9411768845.0,75,8085,9978800,293550,4954476575.0,0.632,0.56,2026-07-16
DMART,77,22432,4477200,-172650,14051393145.0,77,8953,1688400,-92550,5258856037.5,0.377,0.399,2026-07-16
DRREDDY,125,13841,21556250,113125,11288346562.5,125,4199,9755000,151875,3230109656.25,0.453,0.303,2026-07-16
EICHERMOT,80,19000,2175700,7500,14528510395.0,79,14976,1931500,-29600,10994848510.0,0.888,0.788,2026-07-16
ETERNAL,61,44694,82192950,2371650,33375145262.5,69,23728,47032875,-1707200,16588095008.75,0.572,0.531,2026-07-16
EXIDEIND,46,5315,19989000,-289800,4227990660.0,47,1474,10287000,-300600,1104530940.0,0.515,0.277,2026-07-16
FEDERALBNK,65,29582,32935000,5917500,26761679500.0,67,6044,20280000,627500,4913312250.0,0.616,0.204,2026-07-16
FINNIFTY,244,9310,361440,86760,15314505552.0,244,4712,204660,13440,7435135614.0,0.566,0.506,2026-07-16
FORCEMOT,40,7893,178600,750,3937043900.0,39,3583,102425,-9075,1546652531.25,0.573,0.454,2026-07-16
FORTIS,74,2618,3217800,36425,2041037713.75,74,672,1462425,7750,505049403.75,0.454,0.257,2026-07-16
GAIL,83,7370,32138150,2477900,4706940314.0,82,2636,21335500,564450,1603538834.0,0.664,0.358,2026-07-16
GLENMARK,95,2733,2215500,124875,2434849087.5,92,1267,1358625,31125,1086502200.0,0.613,0.464,2026-07-16
GMRAIRPORT,84,6023,63709650,160425,4920704097.75,90,2951,34861050,495225,2259111964.5,0.547,0.49,2026-07-16
GODFRYPHLP,41,6893,710050,17600,4237742561.25,43,2831,415525,93775,1525468037.5,0.585,0.411,2026-07-16
GODREJCP,86,2289,2764500,75500,1263225575.0,89,1089,1712000,-2000,561639550.0,0.619,0.476,2026-07-16
GODREJPROP,101,5143,3825250,-45175,3658748421.25,109,5151,3114800,-110500,3419169390.0,0.814,1.002,2026-07-16
GRASIM,110,13571,3813500,-255500,11038034312.5,111,3340,1599750,37250,2573314125.0,0.419,0.246,2026-07-16
GVT&D,59,12109,1100625,98000,7512326975.0,55,6263,648000,134000,3501351950.0,0.589,0.517,2026-07-16
HAL,67,14930,3117300,61500,10361316757.5,68,7303,1936050,17700,4836410400.0,0.621,0.489,2026-07-16
HAVELLS,61,13030,6546500,221000,8132179425.0,63,7928,4024500,286500,4725785350.0,0.615,0.608,2026-07-16
HCLTECH,128,124387,22490000,-4629600,61284917460.0,127,44557,10667200,-501600,20793325620.0,0.474,0.358,2026-07-16
HDFCAMC,91,52848,5197500,1846800,44069995875.0,103,31419,2805600,703800,24617007105.0,0.54,0.595,2026-07-16
HDFCBANK,82,85057,105252550,1974050,46355190310.0,88,52418,55539900,-1022450,27723777022.5,0.528,0.616,2026-07-16
HDFCLIFE,96,57403,25638800,4579300,37377644535.0,95,33291,15926900,310200,20563036780.0,0.621,0.58,2026-07-16
HEROMOTOCO,57,18808,3979950,-46500,14327108932.5,58,6849,1906950,-27300,4884164827.5,0.479,0.364,2026-07-16
HINDALCO,67,17280,19524400,-333200,12184931675.0,63,8639,10182200,-65800,5824790685.0,0.522,0.5,2026-07-16
HINDPETRO,54,16649,20235825,866700,14211392895.0,50,7448,15138900,-386775,5956119742.5,0.748,0.447,2026-07-16
HINDUNILVR,87,20569,8929200,185700,13556174865.0,84,9963,6123000,11700,6291182685.0,0.686,0.484,2026-07-16
HINDZINC,55,9913,24748675,193550,6872109186.25,55,4008,11919250,-19600,2676159193.75,0.482,0.404,2026-07-16
HYUNDAI,80,30424,2318525,-69850,17685471320.0,80,10693,1257025,53900,5908252968.75,0.542,0.351,2026-07-16
ICICIBANK,100,40261,23548000,-1082200,41022170945.0,108,26401,21048300,196000,26073711090.0,0.894,0.656,2026-07-16
ICICIGI,101,98516,5292625,3215550,55414866633.75,100,106710,3632525,1841450,55685874692.5,0.686,1.083,2026-07-16
ICICIPRULI,97,35151,11103700,937025,17458824625.0,100,21857,7355600,690975,10269859998.75,0.662,0.622,2026-07-16
IDEA,27,12245,1882508550,23086425,13202641142.25,28,3667,796302975,-714750,3610197246.75,0.423,0.299,2026-07-16
IDFCFIRSTB,69,3592,98565425,1289225,2801267591.5,70,2407,77455525,1456175,1756580470.75,0.786,0.67,2026-07-16
IEX,62,19444,32920800,-2831850,10909873297.5,69,5732,23485650,535050,3050736867.0,0.713,0.295,2026-07-16
INDHOTEL,70,4143,6070000,217000,3188423050.0,70,1937,4341000,38000,1431271950.0,0.715,0.468,2026-07-16
INDIANB,106,9463,13667000,218000,8256831950.0,109,3311,8501000,176000,2753666250.0,0.622,0.35,2026-07-16
INDIGO,67,22679,3214200,-8250,18459372097.5,72,15053,2678100,209700,11658844342.5,0.833,0.664,2026-07-16
INDUSINDBK,83,6612,9080400,111300,4856911500.0,86,4924,7674100,86100,3479173355.0,0.845,0.745,2026-07-16
INDUSTOWER,73,12357,24753700,928200,8926577770.0,73,7680,18009800,27200,5255499425.0,0.728,0.622,2026-07-16
INFY,129,75613,57739600,-225200,34281885120.0,133,47453,39468400,502400,20471939220.0,0.684,0.628,2026-07-16
INOXWIND,57,6935,65574400,1395200,3774104512.0,67,3160,26592000,876800,1633326336.0,0.406,0.456,2026-07-16
IOC,81,10990,72150000,-292500,7994433915.0,78,6061,48598875,-516750,4123168237.5,0.674,0.552,2026-07-16
IREDA,75,2770,37362925,1855250,1632201573.25,72,678,23253975,624450,403383342.25,0.622,0.245,2026-07-16
IRFC,83,4628,86762025,3027150,2397323069.75,83,1746,52655050,466550,963898104.75,0.607,0.377,2026-07-16
ITC,104,39070,95684025,-3810525,19472003205.0,101,18750,61014975,500250,8925261262.5,0.638,0.48,2026-07-16
JINDALSTEL,60,4672,5010625,133125,3154097656.25,60,1583,3231250,-20000,1030159062.5,0.645,0.339,2026-07-16
JIOFIN,85,28200,74123700,12450300,16526489633.0,84,13108,46863700,1823600,7145536359.5,0.632,0.465,2026-07-16
JSWENERGY,63,5871,9939450,90300,3649933310.0,61,2013,5969475,-110725,1208735052.5,0.601,0.343,2026-07-16
JSWSTEEL,62,6042,6035850,415800,5257240065.0,60,3356,4382100,31725,2760070545.0,0.726,0.555,2026-07-16
JUBLFOOD,77,5455,13272500,65000,3098100187.5,78,1948,8197500,-100000,1024195125.0,0.618,0.357,2026-07-16
KALYANKJIL,158,51856,40806450,-892350,40590792292.5,158,62071,62425350,-1081350,43382119725.0,1.53,1.197,2026-07-16
KAYNES,63,301,1291950,-21600,166433977.5,61,154,730800,-13500,74653177.5,0.566,0.512,2026-07-16
KEI,52,4006,915250,350,3743654390.0,55,1591,470400,5600,1374138640.0,0.514,0.397,2026-07-16
KFINTECH,51,6000,3996825,417450,3233009202.5,56,2991,2504125,122475,1502060597.5,0.627,0.498,2026-07-16
KOTAKBANK,86,10285,71148000,806000,8177099300.0,91,4267,38256000,130000,3247444700.0,0.538,0.415,2026-07-16
KPITTECH,84,13421,19797375,157325,6346972240.0,89,3137,9796775,-219325,1336526172.5,0.495,0.234,2026-07-16
LAURUSLABS,81,3480,8315550,69700,4822082257.5,81,2443,5697550,34000,3182322352.5,0.685,0.702,2026-07-16
LICHSGFIN,54,2852,7297000,121000,1651061250.0,54,886,4355000,62000,485999300.0,0.597,0.311,2026-07-16
LICI,73,4535,13126400,-11200,2908500700.0,78,1809,8285200,114800,1090908490.0,0.631,0.399,2026-07-16
LODHA,77,9419,5378125,-42500,7269211406.25,76,6345,4646250,168125,4452768343.75,0.864,0.674,2026-07-16
LT,96,53863,15423975,1242325,37337773523.75,102,21224,6794375,362250,14126891870.0,0.441,0.394,2026-07-16
LTF,63,11194,36868500,-1233000,8478191025.0,64,4020,18204750,686250,2745126000.0,0.494,0.359,2026-07-16
LTM,95,23662,2641950,-61500,15292389705.0,95,7429,1646100,-48900,4502647140.0,0.623,0.314,2026-07-16
LUPIN,92,7453,2502400,87550,8112666453.75,96,3050,1951600,61625,3219711238.75,0.78,0.409,2026-07-16
M&M,78,38805,7584800,-167200,25068175510.0,85,19466,4976600,-89600,12140973650.0,0.656,0.502,2026-07-16
MANAPPURAM,64,2209,10629000,144000,2292641700.0,65,1101,6522000,-21000,1079522250.0,0.614,0.498,2026-07-16
MANKIND,88,5480,1584750,-5000,3642089950.0,95,1352,830750,-15000,861383312.5,0.524,0.247,2026-07-16
MARICO,70,2382,8112000,-49200,2499262440.0,75,1338,4712400,-324000,1340822880.0,0.581,0.562,2026-07-16
MARUTI,115,89789,3131300,-34400,64177376255.0,117,44177,1543700,18250,29857289235.0,0.493,0.492,2026-07-16
MAXHEALTH,95,5391,5827500,133350,3254391630.0,97,3013,2511600,50400,1727651415.0,0.431,0.559,2026-07-16
MAZDOCK,62,7140,3460050,263250,4084553598.75,68,1546,2138850,52425,827594235.0,0.618,0.217,2026-07-16
MCX,65,23289,6687900,219825,15850897098.75,64,18445,4532175,-408150,11766008677.5,0.678,0.792,2026-07-16
MFSL,66,3524,1534000,-46800,2370229840.0,66,1826,886800,-27200,1145471140.0,0.578,0.518,2026-07-16
MIDCPNIFTY,431,85647,6138000,341880,155610835314.0,431,84934,6345720,398640,149111443002.0,1.034,0.992,2026-07-16
MOTHERSON,78,7535,60313050,-1642050,6996413614.5,75,4269,39157050,1654350,3794625153.0,0.649,0.567,2026-07-16
MOTILALOFS,56,1023,2248275,113925,801468613.75,52,341,888925,-9300,252438696.25,0.395,0.333,2026-07-16
