Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
CROMPTON,107,4647,11999050,1248450,2389377572.5,101,1043,4255200,67950,516555122.5,0.355,0.224,2026-06-09
CUMMINSIND,89,6850,1701400,46400,8304021370.0,91,2377,1117000,45800,2601432970.0,0.657,0.347,2026-06-09
DABUR,83,2123,10401250,85000,1188035750.0,81,1088,7325000,-2500,570136937.5,0.704,0.512,2026-06-09
DALBHARAT,83,2799,941525,123500,1754811841.25,80,662,757250,20475,353032225.0,0.804,0.237,2026-06-09
DELHIVERY,68,2080,9115475,321625,2008479961.25,66,920,4089825,-76775,838912540.0,0.449,0.442,2026-06-09
DIVISLAB,96,64353,1497500,-133800,45142602185.0,94,30021,1485200,140900,19703272620.0,0.992,0.467,2026-06-09
DIXON,88,32915,1321650,-86950,20322339812.5,100,17377,1007950,-11300,9598485857.5,0.763,0.528,2026-06-09
DLF,93,7804,9372225,-459450,3911947827.5,94,2978,6425000,95950,1402603016.25,0.686,0.382,2026-06-09
DMART,68,8666,1200300,3450,5630825865.0,62,4674,702150,5250,2863234117.5,0.585,0.539,2026-06-09
DRREDDY,100,7315,7953125,352500,6141455218.75,100,3846,3541875,-11250,2928770906.25,0.445,0.526,2026-06-09
EICHERMOT,102,29245,1671600,-62900,22077153165.0,104,14552,1398800,15300,10300683395.0,0.837,0.498,2026-06-09
ETERNAL,69,31320,54509150,5012475,19966096607.5,71,16945,36835750,2408025,10166834688.75,0.676,0.541,2026-06-09
EXIDEIND,95,3162,16803000,88200,2377869750.0,95,1462,10254600,-99000,1009477620.0,0.61,0.462,2026-06-09
FEDERALBNK,89,38372,27942500,-3627500,30973657125.0,89,18733,26747500,3090000,14248117500.0,0.957,0.488,2026-06-09
FINNIFTY,259,4727,335040,26100,7375549584.0,259,5516,270960,21000,8089185357.0,0.809,1.167,2026-06-09
FORCEMOT,46,6455,159650,-3575,3141371205.0,44,4396,78425,3725,1806523686.25,0.491,0.681,2026-06-09
FORTIS,71,6294,3697525,-254975,5083352642.5,71,2662,2136675,-23250,2010075185.0,0.578,0.423,2026-06-09
GAIL,109,4479,27512100,208050,2469004227.0,113,1927,21572000,137450,1019483931.5,0.784,0.43,2026-06-09
GLENMARK,102,8265,3937500,119625,7272510056.25,101,3746,2669250,72375,2830574137.5,0.678,0.453,2026-06-09
GMRAIRPORT,85,7293,79410375,1004400,5514031356.75,86,2355,40238775,397575,1634483486.25,0.507,0.323,2026-06-09
GODFRYPHLP,84,2382,861025,37400,1586626195.0,80,1250,477950,30525,731572682.5,0.555,0.525,2026-06-09
GODREJCP,86,3021,1955500,6000,1586659975.0,85,1027,1931000,30500,503674575.0,0.987,0.34,2026-06-09
GODREJPROP,81,6870,2574650,103675,3425930123.75,80,3822,1680600,59100,1768205513.75,0.653,0.556,2026-06-09
GRASIM,105,12988,1680250,227250,10484709250.0,107,5730,1275250,57750,4270711450.0,0.759,0.441,2026-06-09
GVT&D,51,7316,534375,14000,4800355000.0,51,2412,367250,-13375,1425784906.25,0.687,0.33,2026-06-09
HAL,73,18179,2673750,-37200,12190497390.0,71,10548,1909050,20100,6645641002.5,0.714,0.58,2026-06-09
HAVELLS,107,3665,3773500,74000,2255443675.0,106,1032,1877500,2500,611369100.0,0.498,0.282,2026-06-09
HCLTECH,120,16056,9659750,318700,6856754517.5,119,6552,5701950,32400,2632421730.0,0.59,0.408,2026-06-09
HDFCAMC,192,2140,1358700,80400,1703824545.0,188,642,1044900,12600,470276490.0,0.769,0.3,2026-06-09
HDFCBANK,113,211709,119464050,6997850,90018582845.0,112,60844,65681900,2545050,24727978680.0,0.55,0.287,2026-06-09
HDFCLIFE,108,18963,22720500,1981100,12579124635.0,106,8196,13721400,1166000,5138926650.0,0.604,0.432,2026-06-09
HEROMOTOCO,91,13618,2407050,-74550,10492931677.5,87,3500,1265100,-9300,2497941195.0,0.526,0.257,2026-06-09
HINDALCO,86,18194,12390000,662900,14430467835.0,86,8210,7235200,184100,6112770895.0,0.584,0.451,2026-06-09
HINDPETRO,70,6479,15114600,348300,5339325802.5,71,2611,10116900,481950,2007068523.75,0.669,0.403,2026-06-09
HINDUNILVR,98,18580,9915900,-108300,12244650465.0,95,10668,4462200,-152700,6409480095.0,0.45,0.574,2026-06-09
HINDZINC,68,13080,28494725,-623525,9819923093.75,64,6224,15062600,-20825,4275840450.0,0.529,0.476,2026-06-09
