Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,55,2086,1335000,50000,1148923775.0,55,798,546500,11000,403515475.0,0.409,0.383,2026-03-20
ABB,108,20520,1374500,11125,16838402156.25,112,14662,1067125,28000,9977687143.75,0.776,0.715,2026-03-20
ABCAPITAL,76,10425,24443500,1370200,10760521910.0,75,4129,11187900,179800,4006975680.0,0.458,0.396,2026-03-20
ADANIENSOL,100,10388,3457350,-41850,7541599668.75,97,3626,2142450,-279450,2465888737.5,0.62,0.349,2026-03-20
ADANIENT,115,22941,7987959,-68907,14661845411.099998,115,10290,6321213,52839,6142684248.45,0.791,0.449,2026-03-20
ADANIGREEN,106,14684,10085400,58200,8158345080.0,107,8218,6007200,-176400,4323231450.0,0.596,0.56,2026-03-20
ADANIPORTS,79,22614,10002075,38000,15505863045.0,79,16045,7331625,28025,10421508906.25,0.733,0.71,2026-03-20
ALKEM,99,1431,255875,-8625,977713981.25,100,674,175500,-4375,434877975.0,0.686,0.471,2026-03-20
AMBER,90,10461,1343900,-13200,7605950980.0,92,5659,709400,-3700,3709593990.0,0.528,0.541,2026-03-20
AMBUJACEM,129,6511,17124450,128100,3108272737.5,124,2056,11823000,-189000,948726765.0,0.69,0.316,2026-03-20
ANGELONE,59,13261,23460000,412500,8194336225.0,60,6285,15435000,137500,3597204000.0,0.658,0.474,2026-03-20
APLAPOLLO,109,3401,2003050,-89250,2479055092.5,107,1941,1413650,-5250,1368294742.5,0.706,0.571,2026-03-20
APOLLOHOSP,118,25502,1212250,5875,24327017531.25,121,12968,916125,49375,11740139056.25,0.756,0.509,2026-03-20
ASHOKLEY,92,27641,101865000,4050000,25105178150.0,92,15884,51925000,3345000,13449320150.0,0.51,0.575,2026-03-20
ASIANPAINT,126,18553,5215000,75500,10673079012.5,123,15448,4710250,-40750,8419288362.5,0.903,0.833,2026-03-20
ASTRAL,86,9150,3066375,94350,6601950913.75,84,4951,1462425,34425,3382713231.25,0.477,0.541,2026-03-20
AUBANK,98,20841,10577000,1681000,19626749800.0,92,12694,6714000,485000,11570642200.0,0.635,0.609,2026-03-20
AUROPHARMA,109,18719,5348750,78650,13647396262.5,117,10104,4081550,6600,7005192535.0,0.763,0.54,2026-03-20
AXISBANK,137,43129,26163125,799375,34144925062.5,133,30260,14356875,617500,22876264156.25,0.549,0.702,2026-03-20
BAJAJ-AUTO,92,29699,1749300,-28875,21175362232.5,92,14234,910500,-37950,9485798913.75,0.52,0.479,2026-03-20
