Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,57,8969,3130500,-498000,5307561650.0,57,2766,1776500,-160500,1507772950.0,0.567,0.308,2026-01-22
ABB,102,12511,1362250,-85875,7938612537.5,102,5002,857375,-43625,3000586200.0,0.629,0.4,2026-01-22
ABCAPITAL,55,16458,26095800,-2991500,18616380555.0,56,12634,14601000,-331700,13620842000.0,0.56,0.768,2026-01-22
ADANIENSOL,113,20265,6272100,-313875,13333158461.25,113,9132,3786075,452925,5595664106.25,0.604,0.451,2026-01-22
ADANIENT,113,63550,9751113,-478641,42569940072.149994,114,29451,7586568,109386,18938647914.3,0.778,0.463,2026-01-22
ADANIGREEN,115,29705,9550800,103200,17025402750.0,113,9440,5500200,-58200,5207712810.0,0.576,0.318,2026-01-22
ADANIPORTS,73,34447,8788450,-573325,23953941511.25,71,22251,6004475,101175,14714256046.25,0.683,0.646,2026-01-22
ALKEM,92,4868,371625,-57500,3673464737.5,92,2231,189250,1625,1512872881.25,0.509,0.458,2026-01-22
AMBER,77,6748,607700,-33500,4202290695.0,79,9255,282000,-43700,5061821575.0,0.464,1.372,2026-01-22
AMBUJACEM,91,10115,14545650,-694050,5998373850.0,89,5732,12038250,-216300,3283820767.5,0.828,0.567,2026-01-22
ANGELONE,59,31473,3059250,-295750,21270491675.0,59,16983,2083000,-446500,10589106662.5,0.681,0.54,2026-01-22
APLAPOLLO,79,34528,2094750,223300,24411922745.0,83,12219,1263500,234150,8171490722.5,0.603,0.354,2026-01-22
APOLLOHOSP,120,35732,2007875,152750,31732382812.5,119,12985,1095375,14875,11056594443.75,0.546,0.363,2026-01-22
ASHOKLEY,113,51981,60885000,-17235000,50353937950.0,115,25190,46240000,3975000,23070487750.0,0.759,0.485,2026-01-22
ASIANPAINT,115,36748,4993750,-210250,25598674625.0,113,29362,3526500,65750,19709864737.5,0.706,0.799,2026-01-22
ASTRAL,67,20961,3476925,252875,12906805152.5,67,10996,2308175,-182750,6385757706.25,0.664,0.525,2026-01-22
AUBANK,86,31078,9885000,-1211000,32086005900.0,85,20694,7188000,-978000,20407643050.0,0.727,0.666,2026-01-22
AUROPHARMA,107,7940,6144600,-371250,5234094360.0,107,4067,3130050,-223300,2586752932.5,0.509,0.512,2026-01-22
AXISBANK,98,65874,36246250,109375,54551805437.5,99,42791,14944375,205625,34263041687.5,0.412,0.65,2026-01-22
BAJAJ-AUTO,77,42560,1473975,-228450,30545127333.75,80,20803,879375,-51675,14319849780.0,0.597,0.489,2026-01-22
BAJAJFINSV,83,16684,5674750,-214500,8499574437.5,84,7748,3326500,88250,3849627725.0,0.586,0.464,2026-01-22
BAJAJHLDNG,92,6991,174200,-65650,4064334672.5,92,910,87900,7300,463499795.0,0.505,0.13,2026-01-22
BAJFINANCE,92,46597,30802500,-1321500,34201990987.5,90,24470,18943500,-276750,17486870587.5,0.615,0.525,2026-01-22
BANDHANBNK,57,1116,38422800,-2080800,600373260.0,58,501,31608000,-835200,265522356.0,0.823,0.449,2026-01-22
BANKBARODA,90,24823,57268575,-8383050,22845863283.75,92,15340,42313050,-1149525,13513864455.0,0.739,0.618,2026-01-22
BANKINDIA,159,43282,42712800,-3541200,38525018220.0,161,18489,34398000,-1040000,15263477528.0,0.805,0.427,2026-01-22
BANKNIFTY,428,4314017,21700675,30635,7799321903541.0,428,3880278,17579320,1586855,6823657412668.5,0.81,0.899,2026-01-22
BDL,69,16516,5072900,-86800,8847785555.0,69,6387,2707250,-45150,3221104652.5,0.534,0.387,2026-01-22
BEL,66,116529,57252225,-4229400,70687819758.75,69,58538,35508150,453150,34019361870.0,0.62,0.502,2026-01-22
BHARATFORG,61,20770,4168500,-393500,15438791175.0,61,8476,2231500,-270000,6000603375.0,0.535,0.408,2026-01-22
BHARTIARTL,85,62183,15474550,-1137150,60860855741.25,84,31895,7233775,-252225,30218228710.0,0.467,0.513,2026-01-22
BHEL,131,43083,109798500,-1882125,30577719900.0,131,19015,43451625,-2412375,12691209037.5,0.396,0.441,2026-01-22
BIOCON,76,10208,29702500,-2747500,9947351125.0,72,5470,13550000,-435000,5106979750.0,0.456,0.536,2026-01-22
BLUESTARCO,79,3131,965575,21450,1832790781.25,79,2084,944450,-2925,1131354883.75,0.978,0.666,2026-01-22
BOSCHLTD,136,29323,414175,-4625,28438278970.0,136,4965,112175,-2175,4335448582.5,0.271,0.169,2026-01-22
BPCL,66,12130,21898800,-2069800,8850055777.5,66,9891,12365475,-361425,6876759215.0,0.565,0.815,2026-01-22
BRITANNIA,99,15357,962875,-187625,11761831818.75,99,7573,581250,40875,5542343543.75,0.604,0.493,2026-01-22
BSE,48,72372,8788500,-2233875,77369596856.25,50,35423,5215500,-337875,35024211637.5,0.593,0.489,2026-01-22
CAMS,73,46285,5443500,913500,26301631875.0,71,23351,3671250,282750,12447249450.0,0.674,0.505,2026-01-22
CANBK,113,24165,103673250,-11313000,26052362842.5,113,15785,93588750,972000,16045752712.5,0.903,0.653,2026-01-22
CDSL,83,32995,9295275,-1445900,22790098601.25,84,11563,5890950,145350,7557586252.5,0.634,0.35,2026-01-22
CGPOWER,78,16739,15294900,-1297950,8715807860.0,74,7622,7850600,-551650,3731405565.0,0.513,0.455,2026-01-22
CHOLAFIN,83,9332,4818125,-705000,10117534843.75,87,5308,3453750,-186250,5362101000.0,0.717,0.569,2026-01-22
CIPLA,135,22004,7841250,-84000,11792727056.25,134,13228,5990250,-79500,6910237443.75,0.764,0.601,2026-01-22
COALINDIA,139,67047,52323300,-4225500,39176351527.5,142,28751,26190000,-64800,16178796225.0,0.501,0.429,2026-01-22
COFORGE,95,56134,9026625,477375,37647374943.75,86,36973,5109000,194250,23103211143.75,0.566,0.659,2026-01-22
COLPAL,90,28355,2282400,-435375,14176659228.75,89,12865,1683450,-86175,6125744160.0,0.738,0.454,2026-01-22
CONCOR,88,8918,12691250,675000,5850438500.0,88,5698,9781250,722500,3770752375.0,0.771,0.639,2026-01-22
CROMPTON,106,12506,22813200,252000,5575843080.0,105,5197,12081600,-489600,2240850060.0,0.53,0.416,2026-01-22
CUMMINSIND,92,8071,1713200,-118800,6841783070.0,92,3473,1024000,-31400,2765717450.0,0.598,0.43,2026-01-22
DABUR,84,16444,11762500,-617500,11084619312.5,85,8610,7763750,-128750,5501271312.5,0.66,0.524,2026-01-22
DALBHARAT,96,17244,1542775,-177450,12810755343.75,96,9116,758550,-296400,6420780941.25,0.492,0.529,2026-01-22
DELHIVERY,83,4640,7156675,-939975,3901404313.75,79,2580,5824525,-452350,2077781330.0,0.814,0.556,2026-01-22
DIVISLAB,115,22628,1901900,-9100,14341268100.0,115,7490,932500,-37400,4573208690.0,0.49,0.331,2026-01-22
DIXON,151,103452,3759350,-52900,58967558237.5,148,59902,1990850,-53250,31345239415.0,0.53,0.579,2026-01-22
DLF,81,45443,25742475,2295150,24595518708.75,81,27898,15477825,2439525,14181010676.25,0.601,0.614,2026-01-22
DMART,74,24587,3534000,-352650,14240183010.0,72,8932,1384350,-124650,4898247915.0,0.392,0.363,2026-01-22
DRREDDY,113,114956,11327500,-430625,89411049406.25,113,56256,6790000,-471875,41602522218.75,0.599,0.489,2026-01-22
EICHERMOT,112,50109,1931100,82800,37309314975.0,113,21673,947600,3500,15454067365.0,0.491,0.433,2026-01-22
ETERNAL,62,266917,109629400,7134350,195600408213.75,61,217269,60365525,-18117175,145836143678.75,0.551,0.814,2026-01-22
EXIDEIND,137,9014,18842400,-2358000,5674836060.0,137,4944,12056400,-532800,3025670670.0,0.64,0.548,2026-01-22
FEDERALBNK,106,53437,58060000,-2235000,77693453500.0,105,29480,65960000,300000,40435945750.0,1.136,0.552,2026-01-22
FINNIFTY,208,116766,1198020,-384480,193407646896.0,208,96754,949920,174120,155034374877.0,0.793,0.829,2026-01-22
FORTIS,88,8190,4424475,494450,5627652425.0,87,10422,2963600,277450,6729290977.5,0.67,1.273,2026-01-22
GAIL,147,8538,42077700,-837900,4595462959.5,148,7148,34552350,3150,3735247792.5,0.821,0.837,2026-01-22
