Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,50,1234,970000,-19000,716451700.0,54,516,642500,14000,279769250.0,0.662,0.418,2026-05-13
ABB,149,22489,2852750,-45750,19313385656.25,141,10534,994750,13000,8352035768.75,0.349,0.468,2026-05-13
ABCAPITAL,65,5511,20019800,1112900,6313260205.0,68,2308,11981500,186000,2457211280.0,0.598,0.419,2026-05-13
ADANIENSOL,79,20077,8914725,-598050,19278146340.0,75,6847,4758075,290250,5928566073.75,0.534,0.341,2026-05-13
ADANIENT,111,38511,7853853,-103206,30977696953.050003,122,19118,5811672,193743,14551419826.949999,0.74,0.496,2026-05-13
ADANIGREEN,135,26619,9178200,56400,22983092190.0,138,15980,6924000,464400,12445825500.0,0.754,0.6,2026-05-13
ADANIPORTS,73,39612,9862425,-228475,34044486900.0,80,21952,7054700,229900,17531901540.0,0.715,0.554,2026-05-13
ADANIPOWER,92,17471,41357500,1175050,14235605044.5,97,7578,23319950,113600,5688324821.0,0.564,0.434,2026-05-13
ALKEM,85,2204,419000,78500,1613563275.0,88,698,167000,13750,474760212.5,0.399,0.317,2026-05-13
AMBER,77,10153,1420700,73700,9212109045.0,82,4633,746200,64800,3727006545.0,0.525,0.456,2026-05-13
AMBUJACEM,71,15806,20832000,411600,7686788497.5,71,6134,12687300,-349650,2849336017.5,0.609,0.388,2026-05-13
ANGELONE,60,5990,24050000,1327500,4901416125.0,57,2889,12332500,380000,2174563625.0,0.513,0.482,2026-05-13
APLAPOLLO,86,2842,2066750,4550,1989883175.0,80,1874,1251950,-34300,1262138587.5,0.606,0.659,2026-05-13
APOLLOHOSP,118,12187,1138750,7875,12751443387.5,120,5286,788500,6750,5291953056.25,0.692,0.434,2026-05-13
ASHOKLEY,72,22225,113115000,11565000,18933802200.0,70,19230,67970000,5845000,14834460850.0,0.601,0.865,2026-05-13
