Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,56,4297,1470500,84500,2426630325.0,55,4211,1863000,228500,2178623400.0,1.267,0.98,2026-04-16
ABB,127,16957,979250,46125,15129851962.5,128,13910,1047250,91750,11836746181.25,1.069,0.82,2026-04-16
ABCAPITAL,68,4957,11358400,1010600,5502401575.0,70,2956,8878400,-403000,3086802060.0,0.782,0.596,2026-04-16
ADANIENSOL,77,16388,3739500,-176175,14002383836.25,82,6900,2624400,185625,5478021933.75,0.702,0.421,2026-04-16
ADANIENT,109,39293,6888537,-140286,27848809287.6,115,18350,6799236,238239,12122378598.3,0.987,0.467,2026-04-16
ADANIGREEN,119,21682,7868400,552000,15238395780.0,122,11612,6759000,459600,7534284450.0,0.859,0.536,2026-04-16
ADANIPORTS,71,58088,8416525,230850,44040196116.25,74,25250,7062300,788025,18033161843.75,0.839,0.435,2026-04-16
ADANIPOWER,87,30518,27892350,1331250,21744373025.0,88,10542,17785500,5151050,6861061144.0,0.638,0.345,2026-04-16
ALKEM,93,3195,249750,-4750,2330089668.75,95,1165,150250,-3500,795923950.0,0.602,0.365,2026-04-16
AMBER,82,37358,964700,68700,30090324400.0,83,16370,714800,90100,11885248095.0,0.741,0.438,2026-04-16
AMBUJACEM,90,9616,10632300,575400,4801727122.5,93,5325,10014900,71400,2514585885.0,0.942,0.554,2026-04-16
ANGELONE,73,25508,29892500,8162500,19911872625.0,76,19969,21497500,5167500,14244926725.0,0.719,0.783,2026-04-16
APLAPOLLO,101,4608,1191750,82600,3416935025.0,99,1407,835800,-11550,995548995.0,0.701,0.305,2026-04-16
APOLLOHOSP,107,17542,866375,134000,17093282325.0,109,10109,725500,-4500,9448083331.25,0.837,0.576,2026-04-16
ASHOKLEY,86,12745,88905000,-205000,11966540350.0,85,8431,67465000,1030000,7102846800.0,0.759,0.662,2026-04-16
ASIANPAINT,111,22815,3778750,-25250,14392526562.5,113,18677,5064250,76500,11000590312.5,1.34,0.819,2026-04-16
ASTRAL,77,45530,4587450,1723800,31508864795.0,78,24865,2361725,770100,16193858385.0,0.515,0.546,2026-04-16
AUBANK,92,4700,6690000,358000,4832953550.0,94,4084,5637000,302000,3957855950.0,0.843,0.869,2026-04-16
AUROPHARMA,72,7213,3847800,126500,5654471295.0,76,4110,2763750,62150,3027639175.0,0.718,0.57,2026-04-16
AXISBANK,128,26320,16691875,345625,23022047281.25,127,23065,13541250,-461875,19194874000.0,0.811,0.876,2026-04-16
BAJAJ-AUTO,89,21084,1137975,67800,16302783892.5,88,12448,1136550,39825,9033624187.5,0.999,0.59,2026-04-16
BAJAJFINSV,94,19368,3535500,133750,9206192087.5,95,8594,3528750,-25250,3861551312.5,0.998,0.444,2026-04-16
BAJAJHLDNG,98,4525,93500,35200,2460724170.0,95,724,44600,6450,364459992.5,0.477,0.16,2026-04-16
BAJFINANCE,93,38937,21335250,1807500,27954830625.0,98,22016,16863000,1031250,14773887600.0,0.79,0.565,2026-04-16
BANDHANBNK,80,4821,25398000,18000,3197491920.0,80,3619,19742400,673200,2195647488.0,0.777,0.751,2026-04-16
BANKBARODA,111,10685,41254200,2331225,9139386759.75,108,6778,38586600,1556100,5461776157.5,0.935,0.634,2026-04-16
BANKINDIA,95,4258,23514400,676000,3473780284.0,88,2670,22817600,525200,2058827888.0,0.97,0.627,2026-04-16
BANKNIFTY,676,1322583,19325910,1518180,2319227726250.0,676,1261528,16731750,819540,2076610113820.5,0.866,0.954,2026-04-16
BDL,70,13879,3407250,215950,7005955390.0,71,6663,2529450,70000,3001481752.5,0.742,0.48,2026-04-16
BEL,80,49703,41283675,300675,33558984198.75,83,23131,29459025,1957950,14485215060.0,0.714,0.465,2026-04-16
BHARATFORG,82,7000,3302000,-89000,6737853925.0,80,3701,2020000,63500,3320679150.0,0.612,0.529,2026-04-16
BHARTIARTL,77,51819,13129000,2451000,47086687490.0,77,22360,8065025,388075,19573722693.75,0.614,0.432,2026-04-16
BHEL,140,56071,42322875,10366125,46759401753.75,141,24279,38624250,5583375,18537015052.5,0.913,0.433,2026-04-16
BIOCON,75,7586,23897500,300000,6984573000.0,76,2873,15215000,10000,2510313375.0,0.637,0.379,2026-04-16
BLUESTARCO,112,21053,1579175,347750,13246840408.75,103,6216,960700,47450,3627391673.75,0.608,0.295,2026-04-16
BOSCHLTD,154,9725,254800,-7575,9632870550.0,152,10168,226300,6875,8356093668.75,0.888,1.046,2026-04-16
BPCL,82,12015,22430075,936150,7795479050.0,80,7081,19698650,-588550,4240694226.25,0.878,0.589,2026-04-16
BRITANNIA,93,9497,580500,65000,6902060593.75,94,4093,538000,-18250,2845031725.0,0.927,0.431,2026-04-16
BSE,69,42888,7076250,198375,57675298143.75,71,38199,9145500,858750,47366787787.5,1.292,0.891,2026-04-16
CAMS,66,4990,2654250,37500,2842383600.0,66,2572,2046750,60750,1387469175.0,0.771,0.515,2026-04-16
CANBK,131,7884,74196000,3132000,7855656750.0,129,6202,69241500,1154250,5894855055.0,0.933,0.787,2026-04-16
CDSL,64,16677,4626025,-17575,11199624883.75,66,9354,4103050,142500,5900613708.75,0.887,0.561,2026-04-16
CGPOWER,68,14626,4238950,278800,9792674517.5,69,4519,2516000,-110500,2850575300.0,0.594,0.309,2026-04-16
CHOLAFIN,93,19912,4480625,301875,20624357125.0,92,10801,3875625,236875,10593953062.5,0.865,0.542,2026-04-16
CIPLA,104,11909,4503000,94875,5661088012.5,106,3738,3698250,115125,1717808587.5,0.821,0.314,2026-04-16
COALINDIA,109,28552,45156150,1210950,17737157047.5,103,11934,25608150,1890000,6950446650.0,0.567,0.418,2026-04-16
COCHINSHIP,80,3767,829600,-44000,2372006840.0,81,2388,616400,12400,1260142920.0,0.743,0.634,2026-04-16
COFORGE,62,47540,7584750,322500,24606308456.25,63,21494,4782375,72000,10342347693.75,0.631,0.452,2026-04-16
COLPAL,95,14412,1554300,-17325,6665834115.0,97,4886,1098450,-27675,2115627592.5,0.707,0.339,2026-04-16
CONCOR,91,10046,6331250,103750,6485868625.0,93,2471,4843750,398750,1518244500.0,0.765,0.246,2026-04-16
CROMPTON,103,27139,11221200,1850400,13054582080.0,104,9296,9005400,2777400,4224750246.0,0.803,0.343,2026-04-16
CUMMINSIND,97,9583,1169400,35200,10076081600.0,96,4401,767400,28200,4358970990.0,0.656,0.459,2026-04-16
DABUR,83,10735,11537500,1581250,6063932750.0,82,4408,7245000,997500,2380574250.0,0.628,0.411,2026-04-16
DALBHARAT,89,3052,950300,93275,2213717415.0,91,1300,1063400,-42900,785003992.5,1.119,0.426,2026-04-16
