Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,59,2860,1525000,127500,1716223250.0,57,1481,781000,134000,791506925.0,0.512,0.518,2026-02-09
ABB,119,6452,1309375,4625,4905425881.25,124,4214,981250,24000,2884072037.5,0.749,0.653,2026-02-09
ABCAPITAL,65,10846,16237800,-1664700,12387821185.0,65,6059,12768900,300700,6379181550.0,0.786,0.559,2026-02-09
ADANIENSOL,119,3705,3900150,-101250,2695166595.0,119,2097,3422250,-96525,1366495683.75,0.877,0.566,2026-02-09
ADANIENT,116,33402,8031219,-111549,24454589718.449997,121,22787,7443810,11433,15385550989.349997,0.927,0.682,2026-02-09
ADANIGREEN,118,11944,9300000,-141600,7381848300.0,119,6890,8039400,-319800,3680482050.0,0.864,0.577,2026-02-09
ADANIPORTS,86,23543,9639175,91675,18206709696.25,87,14213,8535275,261250,10220151133.75,0.885,0.604,2026-02-09
ALKEM,84,3127,162875,6875,2312971362.5,85,626,161125,-2125,438599881.25,0.989,0.2,2026-02-09
AMBER,84,48346,766700,187900,35646095195.0,84,13369,517300,126300,8772730745.0,0.675,0.277,2026-02-09
AMBUJACEM,105,15067,15093750,1570800,8919090862.5,104,6256,10673250,5250,3450979875.0,0.707,0.415,2026-02-09
ANGELONE,61,19870,2210250,63500,14205677200.0,61,10236,2067500,103000,6545733100.0,0.935,0.515,2026-02-09
APLAPOLLO,92,10728,1670900,398650,8646812230.0,95,7774,2368100,976850,5788876782.5,1.417,0.725,2026-02-09
APOLLOHOSP,110,24142,1392875,83625,22733825575.0,107,9608,1106000,81750,8486647212.5,0.794,0.398,2026-02-09
ASHOKLEY,74,14960,41495000,-5320000,16004116950.0,69,6296,35735000,4000000,6220659100.0,0.861,0.421,2026-02-09
ASIANPAINT,129,21477,8887500,272250,13681839350.0,121,6989,4328500,54250,4171128025.0,0.487,0.325,2026-02-09
ASTRAL,60,9250,2995400,-162350,6073135483.75,59,5536,1708500,96475,3425201246.25,0.57,0.598,2026-02-09
AUBANK,85,9058,6033000,238000,9396914200.0,84,4577,4760000,325000,4443627200.0,0.789,0.505,2026-02-09
AUROPHARMA,106,19146,5839900,1185800,13361845420.0,108,7601,3347300,545600,4904312270.0,0.573,0.397,2026-02-09
AXISBANK,115,35403,28765000,208750,30717378718.75,117,17414,13621250,471250,14362353906.25,0.474,0.492,2026-02-09
BAJAJ-AUTO,69,18703,1340925,-31275,14009938998.75,69,10463,757650,-75,7348467708.75,0.565,0.559,2026-02-09
BAJAJFINSV,90,19761,5998250,364500,10293398687.5,92,8175,3837500,-28250,4019161412.5,0.64,0.414,2026-02-09
BAJAJHLDNG,84,3092,165600,-6450,1818251855.0,84,625,62700,50,329507172.5,0.379,0.202,2026-02-09
BAJFINANCE,92,25324,17789250,842250,19423907625.0,91,18014,19295250,-154500,12748538887.5,1.085,0.711,2026-02-09
BANDHANBNK,55,8817,23958000,1317600,5340251808.0,58,4907,21081600,1598400,2819933280.0,0.88,0.557,2026-02-09
BANKBARODA,109,18133,54975375,1123200,16268235750.0,108,8588,36018450,111150,7167128670.0,0.655,0.474,2026-02-09
BANKINDIA,144,9410,24736400,-540800,8628969336.0,146,3988,18007600,-15600,3363649380.0,0.728,0.424,2026-02-09
BANKNIFTY,426,1109237,13739495,44125,2060826706357.5,426,1043154,14496225,1403790,1865629230687.0,1.055,0.94,2026-02-09
BDL,85,35458,11118800,-684950,17569120625.0,85,7058,3969000,52850,3094045115.0,0.357,0.199,2026-02-09
BEL,79,53064,104720400,-3207675,34946209087.5,80,23754,44253375,135375,14334649845.0,0.423,0.448,2026-02-09
BHARATFORG,82,7795,2876000,-88500,6510236175.0,82,3434,2102000,49500,2622368725.0,0.731,0.441,2026-02-09
BHARTIARTL,84,60856,13839600,-608000,60864310796.25,82,41677,8287800,-46550,39605075801.25,0.599,0.685,2026-02-09
BHEL,110,23274,47838000,-2086875,17588163600.0,109,10848,25362750,-26250,7477680393.75,0.53,0.466,2026-02-09
BIOCON,63,8296,18480000,542500,8149980125.0,61,3584,13885000,215000,3305901375.0,0.751,0.432,2026-02-09
BLUESTARCO,83,8759,1134250,250575,5739391255.0,85,3987,1010425,245700,2288848087.5,0.891,0.455,2026-02-09
BOSCHLTD,115,20537,200700,47475,19817110702.5,108,7858,82325,525,6969325103.75,0.41,0.383,2026-02-09
BPCL,70,8634,16781575,1299550,6890743005.0,71,5967,11982325,-55300,4313827192.5,0.714,0.691,2026-02-09
BRITANNIA,96,10432,1032250,192125,8025159850.0,91,3725,517500,56625,2659280481.25,0.501,0.357,2026-02-09
BSE,64,78049,7923000,1196250,92609329106.25,64,36679,6690375,1033500,39042181575.0,0.844,0.47,2026-02-09
CAMS,77,4416,2820000,360000,2530536300.0,76,2151,2857500,67500,1143631725.0,1.013,0.487,2026-02-09
CANBK,157,18331,166259250,7850250,19504819170.0,157,8444,87682500,2355750,8275284877.5,0.527,0.461,2026-02-09
CDSL,75,24860,7845575,143450,16900171917.5,77,8879,5468200,103075,5640567002.5,0.697,0.357,2026-02-09
CGPOWER,77,17112,7625350,-74800,10442136100.0,78,7622,6560300,-259250,4126797515.0,0.86,0.445,2026-02-09
CHOLAFIN,85,7253,3176250,111875,8332467468.75,82,4412,3176250,89375,4625300093.75,1.0,0.608,2026-02-09
CIPLA,115,20603,6038625,-208125,10664625937.5,111,5578,3994875,-48750,2757886762.5,0.662,0.271,2026-02-09
COALINDIA,153,14305,41918850,1591650,8731270800.0,152,4265,21200400,410400,2431550947.5,0.506,0.298,2026-02-09
COFORGE,93,17926,7748625,555000,11144782350.0,89,7149,3551625,109125,4167743925.0,0.458,0.399,2026-02-09
COLPAL,80,8585,2112300,36675,4327871670.0,80,2678,1306350,23625,1263310571.25,0.618,0.312,2026-02-09
CONCOR,94,4863,10725000,-66250,3250314687.5,94,2164,9810000,-76250,1372216562.5,0.915,0.445,2026-02-09
CROMPTON,109,48826,19193400,507600,23620319010.0,111,24887,16164000,3439800,11050532586.0,0.842,0.51,2026-02-09
CUMMINSIND,86,8011,1118000,25800,7351207940.0,86,5597,1071400,-69200,4620918420.0,0.958,0.699,2026-02-09
DABUR,78,10173,14198750,-295000,6774317375.0,76,4373,7523750,-37500,2697143562.5,0.53,0.43,2026-02-09
DALBHARAT,101,6256,870675,92950,4685792296.25,100,7886,1793350,18200,5127558442.5,2.06,1.261,2026-02-09
DELHIVERY,79,2588,9493125,506300,2504571168.75,82,1420,6305925,170150,1254897957.5,0.664,0.549,2026-02-09
