Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,46,2058,1010000,-74500,1181898775.0,49,503,581500,-12000,263106925.0,0.576,0.244,2026-05-06
ABB,106,14885,1099250,78500,14453333581.25,105,5887,550500,39750,5323615081.25,0.501,0.395,2026-05-06
ABCAPITAL,60,14933,14024400,-1205900,17992676055.0,64,8308,12235700,365800,9183153250.0,0.872,0.556,2026-05-06
ADANIENSOL,73,11387,5528925,167400,11585303977.5,70,5058,4300425,108000,4703478941.25,0.778,0.444,2026-05-06
ADANIENT,92,49889,7301670,-286752,40561236626.549995,103,28499,6136122,538896,21637712068.35,0.84,0.571,2026-05-06
ADANIGREEN,108,24774,7850400,655200,21061641060.0,111,10474,5628600,412200,8249926800.0,0.717,0.423,2026-05-06
ADANIPORTS,73,28567,8611750,-93575,24850555358.75,80,16595,6781575,138225,13403434741.25,0.787,0.581,2026-05-06
ADANIPOWER,79,10969,33100200,1405800,9518202525.5,83,4668,23334150,1775000,3629945680.5,0.705,0.426,2026-05-06
ALKEM,79,7986,245875,29875,5832682356.25,78,2310,160750,10500,1543286487.5,0.654,0.289,2026-05-06
AMBER,72,27596,849400,386400,25153913990.0,77,11166,429100,195800,9155269600.0,0.505,0.405,2026-05-06
AMBUJACEM,68,41733,21333900,-108150,20841748987.5,69,13978,12153900,554550,6478630005.0,0.57,0.335,2026-05-06
ANGELONE,51,12931,15965000,1147500,11000315750.0,44,4136,7890000,255000,3222413500.0,0.494,0.32,2026-05-06
APLAPOLLO,85,8165,1899100,107450,5741346117.5,78,2093,999600,14000,1378191675.0,0.526,0.256,2026-05-06
APOLLOHOSP,104,5426,770500,64000,5588978737.5,105,2199,460875,17875,2102688300.0,0.598,0.405,2026-05-06
ASHOKLEY,68,35057,91810000,3850000,31611974750.0,67,11643,51400000,930000,9365068200.0,0.56,0.332,2026-05-06
ASIANPAINT,84,36702,4351000,468250,23960074100.0,88,21985,3411000,99750,13340330712.5,0.784,0.599,2026-05-06
ASTRAL,61,13712,1773950,186575,9742830602.5,63,4260,1023825,64175,2780063103.75,0.577,0.311,2026-05-06
AUBANK,74,11605,8129000,-30000,12505749800.0,77,5019,4473000,197000,5076677850.0,0.55,0.432,2026-05-06
AUROPHARMA,58,22826,3065150,221650,19229544895.0,53,9438,2463450,769450,7415069282.5,0.804,0.413,2026-05-06
