Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,44,842,1031500,2000,482164775.0,45,331,401000,-7500,174480625.0,0.389,0.393,2026-06-08
ABB,101,8487,1107125,49375,7917088031.25,113,7034,598125,8250,5668334206.25,0.54,0.829,2026-06-08
ABCAPITAL,54,3802,11904000,1026100,4435288110.0,53,1792,8590100,294500,1914054855.0,0.722,0.471,2026-06-08
ADANIENSOL,69,17925,6333525,454950,20552042216.25,69,5658,3088800,81675,5984980548.75,0.488,0.316,2026-06-08
ADANIENT,101,24749,7443192,743145,24219393935.85,112,18712,5491857,-92700,17175640519.350002,0.738,0.756,2026-06-08
ADANIGREEN,106,20340,7671000,251400,19653712260.0,117,12004,5314800,-12000,10117913220.0,0.693,0.59,2026-06-08
ADANIPORTS,60,16556,6509875,222300,14960120511.25,61,9984,3664625,-47025,8376196550.0,0.563,0.603,2026-06-08
ADANIPOWER,73,11942,44165550,3042350,10676314730.0,70,3422,25904350,1136000,2745910267.5,0.587,0.287,2026-06-08
ALKEM,103,11139,704750,-54625,7913383481.25,103,3823,418375,9125,2439798106.25,0.594,0.343,2026-06-08
AMBER,61,204,1772400,-4000,167129115.0,58,31,1216200,-1000,22503330.0,0.686,0.152,2026-06-08
AMBUJACEM,77,11819,17661450,519900,5574764257.5,77,3530,10366500,293850,1550279782.5,0.587,0.299,2026-06-08
ANGELONE,58,5637,20277500,732500,5093723625.0,59,3893,12812500,-417500,3196838000.0,0.632,0.691,2026-06-08
APLAPOLLO,84,1936,1080450,-55650,1302473112.5,84,1222,929950,23100,742717342.5,0.861,0.631,2026-06-08
APOLLOHOSP,102,38312,1272250,114625,41826746518.75,104,12725,928125,83500,13156847687.5,0.73,0.332,2026-06-08
ASHOKLEY,71,20549,172505000,15805000,16422321900.0,71,6506,86425000,1420000,4571761000.0,0.501,0.317,2026-06-08
ASIANPAINT,83,17372,6025750,266250,12107473287.5,90,8866,3148000,53500,5813009487.5,0.522,0.51,2026-06-08
ASTRAL,66,3999,2049775,88825,2797809382.5,67,2859,1326425,-119425,1766991305.0,0.647,0.715,2026-06-08
AUBANK,74,3758,5070000,482000,3819717750.0,73,2073,3623000,254000,1988442100.0,0.715,0.552,2026-06-08
AUROPHARMA,54,5891,3662450,85250,4981469322.5,52,2885,2198900,-44000,2223572092.5,0.6,0.49,2026-06-08
AXISBANK,95,37606,17801875,3605000,31200881781.25,94,20306,9611875,121875,16039799250.0,0.54,0.54,2026-06-08
BAJAJ-AUTO,80,9441,1626300,15600,7582995420.0,81,5008,942825,14250,3722296282.5,0.58,0.53,2026-06-08
BAJAJFINSV,75,18860,6486950,598550,8538462360.0,75,7472,3143650,52150,3147246817.5,0.485,0.396,2026-06-08
BAJAJHLDNG,77,2177,92000,18475,1247982130.0,77,400,47475,2475,199742480.0,0.516,0.184,2026-06-08
BAJFINANCE,75,24192,22062000,1359000,16855409625.0,75,12787,14919750,445500,8371893900.0,0.676,0.529,2026-06-08
BANDHANBNK,59,3643,29937600,126000,2879833212.0,55,1306,15678000,-208800,966247848.0,0.524,0.358,2026-06-08
BANKBARODA,154,12079,53103375,4241250,9778973197.5,153,6146,32648850,421200,4735937700.0,0.615,0.509,2026-06-08
BANKINDIA,94,2696,23753600,1258400,2119128336.0,95,1251,18761600,343200,911149512.0,0.79,0.464,2026-06-08
BANKNIFTY,512,1055983,17569290,909600,1800963346731.0,512,884999,15145740,607350,1420420056172.5,0.862,0.838,2026-06-08
BDL,69,12243,4573000,317875,5519954695.0,66,4734,2851300,5775,1966959073.75,0.624,0.387,2026-06-08
BEL,72,26485,46056000,-340575,16338149257.5,70,10822,29466150,188100,6273932430.0,0.64,0.409,2026-06-08
BHARATFORG,67,2453,1949000,-16500,2486758475.0,66,2213,1482000,500,2033919850.0,0.76,0.902,2026-06-08
BHARTIARTL,74,26627,14962975,367175,23866139495.0,74,11606,8297775,114475,9876441062.5,0.555,0.436,2026-06-08
BHEL,139,10881,36991500,477750,12034278375.0,135,5126,23501625,-270375,5198227781.25,0.635,0.471,2026-06-08
BIOCON,72,5301,15490000,280000,5819477875.0,70,1451,9222500,-172500,1502935875.0,0.595,0.274,2026-06-08
BLUESTARCO,82,2061,1414400,69875,1135129352.5,78,672,948350,14625,342410721.25,0.67,0.326,2026-06-08
BOSCHLTD,114,5477,190525,12075,5425044147.5,122,3366,155500,725,2964860102.5,0.816,0.615,2026-06-08
BPCL,54,8481,15918500,681375,5210979237.5,54,5790,11609050,1390400,3254472545.0,0.729,0.683,2026-06-08
BRITANNIA,101,5109,1387625,42750,3447918981.25,97,2214,903375,-1750,1381466693.75,0.651,0.433,2026-06-08
BSE,73,47116,10617825,28375,74382800157.5,74,28042,6307500,122625,40483448883.75,0.594,0.595,2026-06-08
CAMS,58,2442,2224275,130125,1517409543.75,59,894,1307100,12750,498950430.0,0.588,0.366,2026-06-08
CANBK,107,13136,112198500,13594500,12609268515.0,107,8460,69194250,4239000,7590977100.0,0.617,0.644,2026-06-08
CDSL,48,8029,7315950,348175,4976212195.0,49,4765,4595150,-87400,2661940945.0,0.628,0.593,2026-06-08
CGPOWER,70,10310,7038850,395250,8554319802.5,69,8129,4199000,263500,6294040007.5,0.597,0.788,2026-06-08
CHOLAFIN,73,3486,3364375,259375,3441511281.25,69,2806,2449375,126250,2585395125.0,0.728,0.805,2026-06-08
CIPLA,100,12324,4706350,112500,6724768690.0,102,4700,3215050,90325,2457529158.75,0.683,0.381,2026-06-08
COALINDIA,74,20870,45366750,577800,13933803667.5,81,14819,44744400,-843750,9169121025.0,0.986,0.71,2026-06-08
COCHINSHIP,69,4075,1518000,17600,2563384400.0,63,1224,788800,-36800,695291200.0,0.52,0.3,2026-06-08
COFORGE,74,14082,7356950,-27350,8070555058.75,79,6782,4382600,25100,3655596063.75,0.596,0.482,2026-06-08
COLPAL,80,5385,1921550,-25175,2667830400.0,80,2181,1234325,45775,926651692.5,0.642,0.405,2026-06-08
CONCOR,84,5303,13958750,816250,3154432875.0,81,1856,7255000,45000,1047317187.5,0.52,0.35,2026-06-08
CROMPTON,97,5451,10750600,1066250,2907648575.0,91,1923,4187250,406300,917725595.0,0.389,0.353,2026-06-08
CUMMINSIND,86,8662,1655000,115000,10648540550.0,88,5941,1071200,54600,6221659830.0,0.647,0.686,2026-06-08
DABUR,83,2418,10316250,405000,1362862437.5,81,1194,7327500,38750,623392312.5,0.71,0.494,2026-06-08
DALBHARAT,83,1922,818025,59800,1161458837.5,80,1108,736775,43550,623457786.25,0.901,0.576,2026-06-08
DELHIVERY,68,1104,8793850,302950,1069921875.0,66,687,4166600,31125,615055418.75,0.474,0.622,2026-06-08
DIVISLAB,96,24394,1631300,474000,16944270120.0,94,10242,1344300,114900,6711408565.0,0.824,0.42,2026-06-08
DIXON,88,37206,1408600,201300,22958889347.5,100,24906,1019250,79100,13985222577.5,0.724,0.669,2026-06-08
DLF,83,7707,9831675,629725,3864374090.0,86,7769,6329050,535325,3636564030.0,0.644,1.008,2026-06-08
DMART,68,6911,1196850,22350,4524978765.0,62,3132,696900,7950,1921567110.0,0.582,0.453,2026-06-08
DRREDDY,100,13617,7600625,440000,11433530531.25,100,3472,3553125,221250,2754177812.5,0.467,0.255,2026-06-08
EICHERMOT,102,11470,1734500,131600,8576583815.0,104,10361,1383500,244500,7197249505.0,0.798,0.903,2026-06-08
ETERNAL,69,19121,49496675,3181600,12408075100.0,71,14119,34427725,-1678100,8601676881.25,0.696,0.738,2026-06-08
EXIDEIND,95,4381,16714800,673200,3293584380.0,95,2749,10353600,-435600,1911594870.0,0.619,0.627,2026-06-08
FEDERALBNK,89,40089,31570000,-2487500,31994061500.0,89,15559,23657500,2920000,11763106000.0,0.749,0.388,2026-06-08
FINNIFTY,254,3745,308940,14520,5829088299.0,254,4055,249960,14340,5997765801.0,0.809,1.083,2026-06-08
FORCEMOT,43,6598,163225,21025,3288415561.25,41,7016,74700,9550,2931518331.25,0.458,1.063,2026-06-08
FORTIS,66,36009,3952500,1810400,29257293421.25,66,10204,2159925,644025,7730197238.75,0.546,0.283,2026-06-08
GAIL,109,8587,27304050,1745800,4766547611.5,113,2937,21434550,1028000,1551406454.0,0.785,0.342,2026-06-08
GLENMARK,102,8332,3817875,47625,7284167137.5,101,1618,2596875,9750,1326163800.0,0.68,0.194,2026-06-08
GMRAIRPORT,85,8156,78405975,2594700,6167735680.5,86,3109,39841200,634725,2168273958.75,0.508,0.381,2026-06-08
GODFRYPHLP,79,1380,823625,23925,931014755.0,75,435,447425,-7975,258195698.75,0.543,0.315,2026-06-08
GODREJCP,86,2037,1949500,160500,1071824225.0,85,717,1900500,21500,349768150.0,0.975,0.352,2026-06-08
GODREJPROP,76,7719,2470975,21025,3889870175.0,75,7742,1621500,59000,3623007535.0,0.656,1.003,2026-06-08
GRASIM,101,4836,1453000,119000,3936124337.5,103,5038,1217500,120500,3710047625.0,0.838,1.042,2026-06-08
GVT&D,51,4427,520375,9375,2985328550.0,51,6327,380625,94625,3816527937.5,0.731,1.429,2026-06-08
HAL,73,26000,2710950,136500,17495987910.0,71,10147,1888950,74700,6410634240.0,0.697,0.39,2026-06-08
HAVELLS,107,3914,3699500,221000,2419588225.0,106,1700,1875000,94000,974350100.0,0.507,0.434,2026-06-08
HCLTECH,120,16375,9341050,-168850,7047985960.0,119,9427,5669550,-55400,3798562397.5,0.607,0.576,2026-06-08
HDFCAMC,187,2028,1278300,6300,1661954190.0,183,770,1032300,49200,563647590.0,0.808,0.38,2026-06-08
HDFCBANK,113,175078,112466200,5535200,75067914095.0,112,57785,63136850,1398500,23316362792.5,0.561,0.33,2026-06-08
HDFCLIFE,103,9525,20739400,2150500,6350032865.0,101,3174,12555400,532400,2008431590.0,0.605,0.333,2026-06-08
HEROMOTOCO,91,13131,2481600,35250,10260201607.5,87,3700,1274400,12600,2665184452.5,0.514,0.282,2026-06-08
HINDALCO,81,18701,11727100,1031800,15034591635.0,80,15781,7051100,-128100,11808555675.0,0.601,0.844,2026-06-08
HINDPETRO,66,4444,14766300,1020600,3680395177.5,68,3708,9634950,1091475,2839230528.75,0.652,0.834,2026-06-08
HINDUNILVR,98,16773,10024200,276000,11103801930.0,95,8370,4614900,6300,5116009350.0,0.46,0.499,2026-06-08
HINDZINC,68,15885,29118250,1982050,12107921253.75,64,14112,15083425,1503075,9641262478.75,0.518,0.888,2026-06-08
HYUNDAI,68,1684,854150,-5500,942806163.75,70,1122,725725,31900,576024570.0,0.85,0.666,2026-06-08
ICICIBANK,100,34715,28590100,1187200,31680500985.0,95,20972,20667500,303800,18396260435.0,0.723,0.604,2026-06-08
ICICIGI,75,1338,952900,24050,809804060.0,75,516,453050,32500,286747288.75,0.475,0.386,2026-06-08
ICICIPRULI,104,2962,5593475,319125,1410395785.0,104,1313,3510375,164650,579963391.25,0.628,0.443,2026-06-08
IDEA,29,21435,1617979575,92274225,25446651007.5,30,10512,879785775,34236525,10481309139.75,0.544,0.49,2026-06-08
IDFCFIRSTB,48,11057,101783850,7670425,7851120271.75,49,7734,76426000,-2754675,5122841643.5,0.751,0.699,2026-06-08
IEX,99,4997,34321950,1917000,2460827907.0,99,1945,18229950,751500,879912097.5,0.531,0.389,2026-06-08
INDHOTEL,93,2312,4236000,153000,1575683100.0,94,1531,3809000,55000,989082450.0,0.899,0.662,2026-06-08
INDIANB,72,7422,4633000,125000,6622646600.0,73,2217,3894000,354000,1857837400.0,0.84,0.299,2026-06-08
INDIGO,65,25791,4374750,485550,18032073697.5,71,26131,2044650,150150,17135247825.0,0.467,1.013,2026-06-08
INDUSINDBK,67,5942,5275200,591500,3917922085.0,66,4120,5303900,214900,2591859585.0,1.005,0.693,2026-06-08
INDUSTOWER,64,6314,20833500,375700,4868588690.0,68,1971,18616700,25500,1431073005.0,0.894,0.312,2026-06-08
INFY,120,67414,37397600,1282400,34008798380.0,122,36925,19468800,247600,17370723260.0,0.521,0.548,2026-06-08
INOXWIND,102,6009,51494575,1840575,2077098738.5,102,2507,25895875,-26300,761477856.75,0.503,0.417,2026-06-08
IOC,118,6133,45708000,838500,4373225951.25,115,4659,38995125,3354000,3094564005.0,0.853,0.76,2026-06-08
IREDA,112,4288,42452250,2820650,1941129975.0,115,1139,23139325,131900,475400778.25,0.545,0.266,2026-06-08
IRFC,81,5272,43943475,4347550,2305757104.0,82,1139,27372675,544175,457868733.75,0.623,0.216,2026-06-08
ITC,140,47180,128711875,4223900,22354594208.75,139,15411,56835675,444950,6969484343.75,0.442,0.327,2026-06-08
JINDALSTEL,92,3368,3270000,351250,2638173875.0,89,2181,2282500,110000,1613380656.25,0.698,0.648,2026-06-08
JIOFIN,75,15521,44215250,1579200,9129485766.0,77,8548,34349950,834250,4656918836.5,0.777,0.551,2026-06-08
JSWENERGY,88,5629,9647425,475,3473599973.75,88,2544,4817000,75675,1474675287.5,0.499,0.452,2026-06-08
JSWSTEEL,83,3981,4511700,199125,3588930281.25,83,6602,3175875,81000,5317547501.25,0.704,1.658,2026-06-08
JUBLFOOD,74,7902,10660000,1498750,4492197250.0,75,3593,6785000,448750,1869607500.0,0.636,0.455,2026-06-08
KALYANKJIL,77,11365,11021725,-1026325,5221397976.25,78,6443,6248775,-242825,2760149406.25,0.567,0.567,2026-06-08
KAYNES,76,461,1627850,-18100,163608455.0,73,55,967700,-2400,15723065.0,0.594,0.119,2026-06-08
KEI,72,2347,508550,26075,2303903848.75,76,1113,305900,-15050,995980072.5,0.602,0.474,2026-06-08
KFINTECH,72,2158,1714825,84000,981767051.25,74,2216,1150975,51725,926543628.75,0.671,1.027,2026-06-08
KOTAKBANK,106,7564,32592000,822000,5976489800.0,110,4494,23976000,544000,3380093600.0,0.736,0.594,2026-06-08
KPITTECH,73,4729,3646300,1200,1638888243.75,72,4786,3370450,358900,1504924047.5,0.924,1.012,2026-06-08
