Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,64,49935,6297000,2005000,28501404525.0,63,26697,2707000,-429000,14024503075.0,0.43,0.535,2026-04-22
ABB,177,199566,2031000,638000,198179548787.5,178,97652,1742625,415750,89780732231.25,0.858,0.489,2026-04-22
ABCAPITAL,68,10294,13147100,-368900,11531972100.0,70,5909,10822100,771900,6134808085.0,0.823,0.574,2026-04-22
ADANIENSOL,101,53306,5727375,1333800,50427273667.5,106,16965,4054725,985500,14656433287.5,0.708,0.318,2026-04-22
ADANIENT,119,47073,7528476,21630,33956090154.599995,122,26060,7188576,-178602,17483080718.25,0.955,0.554,2026-04-22
ADANIGREEN,154,49787,10209000,675000,36957285120.0,157,16551,7509600,759000,11489644830.0,0.736,0.332,2026-04-22
ADANIPORTS,78,26064,10425775,636500,20367109113.75,83,15666,9108600,-157700,11534300478.75,0.874,0.601,2026-04-22
ADANIPOWER,109,57398,37140100,-159750,45264940625.0,110,18778,32095550,5719050,13630977706.5,0.864,0.327,2026-04-22
ALKEM,97,5248,328250,-29125,3831268075.0,98,2891,247375,12375,1999137043.75,0.754,0.551,2026-04-22
AMBER,92,13485,913100,-112200,11042757210.0,92,7017,679800,-18900,5287820455.0,0.744,0.52,2026-04-22
AMBUJACEM,92,11482,9819600,-665700,5761147612.5,95,5536,9090900,-663600,2723304727.5,0.926,0.482,2026-04-22
ANGELONE,85,21105,30957500,-1445000,17880632675.0,88,14457,34920000,-17500,11247890825.0,1.128,0.685,2026-04-22
APLAPOLLO,110,3127,1292900,1750,2396480677.5,109,922,864500,-45500,656473930.0,0.669,0.295,2026-04-22
APOLLOHOSP,112,24305,920875,44000,23961349350.0,115,26484,867125,30250,25141396581.25,0.942,1.09,2026-04-22
ASHOKLEY,86,38902,99465000,535000,36403187750.0,85,17015,68820000,3720000,14678961000.0,0.692,0.437,2026-04-22
ASIANPAINT,124,31038,5070000,-123250,20272450400.0,126,25630,6326750,318500,15908832650.0,1.248,0.826,2026-04-22
ASTRAL,77,7737,3517725,-276250,5409843955.0,78,3980,2187475,-205275,2592602233.75,0.622,0.514,2026-04-22
AUBANK,106,19265,8779000,268000,20853158950.0,108,10658,7782000,305000,10845123050.0,0.886,0.553,2026-04-22
AUROPHARMA,76,10471,4453350,240900,8314251522.5,80,5803,2980450,149050,4279371800.0,0.669,0.554,2026-04-22
AXISBANK,130,32083,17239375,586250,28476546906.25,129,21692,14347500,73125,18366110156.25,0.832,0.676,2026-04-22
BAJAJ-AUTO,89,23085,1317000,60600,17424722133.75,88,14401,1134525,-600,10159701783.75,0.861,0.624,2026-04-22
BAJAJFINSV,94,11180,3691750,112000,5312455225.0,95,9814,3620000,17000,4372658075.0,0.981,0.878,2026-04-22
BAJAJHLDNG,104,2196,73900,-3050,1253482180.0,103,3943,55350,3500,1851179152.5,0.749,1.796,2026-04-22
BAJFINANCE,96,44928,22965750,1613250,32513169825.0,100,29128,17719500,-335250,19921555987.5,0.772,0.648,2026-04-22
BANDHANBNK,81,5760,29246400,1576800,3812774436.0,81,4224,20336400,680400,2570707476.0,0.695,0.733,2026-04-22
BANKBARODA,114,11076,48750975,1427400,9535992862.5,112,7979,43632225,356850,6461677433.25,0.895,0.72,2026-04-22
BANKINDIA,95,10015,28189200,-1492400,8190733200.0,88,4197,25235600,2241200,3292224624.0,0.895,0.419,2026-04-22
BANKNIFTY,685,1890724,20869560,1100790,3339317590083.0,685,1961914,20758800,-491490,3264235342696.5,0.995,1.038,2026-04-22
BDL,71,8253,3492300,78750,4158006790.0,72,6127,2828350,19950,2762611705.0,0.81,0.742,2026-04-22
BEL,83,47840,47405475,514425,32106145470.0,87,21623,33062850,494475,13560169327.5,0.697,0.452,2026-04-22
BHARATFORG,87,11385,3668000,208500,11186351725.0,87,4813,2464500,137000,4472142825.0,0.672,0.423,2026-04-22
BHARTIARTL,77,40983,14221975,629375,37032362133.75,77,22872,9111450,285950,19643974148.75,0.641,0.558,2026-04-22
BHEL,170,44201,53691750,1774500,40470173178.75,171,24223,44740500,-1926750,20402106585.0,0.833,0.548,2026-04-22
BIOCON,75,8188,22627500,707500,7692178375.0,76,2937,15182500,-142500,2629541125.0,0.671,0.359,2026-04-22
BLUESTARCO,118,5061,1764100,27625,3203272897.5,113,1678,1250275,37700,1010254846.25,0.709,0.332,2026-04-22
BOSCHLTD,159,8049,243125,-3975,7992572132.5,157,46134,226525,5025,34894440365.0,0.932,5.732,2026-04-22
BPCL,83,12601,29561800,2415425,8340878953.75,81,6669,22969250,-499675,3995838565.0,0.777,0.529,2026-04-22
BRITANNIA,99,34945,1014250,430500,26110378656.25,100,11670,714125,129625,8367821650.0,0.704,0.334,2026-04-22
BSE,76,25254,8397375,-35250,34626878681.25,78,27317,9570750,-551250,34257933150.0,1.14,1.082,2026-04-22
CAMS,73,3095,3315000,315000,1812964350.0,73,1503,2611500,-81000,813808200.0,0.788,0.486,2026-04-22
CANBK,133,16920,85266000,3456000,17137824277.5,132,14833,80318250,2835000,14165995972.5,0.942,0.877,2026-04-22
CDSL,69,29839,6313225,634125,19740488733.75,71,20111,5080125,284525,12767870657.5,0.805,0.674,2026-04-22
CGPOWER,80,27086,5685650,585650,19531680162.5,81,10851,4448900,487050,7394348432.5,0.782,0.401,2026-04-22
CHOLAFIN,93,11523,5735625,842500,11768209375.0,92,5674,4066875,-227500,5486476625.0,0.709,0.492,2026-04-22
CIPLA,105,11518,4523250,-139125,5473431956.25,107,4741,3964125,-33750,2148738600.0,0.876,0.412,2026-04-22
COALINDIA,109,43356,42925950,1890000,26844757830.0,103,23813,26715150,137700,14209004002.5,0.622,0.549,2026-04-22
COCHINSHIP,85,5770,1202800,-336400,3793211960.0,86,1601,752800,-74400,963845240.0,0.626,0.277,2026-04-22
COFORGE,65,61009,9345750,1129875,30129485212.5,66,37925,5397750,337875,17572868175.0,0.578,0.622,2026-04-22
COLPAL,112,16833,2543175,81675,8291824976.25,114,7190,1733850,59850,3301219800.0,0.682,0.427,2026-04-22
CONCOR,95,12948,8445000,2056250,8573553062.5,97,2370,5393750,265000,1484627312.5,0.639,0.183,2026-04-22
CROMPTON,104,6256,14472000,1315800,3058271622.0,105,2035,8276400,-442800,912559392.0,0.572,0.325,2026-04-22
CUMMINSIND,99,27089,1444800,7400,29173819630.0,98,14140,1051600,93400,13439462140.0,0.728,0.522,2026-04-22
DABUR,87,22209,10671250,-751250,13183423062.5,87,8004,8597500,542500,4432234437.5,0.806,0.36,2026-04-22
DALBHARAT,91,3154,1202175,22425,2111752028.75,92,1491,1058200,78975,903678083.75,0.88,0.473,2026-04-22
DELHIVERY,86,15787,16361375,2624875,15814580130.0,87,9038,6245750,163925,8727152133.75,0.382,0.572,2026-04-22
DIVISLAB,108,10602,764200,7300,6816872095.0,105,5467,838000,72400,3365619395.0,1.097,0.516,2026-04-22
DIXON,119,44818,2021800,-105500,26583589577.5,120,26966,1522150,16150,14521075942.5,0.753,0.602,2026-04-22
DLF,126,17411,11515350,-68475,8999883461.25,125,9573,11930325,-82500,4713057483.75,1.036,0.55,2026-04-22
DMART,83,19563,1919250,45450,13958684205.0,84,15179,1701450,4650,9926569965.0,0.887,0.776,2026-04-22
DRREDDY,102,16656,7520625,-173750,13018560375.0,100,7412,5162500,-6875,5635752062.5,0.686,0.445,2026-04-22
EICHERMOT,138,23315,1984900,-79000,17389679600.0,129,12698,1506400,-93700,8970594175.0,0.759,0.545,2026-04-22
ETERNAL,106,39550,60952375,751750,25866120467.75,104,25313,50757675,-620800,15381952316.0,0.833,0.64,2026-04-22
EXIDEIND,142,66256,17004600,3673800,43394820120.0,144,21018,16093800,3079800,12847230360.0,0.946,0.317,2026-04-22
FEDERALBNK,104,7568,38550000,775000,11587816750.0,107,5123,35175000,915000,7388325500.0,0.912,0.677,2026-04-22
FINNIFTY,355,22734,519540,137220,37797276441.0,355,18685,493860,116280,29024702877.0,0.951,0.822,2026-04-22
FORCEMOT,48,2737,81300,-2775,1633349735.0,49,2151,29025,1150,973396703.75,0.357,0.786,2026-04-22
FORTIS,89,10740,2930275,188325,7875364116.25,90,9034,2339725,310000,6256379080.0,0.798,0.841,2026-04-22
